corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,vmwh.0,702,740,_stage,706,712,Herzog,herzog
qd,vmwh.0,702,740,_stage,714,719,Curio,curio
qd,vmwh.0,774,1442,herzog,842,845,mir,herzog
qd,vmwh.0,774,1442,herzog,971,975,mein,herzog
qd,vmwh.0,774,1442,herzog,1101,1104,mir,herzog
qd,vmwh.0,1497,1516,herzog,1510,1515,Curio,curio
qd,vmwh.0,1544,1835,herzog,1561,1564,ich,herzog
qd,vmwh.0,1544,1835,herzog,1587,1591,mein,herzog
qd,vmwh.0,1544,1835,herzog,1608,1612,mein,herzog
qd,vmwh.0,1544,1835,herzog,1639,1642,mir,herzog
qd,vmwh.0,1544,1835,herzog,1703,1706,ich,herzog
qd,vmwh.0,1544,1835,herzog,1776,1780,mich,herzog
qd,vmwh.0,1794,1809,_stage,1794,1802,Valentin,valentin
qd,vmwh.0,1841,2277,valentin,1862,1866,mein,valentin
qd,vmwh.0,1841,2277,valentin,1874,1877,ich,valentin
qd,vmwh.0,1841,2277,valentin,1919,1922,mir,valentin
qd,vmwh.0,2283,2692,herzog,2598,2601,mir,herzog
qd,vmwh.0,2756,2808,_stage,2756,2761,Viola,viola
qd,vmwh.0,2756,2808,_stage,2767,2783,Schiffshauptmann,schiffshauptmann
qd,vmwh.0,2899,3050,viola,2920,2923,ich,viola
qd,vmwh.0,2899,3050,viola,2949,2953,Mein,viola
qd,vmwh.0,3182,3669,schiffshauptmann,3264,3267,ich,schiffshauptmann
qd,vmwh.0,3182,3669,schiffshauptmann,3391,3394,ich,schiffshauptmann
qd,vmwh.0,3182,3669,schiffshauptmann,3599,3602,ich,schiffshauptmann
qd,vmwh.0,3182,3669,schiffshauptmann,3652,3655,ich,schiffshauptmann
qd,vmwh.0,3675,3845,viola,3719,3724,Meine,viola
qd,vmwh.0,3675,3845,viola,3746,3752,meiner,viola
qd,vmwh.0,3851,3970,schiffshauptmann,3942,3945,ich,schiffshauptmann
qd,vmwh.0,4009,4064,schiffshauptmann,4037,4043,Herzog,herzog
qd,vmwh.0,4129,4211,viola,4155,4158,ich,viola
qd,vmwh.0,4129,4211,viola,4159,4165,meinen,viola
qd,vmwh.0,4217,4439,schiffshauptmann,4309,4312,ich,schiffshauptmann
qd,vmwh.0,4217,4439,schiffshauptmann,4432,4438,Olivia,olivia
qd,vmwh.0,4741,4891,viola,4758,4761,ich,viola
qd,vmwh.0,4741,4891,viola,4803,4809,meinem,viola
qd,vmwh.0,4741,4891,viola,4843,4846,ich,viola
qd,vmwh.0,5020,5694,viola,5146,5149,ich,viola
qd,vmwh.0,5020,5694,viola,5241,5244,Ich,viola
qd,vmwh.0,5020,5694,viola,5305,5308,ich,viola
qd,vmwh.0,5020,5694,viola,5323,5326,mir,viola
qd,vmwh.0,5020,5694,viola,5333,5337,Mich,viola
qd,vmwh.0,5020,5694,viola,5375,5381,meinem,viola
qd,vmwh.0,5020,5694,viola,5388,5391,Ich,viola
qd,vmwh.0,5020,5694,viola,5401,5407,Herzog,herzog
qd,vmwh.0,5020,5694,viola,5445,5449,mich,viola
qd,vmwh.0,5020,5694,viola,5495,5498,ich,viola
qd,vmwh.0,5020,5694,viola,5667,5673,meinem,viola
qd,vmwh.0,5700,5808,schiffshauptmann,5755,5758,ich,schiffshauptmann
qd,vmwh.0,5700,5808,schiffshauptmann,5773,5776,ich,schiffshauptmann
