corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,vmwh.0,611,32445,0,632,2692,0
qd,vmwh.0,611,32445,0,2706,5858,0
qd,vmwh.0,611,32445,0,5872,13526,0
qd,vmwh.0,611,32445,0,13541,15820,0
qd,vmwh.0,611,32445,0,15834,32445,0
qd,vmwh.0,32462,64059,0,32484,35007,0
qd,vmwh.0,32462,64059,0,35021,37161,0
qd,vmwh.0,32462,64059,0,37175,47282,0
qd,vmwh.0,32462,64059,0,47297,53192,0
qd,vmwh.0,32462,64059,0,53206,64059,0
qd,vmwh.0,64076,101493,0,64098,72751,0
qd,vmwh.0,64076,101493,0,72765,77469,0
qd,vmwh.0,64076,101493,0,77484,80010,0
qd,vmwh.0,64076,101493,0,80024,94486,0
qd,vmwh.0,64076,101493,0,94500,101493,0
qd,vmwh.0,101510,113541,0,101532,105130,0
qd,vmwh.0,101510,113541,0,105144,111813,0
qd,vmwh.0,101510,113541,0,111827,113541,0
qd,vmwh.0,113558,134337,0,113558,134337,0
