corpus,drama,figure_surface,figure_id,Gender,Age
qd,vmxv.0,BEATRICE,beatrice,,
qd,vmxv.0,BORACHIO,borachio,,
qd,vmxv.0,BALTHASAR,balthasar,,
qd,vmxv.0,SCHLEHWEIN,schlehwein,,
qd,vmxv.0,CLAUDIO,claudio,,
qd,vmxv.0,PAGE,page,,
qd,vmxv.0,HERO,hero,,
qd,vmxv.0,DIENER 2,diener_2,,
qd,vmxv.0,MÖNCH,mönch,,
qd,vmxv.0,HOLZAPFEL,holzapfel,,
qd,vmxv.0,MARGARETA,margareta,,
qd,vmxv.0,LEONATO,leonato,,
qd,vmxv.0,BOTE,bote,,
qd,vmxv.0,BENEDIKT,benedikt,,
qd,vmxv.0,ANTONIO,antonio,,
qd,vmxv.0,URSULA,ursula,,
qd,vmxv.0,DIENER 1,diener_1,,
qd,vmxv.0,DIENER 3,diener_3,,
qd,vmxv.0,DON PEDRO,don_pedro,,
qd,vmxv.0,ZWEITE WACHE,zweite_wache,,
qd,vmxv.0,ERSTE WACHE,erste_wache,,
qd,vmxv.0,DON JUAN,don_juan,,
qd,vmxv.0,KONRAD,konrad,,
qd,vmxv.0,SCHREIBER,schreiber,,
