corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,vmxv.0,beatrice,2,
qd,vmxv.0,borachio,4,
qd,vmxv.0,balthasar,1,
qd,vmxv.0,schlehwein,19,
qd,vmxv.0,claudio,6,
qd,vmxv.0,page,18,
qd,vmxv.0,hero,12,
qd,vmxv.0,diener_2,8,
qd,vmxv.0,mönch,17,
qd,vmxv.0,holzapfel,13,
qd,vmxv.0,margareta,16,
qd,vmxv.0,leonato,15,
qd,vmxv.0,bote,5,
qd,vmxv.0,benedikt,3,
qd,vmxv.0,antonio,0,
qd,vmxv.0,ursula,21,
qd,vmxv.0,diener_1,7,
qd,vmxv.0,diener_3,9,
qd,vmxv.0,don_pedro,11,
qd,vmxv.0,zweite_wache,23,
qd,vmxv.0,erste_wache,22,
qd,vmxv.0,don_juan,10,
qd,vmxv.0,konrad,14,
qd,vmxv.0,schreiber,20,
