corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vn0h.0,781,847,_Stage,_Stage,In,APPR,in,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,einem,ART,ein,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,Schiffe,NN,schiff,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,auf,APPR,auf,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,der,ART,der,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,See,NN,see,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,.,$.,--,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,Ein,ART,ein,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,Ungewitter,NN,ungewitter,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,mit,APPR,mit,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,Donner,NN,donner,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,und,KON,und,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,Blitz,NE,blitz,21918,,
qd,vn0h.0,781,847,_Stage,_Stage,.,$.,--,21918,,
qd,vn0h.0,851,887,_Stage,_Stage,Ein,ART,ein,21918,,
qd,vn0h.0,851,887,_Stage,_Stage,Schiffspatron,NN,schiffspatron,21918,,(16)
qd,vn0h.0,851,887,_Stage,_Stage,und,KON,und,21918,,
qd,vn0h.0,851,887,_Stage,_Stage,ein,ART,ein,21918,,
qd,vn0h.0,851,887,_Stage,_Stage,Bootsmann,NN,bootsmann,21918,,(4)
qd,vn0h.0,851,887,_Stage,_Stage,.,$.,--,21918,,
qd,vn0h.0,1094,1110,SCHIFFSPATRON,schiffspatron,Matrosen,NN,matrose,21918,,(13)
qd,vn0h.0,1094,1110,SCHIFFSPATRON,schiffspatron,kommen,VVFIN,kommen,21918,,
qd,vn0h.0,1094,1110,SCHIFFSPATRON,schiffspatron,.,$.,--,21918,,
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,Alonso,NE,alonso,21918,,(1)
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,",","$,",--,21918,,
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,Sebastian,NE,sebastian,21918,,(17)
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,",","$,",--,21918,,
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,Antonio,NE,antonio,21918,,(2)
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,",","$,",--,21918,,
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,Ferdinand,NE,ferdinand,21918,,(8)
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,",","$,",--,21918,,
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,Gonzalo,NE,gonzalo,21918,,(10)
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,und,KON,und,21918,,
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,andre,PIS,andre,21918,,
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,kommen,VVFIN,kommen,21918,,
qd,vn0h.0,1303,1367,BOOTSMANN,bootsmann,.,$.,--,21918,,
qd,vn0h.0,2627,2635,GONZALO,gonzalo,Alle,PIDAT,alle,21918,,
qd,vn0h.0,2627,2635,GONZALO,gonzalo,ab,PTKVZ,ab,21918,,
qd,vn0h.0,2627,2635,GONZALO,gonzalo,.,$.,--,21918,,
qd,vn0h.0,2639,2666,GONZALO,gonzalo,Der,ART,der,21918,,
qd,vn0h.0,2639,2666,GONZALO,gonzalo,Bootsmann,NN,bootsmann,21918,,(4)
qd,vn0h.0,2639,2666,GONZALO,gonzalo,kommt,VVFIN,kommen,21918,,
qd,vn0h.0,2639,2666,GONZALO,gonzalo,wieder,ADV,wieder,21918,,
qd,vn0h.0,2639,2666,GONZALO,gonzalo,.,$.,--,21918,,
qd,vn0h.0,2784,2805,BOOTSMANN,bootsmann,Ein,ART,ein,21918,,
qd,vn0h.0,2784,2805,BOOTSMANN,bootsmann,Geschrei,NN,geschrei,21918,,
qd,vn0h.0,2784,2805,BOOTSMANN,bootsmann,drinnen,ADV,drinnen,21918,,
qd,vn0h.0,2784,2805,BOOTSMANN,bootsmann,.,$.,--,21918,,
qd,vn0h.0,2898,2943,BOOTSMANN,bootsmann,Sebastian,NE,sebastian,21918,,(17)
qd,vn0h.0,2898,2943,BOOTSMANN,bootsmann,",","$,",--,21918,,
qd,vn0h.0,2898,2943,BOOTSMANN,bootsmann,Antonio,NE,antonio,21918,,(2)
qd,vn0h.0,2898,2943,BOOTSMANN,bootsmann,und,KON,und,21918,,
qd,vn0h.0,2898,2943,BOOTSMANN,bootsmann,Gonzalo,NE,gonzalo,21918,,(10)
qd,vn0h.0,2898,2943,BOOTSMANN,bootsmann,kommen,VVFIN,kommen,21918,,
qd,vn0h.0,2898,2943,BOOTSMANN,bootsmann,zurück,PTKVZ,zurück,21918,,
qd,vn0h.0,2898,2943,BOOTSMANN,bootsmann,.,$.,--,21918,,
qd,vn0h.0,3553,3594,BOOTSMANN,bootsmann,Matrosen,NN,matrose,21918,,(13)
qd,vn0h.0,3553,3594,BOOTSMANN,bootsmann,mit,APPR,mit,21918,,
qd,vn0h.0,3553,3594,BOOTSMANN,bootsmann,durchnäßten,ADJA,durchnäßt,21918,,
qd,vn0h.0,3553,3594,BOOTSMANN,bootsmann,Kleidern,NN,kleid,21918,,
qd,vn0h.0,3553,3594,BOOTSMANN,bootsmann,kommen,VVFIN,kommen,21918,,
qd,vn0h.0,3553,3594,BOOTSMANN,bootsmann,.,$.,--,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,Ein,ART,ein,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,verworrner,ADJA,verworrn,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,Lärm,NN,lärm,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,im,APPRART,in,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,Schiffsraum,NN,schiffsraum,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,;,$.,--,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,»,XY,»,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,Gott,NN,gott,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,sei,VAFIN,sein,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,uns,PPER,uns,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,gnädig,ADJD,gnädig,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,"!",$.,--,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,–,XY,–,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,Wir,PPER,wir,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,scheitern,VVFIN,scheitern,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,"!",$.,--,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,wir,PPER,wir,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,scheitern,VVFIN,scheitern,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,"!",$.,--,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,–,XY,–,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,Lebt,NE,lebt,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,wohl,ADV,wohl,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,",","$,",--,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,Weib,NN,weib,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,und,KON,und,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,Kinder,NN,kind,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,"!",$.,--,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,–,XY,–,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,Leb,NE,leb,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,wohl,ADV,wohl,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,",","$,",--,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,Bruder,NN,bruder,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,"!",$.,--,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,–,XY,–,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,Wir,PPER,wir,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,scheitern,VVFIN,scheitern,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,"!",$.,--,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,wir,PPER,wir,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,scheitern,VVFIN,scheitern,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,"!",$.,--,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,wir,PPER,wir,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,scheitern,VVFIN,scheitern,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,"!",$.,--,21918,,
qd,vn0h.0,4069,4256,GONZALO,gonzalo,«,XY,«,21918,,
qd,vn0h.0,4618,4660,_Stage,_Stage,Die,ART,der,21918,,
qd,vn0h.0,4618,4660,_Stage,_Stage,bezauberte,ADJA,bezaubern,21918,,
qd,vn0h.0,4618,4660,_Stage,_Stage,Insel,NN,insel,21918,,
qd,vn0h.0,4618,4660,_Stage,_Stage,",","$,",--,21918,,
qd,vn0h.0,4618,4660,_Stage,_Stage,vor,APPR,vor,21918,,
qd,vn0h.0,4618,4660,_Stage,_Stage,Prosperos,NN,prospero,21918,,
qd,vn0h.0,4618,4660,_Stage,_Stage,Zelle,NN,zelle,21918,,
qd,vn0h.0,4618,4660,_Stage,_Stage,.,$.,--,21918,,
qd,vn0h.0,4664,4696,_Stage,_Stage,Prospero,NE,prospero,21918,,(15)
qd,vn0h.0,4664,4696,_Stage,_Stage,und,KON,und,21918,,
qd,vn0h.0,4664,4696,_Stage,_Stage,Miranda,NE,miranda,21918,,(14)
qd,vn0h.0,4664,4696,_Stage,_Stage,treten,VVFIN,treten,21918,,
qd,vn0h.0,4664,4696,_Stage,_Stage,auf,PTKVZ,auf,21918,,
qd,vn0h.0,4664,4696,_Stage,_Stage,.,$.,--,21918,,
qd,vn0h.0,5863,5889,PROSPERO,prospero,Er,PPER,er,21918,,
qd,vn0h.0,5863,5889,PROSPERO,prospero,legt,VVFIN,legen,21918,,
qd,vn0h.0,5863,5889,PROSPERO,prospero,den,ART,der,21918,,
qd,vn0h.0,5863,5889,PROSPERO,prospero,Mantel,NN,mantel,21918,,
qd,vn0h.0,5863,5889,PROSPERO,prospero,nieder,PTKVZ,nieder,21918,,
qd,vn0h.0,5863,5889,PROSPERO,prospero,.,$.,--,21918,,
qd,vn0h.0,13931,13947,PROSPERO,prospero,Miranda,NE,miranda,21918,,(14)
qd,vn0h.0,13931,13947,PROSPERO,prospero,schläft,VVFIN,schlafen,21918,,
qd,vn0h.0,13931,13947,PROSPERO,prospero,.,$.,--,21918,,
qd,vn0h.0,14028,14040,PROSPERO,prospero,Ariel,NE,ariel,21918,,(3)
qd,vn0h.0,14028,14040,PROSPERO,prospero,kommt,VVFIN,kommen,21918,,
qd,vn0h.0,14028,14040,PROSPERO,prospero,.,$.,--,21918,,
qd,vn0h.0,19932,19941,PROSPERO,prospero,Ariel,NE,ariel,21918,,(3)
qd,vn0h.0,19932,19941,PROSPERO,prospero,ab,PTKVZ,ab,21918,,
qd,vn0h.0,19932,19941,PROSPERO,prospero,.,$.,--,21918,,
qd,vn0h.0,20458,20466,CALIBAN,caliban,drinnen,ADV,drinnen,21918,,
qd,vn0h.0,20458,20466,CALIBAN,caliban,.,$.,--,21918,,
qd,vn0h.0,20593,20642,PROSPERO,prospero,Ariel,NE,ariel,21918,,(3)
qd,vn0h.0,20593,20642,PROSPERO,prospero,kommt,VVFIN,kommen,21918,,
qd,vn0h.0,20593,20642,PROSPERO,prospero,zurück,ADV,zurück,21918,,
qd,vn0h.0,20593,20642,PROSPERO,prospero,in,APPR,in,21918,,
qd,vn0h.0,20593,20642,PROSPERO,prospero,Gestalt,NN,gestalt,21918,,
qd,vn0h.0,20593,20642,PROSPERO,prospero,einer,ART,ein,21918,,
