corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,vn0r.0,841,25474,0,862,4031,0
qd,vn0r.0,841,25474,0,4045,25474,0
qd,vn0r.0,25491,51686,0,25513,32023,0
qd,vn0r.0,25491,51686,0,32037,33645,0
qd,vn0r.0,25491,51686,0,33659,42911,0
qd,vn0r.0,25491,51686,0,42925,48777,0
qd,vn0r.0,25491,51686,0,48791,51686,0
qd,vn0r.0,51703,70238,0,51725,66142,0
qd,vn0r.0,51703,70238,0,66156,70238,0
qd,vn0r.0,70255,97253,0,70277,76711,0
qd,vn0r.0,70255,97253,0,76726,85833,0
qd,vn0r.0,70255,97253,0,85847,91911,0
qd,vn0r.0,70255,97253,0,91925,97253,0
qd,vn0r.0,97270,125373,0,97292,105224,0
qd,vn0r.0,97270,125373,0,105239,115194,0
qd,vn0r.0,97270,125373,0,115209,125373,0
