corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Edle,NE,edel,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Patrizier,NE,patrizier,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,",","$,",--,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Schirmer,NN,schirmer,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,meines,PPOSAT,mein,26194,saturninus,(21)
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Rechts,NN,recht,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,",","$,",--,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Verteidigt,VVPP,verteidigt,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,meinen,PPOSAT,mein,26194,saturninus,(21)
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Anspruch,NN,anspruch,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,mit,APPR,mit,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,dem,ART,der,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Schwert,NN,schwert,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,;,$.,--,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Und,KON,und,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,ihr,PPOSAT,ihr,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,",","$,",--,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Mitbürger,NN,mitbürger,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,",","$,",--,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Freunde,NN,freund,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,wert,ADJD,wert,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,und,KON,und,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,treu,ADJD,treu,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,",","$,",--,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Werbt,PWAV,werbt,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,mit,APPR,mit,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,den,ART,der,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Waffen,NN,waffe,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,um,APPR,um,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,mein,PPOSAT,mein,26194,saturninus,(21)
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,erblich,ADJD,erblich,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Recht,NN,recht,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,"!",$.,--,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Ich,PPER,ich,26194,saturninus,(21)
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,bin,VAFIN,sein,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,des,ART,der,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Erstgeborner,NN,erstgeborner,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,",","$,",--,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,den,ART,der,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,zuletzt,ADV,zuletzt,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Geschmückt,NN,geschmückt,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Roms,NE,rom,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,kaiserliches,ADJA,kaiserlich,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Diadem,NN,diadem,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,:,$.,--,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,So,ADV,so,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,folge,VVFIN,folgen,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,mir,PPER,sich,26194,saturninus,(21)
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,des,ART,der,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Vaters,NN,vater,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Würde,VAFIN,werden,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,nach,APPR,nach,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,"!",$.,--,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Kränkt,NN,kränkt,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,meinen,VVFIN,mein,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Vorrang,NN,vorrang,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,nicht,PTKNEG,nicht,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,durch,APPR,durch,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,diese,PDAT,dieser,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,Schmach,NN,schmach,26194,,
qd,vn0r.0,1135,1485,SATURNINUS,saturninus,"!",$.,--,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,Römer,NE,römer,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,",","$,",--,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,Gefährten,NN,gefährte,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,",","$,",--,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,Förd,NE,förd,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,',$[,--,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,rer,ADJA,rer,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,meines,PPOSAT,mein,26194,bassianus,(1)
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,Rechts,NN,recht,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,"!",$.,--,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,Wenn,KOUS,wenn,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,je,ADV,je,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,zuvor,ADV,zuvor,26194,,
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,Bassianus,NE,bassianus,26194,bassianus,(1)
qd,vn0r.0,1491,1927,BASSIANUS,bassianus,",","$,",--,26194,,
