corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,vn1q.0,695,28962,0,716,15487,0
qd,vn1q.0,695,28962,0,15501,28962,0
qd,vn1q.0,28979,43040,0,29001,30866,0
qd,vn1q.0,28979,43040,0,30880,43040,0
qd,vn1q.0,43057,72711,0,43079,46619,0
qd,vn1q.0,43057,72711,0,46633,51527,0
qd,vn1q.0,43057,72711,0,51541,53746,0
qd,vn1q.0,43057,72711,0,53760,60089,0
qd,vn1q.0,43057,72711,0,60103,65883,0
qd,vn1q.0,43057,72711,0,65897,72711,0
qd,vn1q.0,72728,104752,0,72750,74712,0
qd,vn1q.0,72728,104752,0,74726,77365,0
qd,vn1q.0,72728,104752,0,77379,104752,0
qd,vn1q.0,104769,122712,0,104791,110732,0
qd,vn1q.0,104769,122712,0,110746,116574,0
qd,vn1q.0,104769,122712,0,116588,117624,0
qd,vn1q.0,104769,122712,0,117638,118259,0
qd,vn1q.0,104769,122712,0,118273,122712,0
