corpus,drama,figure_surface,figure_id,Gender,Age
qd,vn1w.0,ZWEITE STIMME,zweite_stimme,,
qd,vn1w.0,GRAZIANO,graziano,,
qd,vn1w.0,STEPHANO,stephano,,
qd,vn1w.0,ERSTE STIMME,erste_stimme,,
qd,vn1w.0,BEDIENTER 3,bedienter_3,,
qd,vn1w.0,PORZIA,porzia,,
qd,vn1w.0,SOLANIO,solanio,,
qd,vn1w.0,DOGE,doge,,
qd,vn1w.0,BEDIENTER 1,bedienter_1,,
qd,vn1w.0,BEDIENTER 2,bedienter_2,,
qd,vn1w.0,SALERIO,salerio,,
qd,vn1w.0,MAROKKO,marokko,,
qd,vn1w.0,LORENZO,lorenzo,,
qd,vn1w.0,ANTONIO,antonio,,
qd,vn1w.0,GOBBO,gobbo,,
qd,vn1w.0,BASSANIO,bassanio,,
qd,vn1w.0,LANZELOT,lanzelot,,
qd,vn1w.0,BALTHASAR,balthasar,,
qd,vn1w.0,LEONARDO,leonardo,,
qd,vn1w.0,SALARINO,salarino,,
qd,vn1w.0,ARRAGON,arragon,,
qd,vn1w.0,EIN SCHREIBER,ein_schreiber,,
qd,vn1w.0,NERISSA,nerissa,,
qd,vn1w.0,SHYLOCK,shylock,,
qd,vn1w.0,CHOR,chor,,
qd,vn1w.0,JESSICA,jessica,,
qd,vn1w.0,TUBAL,tubal,,
