corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,Wenn,KOUS,wenn,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,es,PPER,es,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,sich,PRF,sich,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,einmal,ADV,einmal,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,treffen,VVINF,treffen,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,sollte,VMFIN,sollen,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,",","$,",--,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,Camillo,NE,camillo,33221,camillo,(5)
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,",","$,",--,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,daß,KOUS,daß,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,Ihr,PPOSAT,ihr,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,Böhmen,NN,böhmen,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,besuchtet,VVPP,besuchten,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,",","$,",--,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,bei,APPR,bei,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,einer,ART,ein,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,ähnlichen,ADJA,ähnlich,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,Veranlassung,NN,veranlassung,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,",","$,",--,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,als,APPR,als,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,mich,PPER,mich,33221,archidamus,(2)
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,jetzt,ADV,jetzt,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,in,APPR,in,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,meinem,PPOSAT,mein,33221,archidamus,(2)
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,Dienst,NN,dienst,33221,,
qd,vn2c.0,769,1051,ARCHIDAMUS,archidamus,hieher,ADV,hieher,33221,,
