corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,vn2f.0,785,848,erster_bürger_1,834,838,mich,erster_bürger_1
qd,vn2f.0,1026,1105,erster_bürger_1,1067,1074,Marcius,marcius
qd,vn2f.0,1350,1401,zweiter_bürger_1,1382,1387,meine,zweiter_bürger_1
qd,vn2f.0,1406,2029,erster_bürger_1,1468,1477,Patrizier,patrizier_pl
qd,vn2f.0,1406,2029,erster_bürger_1,1964,1967,ich,erster_bürger_1
qd,vn2f.0,2035,2104,zweiter_bürger_1,2086,2093,Marcius,marcius
qd,vn2f.0,2445,2743,erster_bürger_1,2461,2464,Ich,erster_bürger_1
qd,vn2f.0,2908,3197,erster_bürger_1,2929,2932,ich,erster_bürger_1
qd,vn2f.0,2908,3197,erster_bürger_1,2961,2964,mir,erster_bürger_1
qd,vn2f.0,3271,3298,_stage,3271,3279,Menenius,menenius
qd,vn2f.0,3304,3389,zweiter_bürger_1,3333,3341,Menenius,menenius
qd,vn2f.0,3473,3588,menenius,3573,3576,Ich,menenius
qd,vn2f.0,4046,4665,menenius,4057,4060,Ich,menenius
qd,vn2f.0,4046,4665,menenius,4444,4453,Patrizier,patrizier_pl
qd,vn2f.0,5131,5385,menenius,5224,5227,ich,menenius
qd,vn2f.0,5131,5385,menenius,5246,5249,Ich,menenius
qd,vn2f.0,5131,5385,menenius,5349,5352,ich,menenius
qd,vn2f.0,6086,6451,menenius,6097,6100,Ich,menenius
qd,vn2f.0,6086,6451,menenius,6206,6209,ich,menenius
qd,vn2f.0,6086,6451,menenius,6402,6411,Senatoren,senatoren_pl
qd,vn2f.0,6457,6715,erster_bürger_1,6581,6588,Krieger,krieger_pl
qd,vn2f.0,6721,6799,menenius,6743,6747,Mein,menenius
qd,vn2f.0,7021,7143,menenius,7114,7117,ich,menenius
qd,vn2f.0,7187,7875,menenius,7219,7223,mein,menenius
qd,vn2f.0,7187,7875,menenius,7408,7411,ich,menenius
qd,vn2f.0,7187,7875,menenius,7484,7487,ich,menenius
qd,vn2f.0,7187,7875,menenius,7599,7602,ich,menenius
qd,vn2f.0,7187,7875,menenius,7751,7754,mir,menenius
qd,vn2f.0,7913,8133,menenius,7984,7987,mir,menenius
qd,vn2f.0,7913,8133,menenius,8009,8012,ich,menenius
qd,vn2f.0,7913,8133,menenius,8033,8036,ich,menenius
qd,vn2f.0,7913,8133,menenius,8102,8105,mir,menenius
qd,vn2f.0,8203,8568,menenius,8219,8228,Senatoren,senatoren_pl
qd,vn2f.0,8574,8630,erster_bürger_1,8589,8592,Ich,erster_bürger_1
qd,vn2f.0,8967,8991,_stage,8973,8980,Marcius,marcius
qd,vn2f.0,8635,9014,menenius,9006,9013,Marcius,marcius
qd,vn2f.0,10344,10830,marcius,10714,10717,ich,marcius
qd,vn2f.0,10344,10830,marcius,10718,10722,mein,marcius
qd,vn2f.0,10344,10830,marcius,10745,10748,Ich,marcius
qd,vn2f.0,10344,10830,marcius,10811,10816,meine,marcius
qd,vn2f.0,10836,11014,menenius,10982,10985,mir,menenius
qd,vn2f.0,11567,11879,marcius,11667,11673,Brutus,brutus
qd,vn2f.0,11567,11879,marcius,11676,11684,Sicinius,sicinius
qd,vn2f.0,11567,11879,marcius,11700,11703,ich,marcius
