corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,vn2f.0,644,41858,0,665,15314,0
qd,vn2f.0,644,41858,0,15328,17337,0
qd,vn2f.0,644,41858,0,17351,23672,0
qd,vn2f.0,644,41858,0,23687,27706,0
qd,vn2f.0,644,41858,0,27720,29205,0
qd,vn2f.0,644,41858,0,29219,33751,0
qd,vn2f.0,644,41858,0,33765,34346,0
qd,vn2f.0,644,41858,0,34360,35309,0
qd,vn2f.0,644,41858,0,35324,40127,0
qd,vn2f.0,644,41858,0,40141,41858,0
qd,vn2f.0,41875,78611,0,41897,56241,0
qd,vn2f.0,41875,78611,0,56255,64787,0
qd,vn2f.0,41875,78611,0,64802,78611,0
qd,vn2f.0,78628,117619,0,78650,96573,0
qd,vn2f.0,78628,117619,0,96588,104075,0
qd,vn2f.0,78628,117619,0,104089,111643,0
qd,vn2f.0,78628,117619,0,111657,114577,0
qd,vn2f.0,78628,117619,0,114591,117619,0
qd,vn2f.0,117636,145607,0,117658,120356,0
qd,vn2f.0,117636,145607,0,120370,121829,0
qd,vn2f.0,117636,145607,0,121843,134136,0
qd,vn2f.0,117636,145607,0,134151,142835,0
qd,vn2f.0,117636,145607,0,142850,145607,0
qd,vn2f.0,145624,178433,0,145646,149426,0
qd,vn2f.0,145624,178433,0,149440,155527,0
qd,vn2f.0,145624,178433,0,155541,166046,0
qd,vn2f.0,145624,178433,0,166060,170210,0
qd,vn2f.0,145624,178433,0,170224,178433,0
