corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,vn3t.0,636,723,_stage,650,657,Bertram,bertram
qd,vn3t.0,636,723,_stage,686,692,Helena,helena
qd,vn3t.0,636,723,_stage,697,702,Lafeu,lafeu
qd,vn3t.0,727,812,gräfin,742,745,ich,gräfin
qd,vn3t.0,727,812,gräfin,746,752,meinen,gräfin
qd,vn3t.0,727,812,gräfin,787,790,ich,gräfin
qd,vn3t.0,817,1007,bertram,831,834,ich,bertram
qd,vn3t.0,817,1007,bertram,842,845,ich,bertram
qd,vn3t.0,817,1007,bertram,874,880,meines,bertram
qd,vn3t.0,817,1007,bertram,908,911,ich,bertram
qd,vn3t.0,817,1007,bertram,963,966,ich,bertram
qd,vn3t.0,1633,2054,gräfin,1943,1946,Ich,gräfin
qd,vn3t.0,1633,2054,gräfin,1994,1997,ich,gräfin
qd,vn3t.0,2472,2527,bertram,2510,2514,mein,bertram
qd,vn3t.0,2572,2613,bertram,2593,2596,ich,bertram
qd,vn3t.0,2618,2723,lafeu,2626,2629,Ich,lafeu
qd,vn3t.0,2728,3220,gräfin,2774,2780,meiner,gräfin
qd,vn3t.0,2728,3220,gräfin,2802,2805,Ich,gräfin
qd,vn3t.0,3292,3599,gräfin,3503,3508,meine,gräfin
qd,vn3t.0,3292,3599,gräfin,3509,3515,Helena,helena
qd,vn3t.0,3604,3675,helena,3631,3634,ich,helena
qd,vn3t.0,3604,3675,helena,3635,3640,meine,helena
qd,vn3t.0,3604,3675,helena,3654,3657,ich,helena
qd,vn3t.0,3877,3934,bertram,3901,3904,ich,bertram
qd,vn3t.0,3877,3934,bertram,3929,3933,mich,bertram
qd,vn3t.0,3946,3970,_stage,3955,3961,Helena,helena
qd,vn3t.0,3998,4541,gräfin,4018,4021,ich,gräfin
qd,vn3t.0,3998,4541,gräfin,4023,4030,Bertram,bertram
qd,vn3t.0,3998,4541,gräfin,4412,4416,mein,gräfin
qd,vn3t.0,3998,4541,gräfin,4477,4481,Mein,gräfin
qd,vn3t.0,4547,4594,lafeu,4558,4563,meine,lafeu
qd,vn3t.0,4599,4845,gräfin,4630,4637,Bertram,bertram
qd,vn3t.0,4599,4845,gräfin,4658,4665,BERTRAM,bertram
qd,vn3t.0,4599,4845,gräfin,4669,4675,Helena,helena
qd,vn3t.0,4599,4845,gräfin,4790,4796,meiner,gräfin
qd,vn3t.0,4936,4962,_stage,4936,4943,Bertram,bertram
qd,vn3t.0,4936,4962,_stage,4948,4953,Lafeu,lafeu
qd,vn3t.0,4968,6211,helena,5014,5017,ich,helena
qd,vn3t.0,4968,6211,helena,5123,5126,ich,helena
qd,vn3t.0,4968,6211,helena,5164,5170,meiner,helena
qd,vn3t.0,4968,6211,helena,5185,5192,Bertram,bertram
qd,vn3t.0,4968,6211,helena,5195,5198,Ich,helena
qd,vn3t.0,4968,6211,helena,5248,5255,Bertram,bertram
qd,vn3t.0,4968,6211,helena,5291,5294,ich,helena
qd,vn3t.0,4968,6211,helena,5422,5425,ich,helena
qd,vn3t.0,4968,6211,helena,5426,5430,mich,helena
qd,vn3t.0,4968,6211,helena,5495,5501,meiner,helena
qd,vn3t.0,4968,6211,helena,5624,5627,Ich,helena
qd,vn3t.0,4968,6211,helena,5693,5699,meines,helena
qd,vn3t.0,4968,6211,helena,5786,5790,mein,helena
qd,vn3t.0,5861,5880,_stage,5861,5869,Parolles,parolles
qd,vn3t.0,4968,6211,helena,5904,5907,Ich,helena
qd,vn3t.0,4968,6211,helena,5989,5993,Narr,narr
qd,vn3t.0,6217,6261,parolles,6247,6252,meine,parolles
qd,vn3t.0,6266,6297,helena,6285,6289,mein,helena
qd,vn3t.0,6330,6358,helena,6343,6346,ich,helena
qd,vn3t.0,6428,6594,helena,6473,6481,Soldaten,soldaten
qd,vn3t.0,6428,6594,helena,6488,6492,mich,helena
qd,vn3t.0,7597,7691,helena,7606,7609,Ich,helena
qd,vn3t.0,7597,7691,helena,7659,7662,ich,helena
qd,vn3t.0,9132,9681,helena,9583,9586,Ich,helena
qd,vn3t.0,9721,9777,helena,9737,9740,ich,helena
qd,vn3t.0,10067,10086,_stage,10071,10075,Page,page
qd,vn3t.0,10091,10146,page,10107,10115,Parolles,parolles
qd,vn3t.0,10152,10263,parolles,10197,10200,ich,parolles
qd,vn3t.0,10152,10263,parolles,10201,10205,mich,parolles
qd,vn3t.0,10152,10263,parolles,10235,10238,ich,parolles
qd,vn3t.0,10268,10343,helena,10286,10294,Parolles,parolles
qd,vn3t.0,10376,10425,helena,10394,10397,ich,helena
qd,vn3t.0,10778,10829,parolles,10806,10812,meines,parolles
qd,vn3t.0,11056,11621,parolles,11067,11070,Ich,parolles
qd,vn3t.0,11056,11621,parolles,11100,11103,ich,parolles
qd,vn3t.0,11056,11621,parolles,11146,11149,Ich,parolles
qd,vn3t.0,11056,11621,parolles,11202,11206,mein,parolles
qd,vn3t.0,11627,12277,helena,11816,11820,Mein,helena
qd,vn3t.0,11627,12277,helena,11869,11872,mir,helena
qd,vn3t.0,11627,12277,helena,12204,12208,mich,helena
qd,vn3t.0,11627,12277,helena,12227,12230,Ich,helena
qd,vn3t.0,12606,12857,könig,12794,12798,Mein,könig
qd,vn3t.0,12971,13171,könig,13118,13121,ich,könig
qd,vn3t.0,13294,13333,_stage,13294,13301,Bertram,bertram
qd,vn3t.0,13294,13333,_stage,13303,13308,Lafeu,lafeu
qd,vn3t.0,13294,13333,_stage,13313,13321,Parolles,parolles
qd,vn3t.0,13339,13401,erster_lord,13369,13373,mein,erster_lord
qd,vn3t.0,13339,13401,erster_lord,13391,13398,Bertram,bertram
qd,vn3t.0,13604,13654,bertram,13613,13617,Mein,bertram
qd,vn3t.0,13659,14757,könig,13675,13678,ich,könig
qd,vn3t.0,13659,14757,könig,13734,13737,ich,könig
qd,vn3t.0,13659,14757,könig,13977,13981,mich,könig
qd,vn3t.0,13659,14757,könig,14047,14050,ich,könig
qd,vn3t.0,14916,15666,könig,14929,14932,ich,könig
qd,vn3t.0,14916,15666,könig,14968,14972,Mich,könig
qd,vn3t.0,14916,15666,könig,14980,14983,ich,könig
qd,vn3t.0,14916,15666,könig,15099,15102,ich,könig
qd,vn3t.0,14916,15666,könig,15239,15242,ich,könig
qd,vn3t.0,14916,15666,könig,15281,15287,meiner,könig
qd,vn3t.0,14916,15666,könig,15507,15510,Ich,könig
qd,vn3t.0,14916,15666,könig,15559,15562,ich,könig
qd,vn3t.0,14916,15666,könig,15630,15636,meinem,könig
qd,vn3t.0,15768,15893,könig,15776,15779,Ich,könig
qd,vn3t.0,15768,15893,könig,15798,15801,ich,könig
qd,vn3t.0,15899,15939,bertram,15928,15932,mein,bertram
qd,vn3t.0,15944,16183,könig,15973,15976,ich,könig
qd,vn3t.0,15944,16183,könig,16008,16011,mir,könig
qd,vn3t.0,15944,16183,könig,16045,16049,mich,könig
qd,vn3t.0,15944,16183,könig,16152,16156,Mein,könig
qd,vn3t.0,15944,16183,könig,16166,16169,mir,könig
qd,vn3t.0,16311,16369,_stage,16341,16355,Haushofmeister,haushofmeister
qd,vn3t.0,16311,16369,_stage,16364,16368,Narr,narr
qd,vn3t.0,16373,16455,gräfin,16393,16396,ich,gräfin
qd,vn3t.0,16460,16765,haushofmeister,16493,16496,ich,haushofmeister
qd,vn3t.0,16460,16765,haushofmeister,16525,16528,ich,haushofmeister
qd,vn3t.0,16460,16765,haushofmeister,16594,16600,meiner,haushofmeister
qd,vn3t.0,16770,17071,gräfin,16830,16833,Ich,gräfin
qd,vn3t.0,16770,17071,gräfin,16905,16910,meine,gräfin
qd,vn3t.0,16770,17071,gräfin,16925,16928,ich,gräfin
qd,vn3t.0,16770,17071,gräfin,16947,16950,ich,gräfin
qd,vn3t.0,17076,17155,narr,17130,17133,ich,narr
qd,vn3t.0,17182,17465,narr,17237,17240,ich,narr
qd,vn3t.0,17529,17595,narr,17536,17539,Ich,narr
qd,vn3t.0,17630,17838,narr,17659,17664,meine,narr
qd,vn3t.0,17630,17838,narr,17705,17708,ich,narr
qd,vn3t.0,17630,17838,narr,17716,17719,ich,narr
qd,vn3t.0,17630,17838,narr,17755,17758,ich,narr
qd,vn3t.0,17843,17896,gräfin,17856,17859,mir,gräfin
qd,vn3t.0,17901,18034,narr,17909,17913,Mein,narr
qd,vn3t.0,17901,18034,narr,17958,17962,Mich,narr
qd,vn3t.0,17901,18034,narr,17970,17974,mein,narr
qd,vn3t.0,18100,18188,narr,18130,18133,ich,narr
qd,vn3t.0,18232,18402,narr,18239,18242,Ich,narr
qd,vn3t.0,18232,18402,narr,18359,18362,ich,narr
qd,vn3t.0,18232,18402,narr,18384,18387,ich,narr
qd,vn3t.0,18464,18566,narr,18480,18483,mir,narr
qd,vn3t.0,18464,18566,narr,18515,18518,ich,narr
qd,vn3t.0,18464,18566,narr,18529,18535,meiner,narr
qd,vn3t.0,18626,19475,narr,18721,18725,mich,narr
qd,vn3t.0,18626,19475,narr,18735,18738,mir,narr
qd,vn3t.0,18626,19475,narr,18757,18761,mein,narr
qd,vn3t.0,18626,19475,narr,18781,18784,mir,narr
qd,vn3t.0,18626,19475,narr,18785,18789,mein,narr
qd,vn3t.0,18626,19475,narr,18810,18813,mir,narr
qd,vn3t.0,18626,19475,narr,18859,18862,ich,narr
qd,vn3t.0,18626,19475,narr,18888,18892,mein,narr
qd,vn3t.0,18626,19475,narr,18905,18909,mein,narr
qd,vn3t.0,18626,19475,narr,18934,18938,mein,narr
qd,vn3t.0,18626,19475,narr,18965,18969,mein,narr
qd,vn3t.0,18626,19475,narr,19000,19004,mein,narr
qd,vn3t.0,18626,19475,narr,19027,19031,mein,narr
qd,vn3t.0,18626,19475,narr,19060,19064,mein,narr
qd,vn3t.0,18626,19475,narr,19082,19087,meine,narr
qd,vn3t.0,18626,19475,narr,19103,19107,mein,narr
qd,vn3t.0,19555,19764,narr,19589,19592,ich,narr
qd,vn3t.0,19770,19850,gräfin,19797,19800,ich,gräfin
qd,vn3t.0,19855,19962,haushofmeister,19915,19921,Helena,helena
qd,vn3t.0,19855,19962,haushofmeister,19937,19940,ich,haushofmeister
qd,vn3t.0,19967,20058,gräfin,20017,20020,ich,gräfin
qd,vn3t.0,19967,20058,gräfin,20041,20044,ich,gräfin
qd,vn3t.0,19967,20058,gräfin,20045,20050,meine,gräfin
qd,vn3t.0,19967,20058,gräfin,20051,20057,Helena,helena
qd,vn3t.0,20466,20898,narr,20595,20598,ich,narr
qd,vn3t.0,20466,20898,narr,20644,20647,ich,narr
qd,vn3t.0,20466,20898,narr,20696,20699,ich,narr
qd,vn3t.0,20903,20981,gräfin,20965,20968,ich,gräfin
qd,vn3t.0,20986,21333,narr,21256,21259,Ich,narr
qd,vn3t.0,20986,21333,narr,21286,21289,ich,narr
qd,vn3t.0,20986,21333,narr,21298,21304,Helena,helena
qd,vn3t.0,21364,21440,haushofmeister,21381,21384,Ich,haushofmeister
qd,vn3t.0,21445,21714,gräfin,21491,21494,mir,gräfin
qd,vn3t.0,21445,21714,gräfin,21609,21612,mir,gräfin
qd,vn3t.0,21445,21714,gräfin,21621,21624,Ich,gräfin
qd,vn3t.0,21445,21714,gräfin,21652,21655,ich,gräfin
qd,vn3t.0,21719,22660,haushofmeister,21750,21753,ich,haushofmeister
qd,vn3t.0,21719,22660,haushofmeister,21913,21916,ich,haushofmeister
qd,vn3t.0,21719,22660,haushofmeister,22208,22213,Diana,diana
qd,vn3t.0,21719,22660,haushofmeister,22441,22444,ich,haushofmeister
qd,vn3t.0,21719,22660,haushofmeister,22479,22482,Ich,haushofmeister
qd,vn3t.0,21719,22660,haushofmeister,22496,22501,meine,haushofmeister
qd,vn3t.0,22665,23519,gräfin,22763,22767,mich,gräfin
qd,vn3t.0,22665,23519,gräfin,22857,22860,ich,gräfin
qd,vn3t.0,22665,23519,gräfin,22897,22900,Ich,gräfin
qd,vn3t.0,22665,23519,gräfin,22921,22925,mich,gräfin
qd,vn3t.0,22665,23519,gräfin,22974,22977,ich,gräfin
qd,vn3t.0,22665,23519,gräfin,23017,23020,ich,gräfin
qd,vn3t.0,23071,23089,_stage,23071,23085,Haushofmeister,haushofmeister
qd,vn3t.0,22665,23519,gräfin,23102,23105,ich,gräfin
qd,vn3t.0,22665,23519,gräfin,23113,23116,ich,gräfin
qd,vn3t.0,22665,23519,gräfin,23365,23368,ich,gräfin
