corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vn3t.0,727,812,GRÄFIN,gräfin,Indem,KOUS,indem,30601,,
qd,vn3t.0,727,812,GRÄFIN,gräfin,ich,PPER,ich,30601,gräfin,(17)
qd,vn3t.0,727,812,GRÄFIN,gräfin,meinen,PPOSAT,mein,30601,gräfin,(17)
qd,vn3t.0,727,812,GRÄFIN,gräfin,Sohn,NN,sohn,30601,,
qd,vn3t.0,727,812,GRÄFIN,gräfin,in,APPR,in,30601,,
qd,vn3t.0,727,812,GRÄFIN,gräfin,die,ART,der,30601,,
qd,vn3t.0,727,812,GRÄFIN,gräfin,Welt,NN,welt,30601,,
qd,vn3t.0,727,812,GRÄFIN,gräfin,schicke,VVFIN,schicken,30601,,
qd,vn3t.0,727,812,GRÄFIN,gräfin,",","$,",--,30601,,
qd,vn3t.0,727,812,GRÄFIN,gräfin,begrabe,VVFIN,begraben,30601,,
qd,vn3t.0,727,812,GRÄFIN,gräfin,ich,PPER,ich,30601,gräfin,(17)
qd,vn3t.0,727,812,GRÄFIN,gräfin,einen,ART,ein,30601,,
qd,vn3t.0,727,812,GRÄFIN,gräfin,zweiten,ADJA,zweiter,30601,,
qd,vn3t.0,727,812,GRÄFIN,gräfin,Gemahl,NN,gemahl,30601,,
qd,vn3t.0,727,812,GRÄFIN,gräfin,.,$.,--,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,Und,KON,und,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,ich,PPER,ich,30601,bertram,(0)
qd,vn3t.0,817,1007,BERTRAM,bertram,",","$,",--,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,indem,KOUS,indem,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,ich,PPER,ich,30601,bertram,(0)
qd,vn3t.0,817,1007,BERTRAM,bertram,gehe,VVFIN,gehen,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,",","$,",--,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,teure,ADJA,teuer,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,Mutter,NN,mutter,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,",","$,",--,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,beweine,ADJA,beweinen,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,meines,PPOSAT,mein,30601,bertram,(0)
qd,vn3t.0,817,1007,BERTRAM,bertram,Vaters,NN,vater,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,Tod,NN,tod,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,aufs,APPRART,auf,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,neue,ADJA,neu,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,;,$.,--,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,aber,KON,aber,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,ich,PPER,ich,30601,bertram,(0)
qd,vn3t.0,817,1007,BERTRAM,bertram,muß,VMFIN,müssen,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,dem,ART,der,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,Befehl,NN,befehl,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,des,ART,der,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,Königs,NN,könig,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,gehorchen,VVINF,gehorchen,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,",","$,",--,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,dessen,PRELAT,der,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,Mündel,NN,mündel,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,ich,PPER,ich,30601,bertram,(0)
qd,vn3t.0,817,1007,BERTRAM,bertram,jetzt,ADV,jetzt,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,",","$,",--,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,so,ADV,so,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,wie,KOKOM,wie,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,für,APPR,für,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,immer,ADV,immer,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,sein,PPOSAT,sein,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,Vasall,NN,vasall,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,bin,VAFIN,sein,30601,,
qd,vn3t.0,817,1007,BERTRAM,bertram,.,$.,--,30601,,
