corpus,drama,figure_surface,figure_id,Gender,Age
qd,vn41.0,PISANIO,pisanio,,
qd,vn41.0,DIENER,diener,,
qd,vn41.0,FRANZOSE,franzose,,
qd,vn41.0,ZWEITER BRUDER,zweiter_bruder,,
qd,vn41.0,CORNELIUS,cornelius,,
qd,vn41.0,ERSTER HAUPTMANN,erster_hauptmann,,
qd,vn41.0,BOTE 1,bote_1,,
qd,vn41.0,ERSTER KERKERMEISTER,erster_kerkermeister,,
qd,vn41.0,KÖNIGIN,königin,,
qd,vn41.0,GUIDERIUS,guiderius,,
qd,vn41.0,LORD,lord,,
qd,vn41.0,ERSTE HOFDAME,erste_hofdame,,
qd,vn41.0,MUTTER,mutter,,
qd,vn41.0,POSTHUMUS,posthumus,,
qd,vn41.0,JACHIMO,jachimo,,
qd,vn41.0,BOTE 2,bote_2,,
qd,vn41.0,ARVIRAGUS,arviragus,,
qd,vn41.0,ERSTER SENATOR,erster_senator,,
qd,vn41.0,BELLARIUS,bellarius,,
qd,vn41.0,WAHRSAGER,wahrsager,,
qd,vn41.0,ERSTER BRUDER,erster_bruder,,
qd,vn41.0,TRIBUN,tribun,,
qd,vn41.0,JUPITER,jupiter,,
qd,vn41.0,SICILIUS,sicilius,,
qd,vn41.0,LUCIUS,lucius,,
qd,vn41.0,ZWEITER HAUPTMANN,zweiter_hauptmann,,
qd,vn41.0,ZWEITER KERKERMEISTER,zweiter_kerkermeister,,
qd,vn41.0,IMOGEN,imogen,,
qd,vn41.0,ZWEITER EDELMANN,zweiter_edelmann,,
qd,vn41.0,CLOTEN,cloten,,
qd,vn41.0,ERSTER EDELMANN,erster_edelmann,,
qd,vn41.0,CYMBELINE,cymbeline,,
qd,vn41.0,KAMMERFRAU,kammerfrau,,
qd,vn41.0,HAUPTMANN,hauptmann,,
qd,vn41.0,HOFDAME,hofdame,,
qd,vn41.0,ZWEITER LORD,zweiter_lord,,
qd,vn41.0,PHILARIO,philario,,
qd,vn41.0,ERSTER LORD,erster_lord,,
