corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,vn4h.0,825,858,_stage,825,831,Schlau,schlau
qd,vn4h.0,825,858,_stage,840,846,Wirtin,wirtin
qd,vn4h.0,862,907,schlau,871,874,Ich,schlau
qd,vn4h.0,862,907,schlau,895,899,mein,schlau
qd,vn4h.0,1143,1217,wirtin,1162,1165,mir,wirtin
qd,vn4h.0,1325,1420,wirtin,1334,1337,Ich,wirtin
qd,vn4h.0,1325,1420,wirtin,1354,1357,ich,wirtin
qd,vn4h.0,1325,1420,wirtin,1371,1374,ich,wirtin
qd,vn4h.0,1426,1690,schlau,1493,1496,ich,schlau
qd,vn4h.0,1426,1690,schlau,1534,1537,Ich,schlau
qd,vn4h.0,1621,1690,_stage,1625,1629,Lord,lord
qd,vn4h.0,1696,1989,lord,1710,1713,ich,lord
qd,vn4h.0,1696,1989,lord,1954,1957,ich,lord
qd,vn4h.0,1995,2194,erster_jäger,2159,2162,mir,erster_jäger
qd,vn4h.0,2200,2381,lord,2251,2254,Ich,lord
qd,vn4h.0,2200,2381,lord,2344,2347,Ich,lord
qd,vn4h.0,2605,2979,lord,2737,2740,ich,lord
qd,vn4h.0,2985,3055,erster_jäger,2999,3003,Mein,erster_jäger
qd,vn4h.0,2985,3055,erster_jäger,3032,3035,ich,erster_jäger
qd,vn4h.0,3122,4261,lord,3256,3260,mein,lord
qd,vn4h.0,3122,4261,lord,4117,4121,Lord,lord
qd,vn4h.0,4515,4552,_stage,4529,4535,Schlau,schlau
qd,vn4h.0,5059,5281,lord,5102,5105,ich,lord
qd,vn4h.0,5059,5281,lord,5198,5201,Ich,lord
qd,vn4h.0,5354,5863,lord,5464,5467,ich,lord
qd,vn4h.0,5354,5863,lord,5478,5481,mir,lord
qd,vn4h.0,5354,5863,lord,5517,5520,mir,lord
qd,vn4h.0,5354,5863,lord,5540,5544,Lord,lord
qd,vn4h.0,5354,5863,lord,5591,5594,ich,lord
qd,vn4h.0,5354,5863,lord,5614,5617,mir,lord
qd,vn4h.0,5985,7788,lord,5999,6002,mir,lord
qd,vn4h.0,5985,7788,lord,6100,6104,mein,lord
qd,vn4h.0,5985,7788,lord,6164,6167,mir,lord
qd,vn4h.0,5985,7788,lord,6332,6335,mir,lord
qd,vn4h.0,5985,7788,lord,6342,6347,meine,lord
qd,vn4h.0,5985,7788,lord,6597,6601,mein,lord
qd,vn4h.0,5985,7788,lord,7216,7219,Ich,lord
qd,vn4h.0,5985,7788,lord,7278,7281,Ich,lord
qd,vn4h.0,5985,7788,lord,7367,7370,Ich,lord
qd,vn4h.0,5985,7788,lord,7377,7381,mich,lord
qd,vn4h.0,5985,7788,lord,7501,7504,Ich,lord
qd,vn4h.0,5985,7788,lord,7531,7535,mein,lord
qd,vn4h.0,7661,7788,_stage,7675,7681,Schlau,schlau
qd,vn4h.0,7661,7788,_stage,7771,7775,Lord,lord
qd,vn4h.0,8035,8482,schlau,8044,8047,Ich,schlau
qd,vn4h.0,8035,8482,schlau,8062,8068,Schlau,schlau
qd,vn4h.0,8035,8482,schlau,8076,8080,mich,schlau
qd,vn4h.0,8035,8482,schlau,8113,8116,Ich,schlau
qd,vn4h.0,8035,8482,schlau,8122,8126,mein,schlau
qd,vn4h.0,8035,8482,schlau,8173,8176,mir,schlau
qd,vn4h.0,8035,8482,schlau,8205,8208,mir,schlau
qd,vn4h.0,8035,8482,schlau,8241,8245,mich,schlau
qd,vn4h.0,8035,8482,schlau,8267,8270,ich,schlau
qd,vn4h.0,8035,8482,schlau,8289,8292,ich,schlau
qd,vn4h.0,8035,8482,schlau,8444,8447,mir,schlau
qd,vn4h.0,8487,8672,lord,8561,8565,Lord,lord
qd,vn4h.0,8678,9267,schlau,8702,8706,mich,schlau
qd,vn4h.0,8678,9267,schlau,8728,8731,ich,schlau
qd,vn4h.0,8678,9267,schlau,8753,8759,Schlau,schlau
qd,vn4h.0,8678,9267,schlau,8776,8782,Schlau,schlau
qd,vn4h.0,8678,9267,schlau,8910,8916,meiner,schlau
qd,vn4h.0,8678,9267,schlau,9019,9023,mich,schlau
qd,vn4h.0,8678,9267,schlau,9060,9064,mich,schlau
