corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,vn5n.0,kupplerin,22,
qd,vn5n.0,zweiter_edelmann_1,11,
qd,vn5n.0,zweiter_lord,27,
qd,vn5n.0,erster_ritter,37,
qd,vn5n.0,zweiter_edelmann_2,13,
qd,vn5n.0,zweiter_seeräuber,41,
qd,vn5n.0,helicanus,20,
qd,vn5n.0,erster_lord,26,
qd,vn5n.0,erster_seeräuber,40,
qd,vn5n.0,lord_2,25,
qd,vn5n.0,erster_fischer,16,
qd,vn5n.0,erster_edelmann_2,12,
qd,vn5n.0,simonides,43,
qd,vn5n.0,cleon,4,
qd,vn5n.0,thaliard,46,
qd,vn5n.0,thaisa,45,
qd,vn5n.0,erster_edelmann_1,10,
qd,vn5n.0,marschall,32,
qd,vn5n.0,lysimachus,30,
qd,vn5n.0,zweiter_fischer,17,
qd,vn5n.0,dritter_ritter,39,
qd,vn5n.0,perikles,35,
qd,vn5n.0,kuppler,21,
qd,vn5n.0,leonin,23,
qd,vn5n.0,antiochus,0,
qd,vn5n.0,cerimon,3,
qd,vn5n.0,zweiter_ritter,38,
qd,vn5n.0,stummes_spiel,44,
qd,vn5n.0,escanes,15,
qd,vn5n.0,bote,2,
qd,vn5n.0,philemon,36,
qd,vn5n.0,diana,5,
qd,vn5n.0,dritter_seeräuber,42,
qd,vn5n.0,dionysa,9,
qd,vn5n.0,dritter_fischer,18,
qd,vn5n.0,zweiter_matrose,34,
qd,vn5n.0,die_tochter,6,
qd,vn5n.0,lord_1,24,
qd,vn5n.0,lychorida,29,
qd,vn5n.0,dritter_lord,28,
qd,vn5n.0,erster_edelmann_3,14,
qd,vn5n.0,diener_1,7,
qd,vn5n.0,diener_2,8,
qd,vn5n.0,bolz,1,
qd,vn5n.0,gower,19,
qd,vn5n.0,marina,31,
qd,vn5n.0,erster_matrose,33,
