corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vn79.0,598,1050,VALENTIN,valentin,Hör,NE,hör,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,',$[,--,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,auf,APPR,auf,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,mir,PPER,sich,23033,valentin,(16)
qd,vn79.0,598,1050,VALENTIN,valentin,zuzureden,VVFIN,zuzureden,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,",","$,",--,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,teurer,ADJD,teuer,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,Proteus,NN,proteus,23033,proteus,(9)
qd,vn79.0,598,1050,VALENTIN,valentin,;,$.,--,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,Wer,PWS,wer,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,stets,ADV,stets,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,zu,APPR,zu,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,Haus,NN,haus,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,bleibt,VVFIN,bleiben,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,",","$,",--,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,hat,VAFIN,haben,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,nur,ADV,nur,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,Witz,NN,witz,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,fürs,APPRART,für,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,Haus,NN,haus,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,.,$.,--,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,Wenn,KOUS,wenn,23033,,
qd,vn79.0,598,1050,VALENTIN,valentin,Neigung,NN,neigung,23033,,
