corpus,drama,figure_surface,figure_id,Gender,Age
qd,vnbs.0,CLAUDIO,claudio,,
qd,vnbs.0,HERZOG,herzog,,
qd,vnbs.0,PETER,peter,,
qd,vnbs.0,ISABELLA,isabella,,
qd,vnbs.0,JULIA,julia,,
qd,vnbs.0,BERNARDIN,bernardin,,
qd,vnbs.0,RICHTER,richter,,
qd,vnbs.0,MÖNCH,mönch,,
qd,vnbs.0,ESCALUS,escalus,,
qd,vnbs.0,BOTE,bote,,
qd,vnbs.0,FRANZISKA,franziska,,
qd,vnbs.0,ANGELO,angelo,,
qd,vnbs.0,KUPPLERIN,kupplerin,,
qd,vnbs.0,MARIANE,mariane,,
qd,vnbs.0,ZWEITER EDELMANN,zweiter_edelmann,,
qd,vnbs.0,POMPEJUS,pompejus,,
qd,vnbs.0,SCHLIESSER,schliesser,,
qd,vnbs.0,DIENER 1,diener_1,,
qd,vnbs.0,ELBOGEN,elbogen,,
qd,vnbs.0,LUCIO,lucio,,
qd,vnbs.0,GRAUSLICH,grauslich,,
qd,vnbs.0,SCHAUM,schaum,,
qd,vnbs.0,DIENER 2,diener_2,,
qd,vnbs.0,ERSTER EDELMANN,erster_edelmann,,
