corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vnd5.0,710,1718,KÖNIG,könig,Mag,VMFIN,mögen,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Ruhm,NN,ruhm,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,den,PRELS,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,jeder,PIS,jeder,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,sucht,VVFIN,suchen,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,solang,ADJD,solang,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,',$[,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,er,PPER,er,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,lebt,VVFIN,leben,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Leben,NN,leben,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,in,APPR,in,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Schrift,NN,schrift,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,auf,APPR,auf,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,unserm,APPRART,unser,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,erznen,ADJA,erznen,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Grabe,NN,grab,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Und,KON,und,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,dann,ADV,dann,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,uns,PRF,uns,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,zieren,VVINF,zieren,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,in,APPR,in,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,des,ART,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Todes,NN,tod,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Unzier,NE,unzier,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,;,$.,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Wenn,KOUS,wenn,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,trotz,APPR,trotz,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,der,ART,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,räuberisch,ADJD,räuberisch,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,gefräß,ADJD,gefräß,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,',$[,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,gen,APPR,gen,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Zeit,NN,zeit,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Das,ART,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Streben,NN,streben,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,dieser,PDAT,dieser,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Gegenwart,NN,gegenwart,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,uns,PPER,uns,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,kauft,VVFIN,kaufen,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Die,ART,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Ehre,NN,ehre,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,die,PRELS,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,der,ART,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Sichel,NN,sichel,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Schärf,NE,schärf,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,',$[,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,ihr,PPOSAT,ihr,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,stumpft,NN,stumpfen,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Und,KON,und,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,uns,PPER,uns,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,zu,APPR,zu,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Erben,NN,erbe,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,macht,VVFIN,machen,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,der,ART,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,ganzen,ADJA,ganz,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Zukunft,NN,zukunft,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,.,$.,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,–,XY,–,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Deshalb,PROAV,deshalb,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,ihr,PPOSAT,ihr,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,tapfern,ADJA,tapfern,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Sieger,NN,sieger,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,"!",$.,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,–,XY,–,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,denn,KON,denn,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,das,ART,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,seid,ADJD,sein,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,ihr,PPOSAT,ihr,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Die,PRELS,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,ihr,PPOSAT,ihr,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,die,ART,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,eigne,ADJA,eign,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Neigung,NN,neigung,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,kühn,CARD,kühn,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,bekämpft,VVPP,bekämpfen,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Zusamt,NN,zusamt,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,der,ART,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,ird,FM,ird,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,',$[,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,schen,ADJA,schen,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Lüste,NN,lüste,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,mächt,VVFIN,mächen,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,',$[,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,gem,ADJA,g,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Heer,NN,heer,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,–,XY,–,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Bleib,NE,bleib,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,',$[,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,unser,PPOSAT,unser,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,letzt,ADJD,letzt,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Gebot,NN,gebot,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,in,APPR,in,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,voller,ADJA,voll,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Kraft,NN,kraft,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,:,$.,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Navarra,NE,navarra,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,soll,VMFIN,sollen,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,das,ART,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Wunder,NN,wunder,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,sein,PPOSAT,sein,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,der,ART,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Welt,NN,welt,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,;,$.,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Sein,PPOSAT,sein,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Hof,NN,hof,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,sei,VAFIN,sein,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,eine,ART,ein,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,klein,ADJD,klein,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,',$[,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Akademie,NN,akademie,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Der,ART,der,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Kunst,NN,kunst,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,stiller,ADJD,still,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Beschaulichkeit,NN,beschaulichkeit,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,ergeben,VVPP,ergeben,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,.,$.,--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Ihr,PPOSAT,ihr,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,drei,CARD,drei,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Biron,NE,biron,29031,biron,(1)
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Dumain,NE,dumain,29031,dumain,(3)
qd,vnd5.0,710,1718,KÖNIG,könig,und,KON,und,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Longaville,NN,longaville,29031,longaville,(11)
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Beschwurt,NN,beschwurt,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,",","$,",--,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,drei,CARD,drei,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Jahre,NN,jahr,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,hier,ADV,hier,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,mit,APPR,mit,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,mir,PPER,sich,29031,könig,(10)
qd,vnd5.0,710,1718,KÖNIG,könig,zu,PTKZU,zu,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,leben,VVINF,leben,29031,,
qd,vnd5.0,710,1718,KÖNIG,könig,Als,APPR,als,29031,,
