corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,vndf.0,lorenzo,21,
qd,vndf.0,erster_bediente_2,10,
qd,vndf.0,der_bediente_3,7,
qd,vndf.0,ein_bürger_2,16,
qd,vndf.0,zweiter_wächter,37,
qd,vndf.0,zweiter_bediente_1,9,
qd,vndf.0,capulet,13,
qd,vndf.0,prinz,31,
qd,vndf.0,erster_wärter,40,
qd,vndf.0,bediente_pl,3,
qd,vndf.0,gregorio,17,
qd,vndf.0,julia,20,
qd,vndf.0,romeo,32,
qd,vndf.0,mercutio,23,
qd,vndf.0,erster_musikant,25,
qd,vndf.0,dritter_wächter,38,
qd,vndf.0,wächter_pl,35,
qd,vndf.0,peter,30,
qd,vndf.0,erster_bediente_1,8,
qd,vndf.0,wärterin,39,
qd,vndf.0,abraham,0,
qd,vndf.0,tybalt,34,
qd,vndf.0,page,28,
qd,vndf.0,ein_bürger_1,15,
qd,vndf.0,gräfin_montague,19,
qd,vndf.0,marcus,22,
qd,vndf.0,erster_wächter,36,
qd,vndf.0,balthasar,2,
qd,vndf.0,dritter_musikant,27,
qd,vndf.0,der_bediente_2,6,
qd,vndf.0,der_bediente_1,5,
qd,vndf.0,zweiter_musikant,26,
qd,vndf.0,simson,33,
qd,vndf.0,zweiter_capulet,14,
qd,vndf.0,bedienter,4,
qd,vndf.0,benvolio,12,
qd,vndf.0,montague,24,
qd,vndf.0,gräfin_capulet,18,
qd,vndf.0,zweiter_bediente_2,11,
qd,vndf.0,apotheker,1,
qd,vndf.0,paris,29,
