corpus,drama,figure_surface,figure_id,Gender,Age
qd,vnf1.0,ERPINGHAM,erpingham,,
qd,vnf1.0,PISTOL,pistol,,
qd,vnf1.0,BURSCH,bursch,,
qd,vnf1.0,WARWICK,warwick,,
qd,vnf1.0,ISABELLE,isabelle,,
qd,vnf1.0,BARDOLPH,bardolph,,
qd,vnf1.0,RAMBURES,rambures,,
qd,vnf1.0,JAMY,jamy,,
qd,vnf1.0,KÖNIG HEINRICH,könig_heinrich,,
qd,vnf1.0,BOTE 3,bote_3,,
qd,vnf1.0,NYM,nym,,
qd,vnf1.0,GREY,grey,,
qd,vnf1.0,BOURBON,bourbon,,
qd,vnf1.0,EXETER,exeter,,
qd,vnf1.0,YORK,york,,
qd,vnf1.0,ALICE,alice,,
qd,vnf1.0,MACMORRIS,macmorris,,
qd,vnf1.0,BOTE 1,bote_1,,
qd,vnf1.0,SALISBURY,salisbury,,
qd,vnf1.0,HEROLD,herold,,
qd,vnf1.0,FRANZÖSISCHER SOLDAT,französischer_soldat,,
qd,vnf1.0,KATHARINA,katharina,,
qd,vnf1.0,BURGUND,burgund,,
qd,vnf1.0,BOTE 3,bote_2,,
qd,vnf1.0,CONNETABLE,connetable,,
qd,vnf1.0,KÖNIG KARL,könig_karl,,
qd,vnf1.0,MONTJOYE,montjoye,,
qd,vnf1.0,COURT,court,,
qd,vnf1.0,CANTERBURY,canterbury,,
qd,vnf1.0,WESTMORELAND,westmoreland,,
qd,vnf1.0,BEDFORD,bedford,,
qd,vnf1.0,DAUPHIN,dauphin,,
qd,vnf1.0,FLUELLEN,fluellen,,
qd,vnf1.0,ALLE,alle,,
qd,vnf1.0,ELY,ely,,
qd,vnf1.0,GOWER,gower,,
qd,vnf1.0,GLOSTER,gloster,,
qd,vnf1.0,CAMBRIDGE,cambridge,,
qd,vnf1.0,BEFEHLSHABER,befehlshaber,,
qd,vnf1.0,GRANDPRE,grandpre,,
qd,vnf1.0,WILLIAMS,williams,,
qd,vnf1.0,BATES,bates,,
qd,vnf1.0,FRAU HURTIG,frau_hurtig,,
qd,vnf1.0,GESANDTER,gesandter,,
qd,vnf1.0,CHORUS,chorus,,
qd,vnf1.0,SCROOP,scroop,,
qd,vnf1.0,ORLEANS,orleans,,
