corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vnf1.0,1311,2770,CHORUS,chorus,Oh,ITJ,oh,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,"!",$.,--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,eine,ART,ein,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Feuermuse,NN,feuermuse,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,",","$,",--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,die,ART,der,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,hinan,ADV,hinan,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Den,ART,der,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,hellsten,ADJA,hell,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Himmel,NN,himmel,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,der,ART,der,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Erfindung,NN,erfindung,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,stiege,VVFIN,stiegen,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,"!",$.,--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Ein,ART,ein,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Reich,NN,reich,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,zur,APPRART,zu,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Bühne,NN,bühne,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,",","$,",--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Prinzen,NN,prinz,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,drauf,PROAV,drauf,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,zu,PTKZU,zu,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,spielen,VVINF,spielen,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,",","$,",--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Monarchen,NN,monarchen,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,",","$,",--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,um,KOUI,um,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,der,ART,der,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Szene,NN,szene,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Pomp,NE,pomp,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,zu,PTKZU,zu,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,schaun,VVINF,schaun,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,"!",$.,--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Dann,ADV,dann,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,käm,ADJD,käm,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,',$[,--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,",","$,",--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,sich,PRF,sich,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,selber,ADV,selber,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,gleich,ADV,gleich,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,",","$,",--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,der,ART,der,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,tapfre,ADJA,tapfr,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Heinrich,NE,heinrich,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,In,APPR,in,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Mars,NE,mars,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,',$[,--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Gestalt,NN,gestalt,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,;,$.,--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,wie,KOKOM,wie,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Hund,NN,hund,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,',$[,--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,an,APPR,an,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,seinen,PPOSAT,sein,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Fersen,NN,fers,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Gekoppelt,VVPP,gekoppelt,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,",","$,",--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,würde,VAFIN,werden,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Hunger,NN,hunger,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,",","$,",--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Feu,FM,feu,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,',$[,--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,r,NN,--,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,und,KON,und,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Schwert,NN,schwert,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Um,APPR,um,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,Dienst,NN,dienst,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,sich,PRF,sich,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,schmiegen,VVINF,schmiegen,31732,,
qd,vnf1.0,1311,2770,CHORUS,chorus,.,$.,--,31732,,
