corpus,drama,figure_surface,figure_id,Gender,Age
qd,vnh9.0,HEROLD,herold,,
qd,vnh9.0,ERSTER BÜRGER,erster_bürger,,
qd,vnh9.0,ZWEITER SUPPLIKANT,zweiter_supplikant,,
qd,vnh9.0,YORK,york,,
qd,vnh9.0,BOTE 3,bote_3,,
qd,vnh9.0,GEIST,geist,,
qd,vnh9.0,KÖNIGIN,königin,,
qd,vnh9.0,VOLK,volk,,
qd,vnh9.0,SUFFOLK,suffolk,,
qd,vnh9.0,STANLEY,stanley,,
qd,vnh9.0,SCHULZ,schulz,,
qd,vnh9.0,HORNER,horner,,
qd,vnh9.0,MÄRTEN,märten,,
qd,vnh9.0,BOTE 2,bote_2,,
qd,vnh9.0,JOHANN,johann,,
qd,vnh9.0,GLOSTER,gloster,,
qd,vnh9.0,PETER,peter,,
qd,vnh9.0,SHERIFF,sheriff,,
qd,vnh9.0,SCALES,scales,,
qd,vnh9.0,IDEN,iden,,
qd,vnh9.0,KARDINAL,kardinal,,
qd,vnh9.0,ZWEITER EDELMANN,zweiter_edelmann,,
qd,vnh9.0,VAUX,vaux,,
qd,vnh9.0,SIMPCOX,simpcox,,
qd,vnh9.0,ALLE,alle,,
qd,vnh9.0,HUME,hume,,
qd,vnh9.0,ERSTER LEHRBURSCHE,erster_lehrbursche,,
qd,vnh9.0,SMITH,smith,,
qd,vnh9.0,PATRON,patron,,
qd,vnh9.0,GRETE JORDAN,grete_jordan,,
qd,vnh9.0,ERSTER SUPPLIKANT,erster_supplikant,,
qd,vnh9.0,WILLIAM STAFFORD,william_stafford,,
qd,vnh9.0,CLIFFORD,clifford,,
qd,vnh9.0,GEHÜLFE,gehülfe,,
qd,vnh9.0,BÜTTEL,büttel,,
qd,vnh9.0,CADE,cade,,
qd,vnh9.0,ZWEITER MÖRDER,zweiter_mörder,,
qd,vnh9.0,BOTE 1,bote_1,,
qd,vnh9.0,FRAU,frau,,
qd,vnh9.0,GEORG,georg,,
qd,vnh9.0,SALISBURY,salisbury,,
qd,vnh9.0,KÖNIG HEINRICH,könig_heinrich,,
qd,vnh9.0,BUCKINGHAM,buckingham,,
qd,vnh9.0,ERSTER NACHBAR,erster_nachbar,,
qd,vnh9.0,ZWEITER NACHBAR,zweiter_nachbar,,
qd,vnh9.0,RICHARD,richard,,
qd,vnh9.0,SOLDAT,soldat,,
qd,vnh9.0,ZWEITER BOTE,zweiter_bote,,
qd,vnh9.0,ERSTER MÖRDER,erster_mörder,,
qd,vnh9.0,CLIFFORD SOHN,clifford_sohn,,
qd,vnh9.0,SCHIFFSHAUPTMANN,schiffshauptmann,,
qd,vnh9.0,WITTMER,wittmer,,
qd,vnh9.0,SAY,say,,
qd,vnh9.0,DRITTER NACHBAR,dritter_nachbar,,
qd,vnh9.0,BOLINGBROKE,bolingbroke,,
qd,vnh9.0,MICHEL,michel,,
qd,vnh9.0,EDUARD,eduard,,
qd,vnh9.0,SOMERSET,somerset,,
qd,vnh9.0,BOTE 5,bote_5,,
qd,vnh9.0,HERZOGIN,herzogin,,
qd,vnh9.0,ERSTER EDELMANN,erster_edelmann,,
qd,vnh9.0,ZWEITER LEHRBURSCHE,zweiter_lehrbursche,,
qd,vnh9.0,BEDIENTER,bedienter,,
qd,vnh9.0,WARWICK,warwick,,
qd,vnh9.0,BOTE 4,bote_4,,
qd,vnh9.0,SCHREIBER,schreiber,,
qd,vnh9.0,EINWOHNER,einwohner,,
qd,vnh9.0,STAFFORD,stafford,,
