corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,vnh9.0,herold,25,
qd,vnh9.0,erster_bürger,10,
qd,vnh9.0,zweiter_supplikant,61,
qd,vnh9.0,york,67,
qd,vnh9.0,bote_3,5,
qd,vnh9.0,geist,21,
qd,vnh9.0,königin,33,
qd,vnh9.0,volk,63,
qd,vnh9.0,suffolk,59,
qd,vnh9.0,stanley,58,
qd,vnh9.0,schulz,51,
qd,vnh9.0,horner,27,
qd,vnh9.0,märten,37,
qd,vnh9.0,bote_2,4,
qd,vnh9.0,johann,30,
qd,vnh9.0,gloster,23,
qd,vnh9.0,peter,44,
qd,vnh9.0,sheriff,52,
qd,vnh9.0,scales,48,
qd,vnh9.0,iden,29,
qd,vnh9.0,kardinal,31,
qd,vnh9.0,zweiter_edelmann,16,
qd,vnh9.0,vaux,62,
qd,vnh9.0,simpcox,53,
qd,vnh9.0,alle,0,
qd,vnh9.0,hume,28,
qd,vnh9.0,erster_lehrbursche,34,
qd,vnh9.0,smith,54,
qd,vnh9.0,patron,43,
qd,vnh9.0,grete_jordan,24,
qd,vnh9.0,erster_supplikant,60,
qd,vnh9.0,william_stafford,65,
qd,vnh9.0,clifford,13,
qd,vnh9.0,gehülfe,20,
qd,vnh9.0,büttel,11,
qd,vnh9.0,cade,12,
qd,vnh9.0,zweiter_mörder,39,
qd,vnh9.0,bote_1,3,
qd,vnh9.0,frau,19,
qd,vnh9.0,georg,22,
qd,vnh9.0,salisbury,46,
qd,vnh9.0,könig_heinrich,32,
qd,vnh9.0,buckingham,9,
qd,vnh9.0,erster_nachbar,40,
qd,vnh9.0,zweiter_nachbar,41,
qd,vnh9.0,richard,45,
qd,vnh9.0,soldat,55,
qd,vnh9.0,zweiter_bote,6,
qd,vnh9.0,erster_mörder,38,
qd,vnh9.0,clifford_sohn,14,
qd,vnh9.0,schiffshauptmann,49,
qd,vnh9.0,wittmer,66,
qd,vnh9.0,say,47,
qd,vnh9.0,dritter_nachbar,42,
qd,vnh9.0,bolingbroke,2,
qd,vnh9.0,michel,36,
qd,vnh9.0,eduard,17,
qd,vnh9.0,somerset,56,
qd,vnh9.0,bote_5,8,
qd,vnh9.0,herzogin,26,
qd,vnh9.0,erster_edelmann,15,
qd,vnh9.0,zweiter_lehrbursche,35,
qd,vnh9.0,bedienter,1,
qd,vnh9.0,warwick,64,
qd,vnh9.0,bote_4,7,
qd,vnh9.0,schreiber,50,
qd,vnh9.0,einwohner,18,
qd,vnh9.0,stafford,57,
