corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,vnh9.0,1509,35212,0,1530,13918,0
qd,vnh9.0,1509,35212,0,13932,19196,0
qd,vnh9.0,1509,35212,0,19211,30743,0
qd,vnh9.0,1509,35212,0,30757,35212,0
qd,vnh9.0,35229,62121,0,35251,46276,0
qd,vnh9.0,35229,62121,0,46290,50357,0
qd,vnh9.0,35229,62121,0,50371,56341,0
qd,vnh9.0,35229,62121,0,56355,62121,0
qd,vnh9.0,62138,103032,0,62160,80583,0
qd,vnh9.0,62138,103032,0,80598,101135,0
qd,vnh9.0,62138,103032,0,101149,103032,0
qd,vnh9.0,103049,145196,0,103071,110843,0
qd,vnh9.0,103049,145196,0,110858,120932,0
qd,vnh9.0,103049,145196,0,120946,121965,0
qd,vnh9.0,103049,145196,0,121979,125339,0
qd,vnh9.0,103049,145196,0,125353,126127,0
qd,vnh9.0,103049,145196,0,126142,127127,0
qd,vnh9.0,103049,145196,0,127141,134396,0
qd,vnh9.0,103049,145196,0,134410,138129,0
qd,vnh9.0,103049,145196,0,138144,140781,0
qd,vnh9.0,103049,145196,0,140795,145196,0
qd,vnh9.0,145213,162937,0,145235,156380,0
qd,vnh9.0,145213,162937,0,156394,161163,0
qd,vnh9.0,145213,162937,0,161177,162937,0
