corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vnh9.0,1562,1597,_Stage,_Stage,London,NE,london,32408,,
qd,vnh9.0,1562,1597,_Stage,_Stage,.,$.,--,32408,,
qd,vnh9.0,1562,1597,_Stage,_Stage,Ein,ART,ein,32408,,
qd,vnh9.0,1562,1597,_Stage,_Stage,Staatszimmer,NN,staatszimmer,32408,,
qd,vnh9.0,1562,1597,_Stage,_Stage,im,APPRART,in,32408,,
qd,vnh9.0,1562,1597,_Stage,_Stage,Palast,NN,palast,32408,,
qd,vnh9.0,1562,1597,_Stage,_Stage,.,$.,--,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,Trompetenstoß,NN,trompetenstoß,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,",","$,",--,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,hierauf,ADV,hierauf,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,Hoboen,VVINF,hoboen,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,.,$.,--,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,Von,APPR,von,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,der,ART,der,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,einen,ADJA,ein,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,Seite,NN,seite,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,kommen,VVFIN,kommen,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,König,NN,könig,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,Heinrich,NE,heinrich,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,",","$,",--,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,Herzog,NE,herzog,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,von,APPR,von,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,Gloster,NE,gloster,32408,,(23)
qd,vnh9.0,1601,1846,_Stage,_Stage,",","$,",--,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,Salisbury,NE,salisbury,32408,,(46)
qd,vnh9.0,1601,1846,_Stage,_Stage,",","$,",--,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,Warwick,NN,warwick,32408,,(64)
qd,vnh9.0,1601,1846,_Stage,_Stage,und,KON,und,32408,,
qd,vnh9.0,1601,1846,_Stage,_Stage,Kardinal,NN,kardinal,32408,,(31)
qd,vnh9.0,1601,1846,_Stage,_Stage,Beaufort,VVPP,beaufort,32408,,(31)
