corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,vnj5.0,809,31758,0,830,5879,0
qd,vnj5.0,809,31758,0,5893,17627,0
qd,vnj5.0,809,31758,0,17641,31758,0
qd,vnj5.0,31775,80489,0,31797,37375,0
qd,vnj5.0,31775,80489,0,37389,43949,0
qd,vnj5.0,31775,80489,0,43963,50120,0
qd,vnj5.0,31775,80489,0,50134,80489,0
qd,vnj5.0,80506,113658,0,80528,93660,0
qd,vnj5.0,80506,113658,0,93674,101819,0
qd,vnj5.0,80506,113658,0,101833,113658,0
qd,vnj5.0,113675,132601,0,113697,120263,0
qd,vnj5.0,113675,132601,0,120277,125041,0
qd,vnj5.0,113675,132601,0,125055,130512,0
qd,vnj5.0,113675,132601,0,130526,132601,0
qd,vnj5.0,132618,159687,0,132640,139651,0
qd,vnj5.0,132618,159687,0,139666,144536,0
qd,vnj5.0,132618,159687,0,144550,148231,0
qd,vnj5.0,132618,159687,0,148246,157519,0
qd,vnj5.0,132618,159687,0,157534,159687,0
