corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vnj5.0,862,891,_Stage,_Stage,London,NE,london,32063,,
qd,vnj5.0,862,891,_Stage,_Stage,.,$.,--,32063,,
qd,vnj5.0,862,891,_Stage,_Stage,Ein,ART,ein,32063,,
qd,vnj5.0,862,891,_Stage,_Stage,Zimmer,NN,zimmer,32063,,
qd,vnj5.0,862,891,_Stage,_Stage,im,APPRART,in,32063,,
qd,vnj5.0,862,891,_Stage,_Stage,Palast,NN,palast,32063,,
qd,vnj5.0,862,891,_Stage,_Stage,.,$.,--,32063,,
qd,vnj5.0,895,963,_Stage,_Stage,König,NN,könig,32063,,
qd,vnj5.0,895,963,_Stage,_Stage,Heinrich,NE,heinrich,32063,,
qd,vnj5.0,895,963,_Stage,_Stage,",","$,",--,32063,,
qd,vnj5.0,895,963,_Stage,_Stage,Westmoreland,NN,westmoreland,32063,,(33)
qd,vnj5.0,895,963,_Stage,_Stage,",","$,",--,32063,,
qd,vnj5.0,895,963,_Stage,_Stage,Sir,NN,Sir,32063,,
qd,vnj5.0,895,963,_Stage,_Stage,Walter,NE,walter,32063,,
qd,vnj5.0,895,963,_Stage,_Stage,Blunt,NE,blunt,32063,,(2)
qd,vnj5.0,895,963,_Stage,_Stage,und,KON,und,32063,,
qd,vnj5.0,895,963,_Stage,_Stage,andre,PIS,andre,32063,,
qd,vnj5.0,895,963,_Stage,_Stage,treten,VVFIN,treten,32063,,
qd,vnj5.0,895,963,_Stage,_Stage,auf,PTKVZ,auf,32063,,
qd,vnj5.0,895,963,_Stage,_Stage,.,$.,--,32063,,
qd,vnj5.0,5871,5879,WESTMORELAND,westmoreland,Alle,PIDAT,alle,32063,,
qd,vnj5.0,5871,5879,WESTMORELAND,westmoreland,ab,PTKVZ,ab,32063,,
qd,vnj5.0,5871,5879,WESTMORELAND,westmoreland,.,$.,--,32063,,
qd,vnj5.0,5927,5956,_Stage,_Stage,Ein,ART,ein,32063,,
qd,vnj5.0,5927,5956,_Stage,_Stage,anderes,ADJA,anderer,32063,,
qd,vnj5.0,5927,5956,_Stage,_Stage,Zimmer,NN,zimmer,32063,,
qd,vnj5.0,5927,5956,_Stage,_Stage,im,APPRART,in,32063,,
qd,vnj5.0,5927,5956,_Stage,_Stage,Palast,NN,palast,32063,,
qd,vnj5.0,5927,5956,_Stage,_Stage,.,$.,--,32063,,
qd,vnj5.0,5960,6009,_Stage,_Stage,Prinz,NN,prinz,32063,,(25
qd,vnj5.0,5960,6009,_Stage,_Stage,Heinrich,NE,heinrich,32063,,25)
qd,vnj5.0,5960,6009,_Stage,_Stage,von,APPR,von,32063,,
qd,vnj5.0,5960,6009,_Stage,_Stage,Wales,NN,wales,32063,,
qd,vnj5.0,5960,6009,_Stage,_Stage,und,KON,und,32063,,
qd,vnj5.0,5960,6009,_Stage,_Stage,Falstaff,NN,falstaff,32063,,(9)
qd,vnj5.0,5960,6009,_Stage,_Stage,treten,VVFIN,treten,32063,,
qd,vnj5.0,5960,6009,_Stage,_Stage,auf,PTKVZ,auf,32063,,
qd,vnj5.0,5960,6009,_Stage,_Stage,.,$.,--,32063,,
qd,vnj5.0,11903,11919,FALSTAFF,falstaff,Poins,NE,poins,32063,,(24)
qd,vnj5.0,11903,11919,FALSTAFF,falstaff,tritt,VVFIN,treten,32063,,
qd,vnj5.0,11903,11919,FALSTAFF,falstaff,auf,PTKVZ,auf,32063,,
qd,vnj5.0,11903,11919,FALSTAFF,falstaff,.,$.,--,32063,,
qd,vnj5.0,14689,14701,PRINZ HEINRICH,prinz_heinrich,Falstaff,NE,falstaff,32063,,(9)
qd,vnj5.0,14689,14701,PRINZ HEINRICH,prinz_heinrich,ab,PTKVZ,ab,32063,,
qd,vnj5.0,14689,14701,PRINZ HEINRICH,prinz_heinrich,.,$.,--,32063,,
qd,vnj5.0,16603,16606,POINS,poins,Ab,APPR,ab,32063,,
qd,vnj5.0,16603,16606,POINS,poins,.,$.,--,32063,,
qd,vnj5.0,17624,17627,PRINZ HEINRICH,prinz_heinrich,Ab,APPR,ab,32063,,
qd,vnj5.0,17624,17627,PRINZ HEINRICH,prinz_heinrich,.,$.,--,32063,,
qd,vnj5.0,17675,17703,_Stage,_Stage,Ein,ART,ein,32063,,
qd,vnj5.0,17675,17703,_Stage,_Stage,andres,ADJA,andr,32063,,
qd,vnj5.0,17675,17703,_Stage,_Stage,Zimmer,NN,zimmer,32063,,
qd,vnj5.0,17675,17703,_Stage,_Stage,im,APPRART,in,32063,,
qd,vnj5.0,17675,17703,_Stage,_Stage,Palast,NN,palast,32063,,
qd,vnj5.0,17675,17703,_Stage,_Stage,.,$.,--,32063,,
qd,vnj5.0,17707,17785,_Stage,_Stage,König,NN,könig,32063,,
qd,vnj5.0,17707,17785,_Stage,_Stage,Heinrich,NE,heinrich,32063,,
qd,vnj5.0,17707,17785,_Stage,_Stage,",","$,",--,32063,,
qd,vnj5.0,17707,17785,_Stage,_Stage,Northumberland,NE,northumberland,32063,,(21)
qd,vnj5.0,17707,17785,_Stage,_Stage,",","$,",--,32063,,
qd,vnj5.0,17707,17785,_Stage,_Stage,Worcester,NN,worcester,32063,,(35)
qd,vnj5.0,17707,17785,_Stage,_Stage,",","$,",--,32063,,
qd,vnj5.0,17707,17785,_Stage,_Stage,Percy,NE,percy,32063,,(22)
qd,vnj5.0,17707,17785,_Stage,_Stage,",","$,",--,32063,,
qd,vnj5.0,17707,17785,_Stage,_Stage,Sir,NN,Sir,32063,,
qd,vnj5.0,17707,17785,_Stage,_Stage,Walter,NE,walter,32063,,
qd,vnj5.0,17707,17785,_Stage,_Stage,Blunt,NE,blunt,32063,,(2)
qd,vnj5.0,17707,17785,_Stage,_Stage,und,KON,und,32063,,
qd,vnj5.0,17707,17785,_Stage,_Stage,andere,PIS,anderer,32063,,
qd,vnj5.0,17707,17785,_Stage,_Stage,.,$.,--,32063,,
qd,vnj5.0,18718,18731,KÖNIG HEINRICH,könig_heinrich,Worcester,NN,worcester,32063,,(35)
qd,vnj5.0,18718,18731,KÖNIG HEINRICH,könig_heinrich,ab,PTKVZ,ab,32063,,
qd,vnj5.0,18718,18731,KÖNIG HEINRICH,könig_heinrich,.,$.,--,32063,,
qd,vnj5.0,18735,18753,KÖNIG HEINRICH,könig_heinrich,Zu,PTKZU,zu,32063,,
qd,vnj5.0,18735,18753,KÖNIG HEINRICH,könig_heinrich,Northumberland,VVINF,northumberland,32063,,(21)
qd,vnj5.0,18735,18753,KÖNIG HEINRICH,könig_heinrich,.,$.,--,32063,,
qd,vnj5.0,23286,23323,KÖNIG HEINRICH,könig_heinrich,König,NN,könig,32063,,
qd,vnj5.0,23286,23323,KÖNIG HEINRICH,könig_heinrich,Heinrich,NE,heinrich,32063,,
qd,vnj5.0,23286,23323,KÖNIG HEINRICH,könig_heinrich,",","$,",--,32063,,
qd,vnj5.0,23286,23323,KÖNIG HEINRICH,könig_heinrich,Blunt,NN,blunt,32063,,(2)
qd,vnj5.0,23286,23323,KÖNIG HEINRICH,könig_heinrich,und,KON,und,32063,,
qd,vnj5.0,23286,23323,KÖNIG HEINRICH,könig_heinrich,Gefolge,NN,gefolge,32063,,
qd,vnj5.0,23286,23323,KÖNIG HEINRICH,könig_heinrich,ab,PTKVZ,ab,32063,,
qd,vnj5.0,23286,23323,KÖNIG HEINRICH,könig_heinrich,.,$.,--,32063,,
qd,vnj5.0,23628,23651,NORTHUMBERLAND,northumberland,Worcester,NE,worcester,32063,,(35)
qd,vnj5.0,23628,23651,NORTHUMBERLAND,northumberland,kommt,VVFIN,kommen,32063,,
qd,vnj5.0,23628,23651,NORTHUMBERLAND,northumberland,zurück,PTKVZ,zurück,32063,,
qd,vnj5.0,23628,23651,NORTHUMBERLAND,northumberland,.,$.,--,32063,,
qd,vnj5.0,31750,31758,PERCY,percy,Alle,PIDAT,alle,32063,,
qd,vnj5.0,31750,31758,PERCY,percy,ab,PTKVZ,ab,32063,,
qd,vnj5.0,31750,31758,PERCY,percy,.,$.,--,32063,,
qd,vnj5.0,31829,31864,_Stage,_Stage,Rochester,NE,rochester,32063,,
qd,vnj5.0,31829,31864,_Stage,_Stage,.,$.,--,32063,,
qd,vnj5.0,31829,31864,_Stage,_Stage,Ein,ART,ein,32063,,
qd,vnj5.0,31829,31864,_Stage,_Stage,Hof,NN,hof,32063,,
qd,vnj5.0,31829,31864,_Stage,_Stage,in,APPR,in,32063,,
qd,vnj5.0,31829,31864,_Stage,_Stage,der,ART,der,32063,,
qd,vnj5.0,31829,31864,_Stage,_Stage,Herberge,NN,herberge,32063,,
qd,vnj5.0,31829,31864,_Stage,_Stage,.,$.,--,32063,,
qd,vnj5.0,31868,31924,_Stage,_Stage,Ein,ART,ein,32063,,
qd,vnj5.0,31868,31924,_Stage,_Stage,Kärrner,NN,kärrner,32063,,
