corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,vpv1.0,897,1136,_stage,897,907,Marzelline,marzelline
qd,vpv1.0,897,1136,_stage,1000,1007,Jaquino,jaquino
qd,vpv1.0,1287,1399,marzelline,1361,1364,Ich,marzelline
qd,vpv1.0,1448,1490,marzelline,1475,1478,ich,marzelline
qd,vpv1.0,1496,1582,jaquino,1514,1517,mir,jaquino
qd,vpv1.0,1496,1582,jaquino,1557,1560,ich,jaquino
qd,vpv1.0,1588,1674,marzelline,1623,1627,mich,marzelline
qd,vpv1.0,1588,1674,marzelline,1649,1652,ich,marzelline
qd,vpv1.0,1588,1674,marzelline,1653,1656,mir,marzelline
qd,vpv1.0,1680,1754,jaquino,1712,1715,mir,jaquino
qd,vpv1.0,1680,1754,jaquino,1730,1733,ich,jaquino
qd,vpv1.0,1760,1831,marzelline,1780,1783,ich,marzelline
qd,vpv1.0,1837,1894,jaquino,1847,1850,Ich,jaquino
qd,vpv1.0,1935,2000,jaquino,1955,1958,mir,jaquino
qd,vpv1.0,2202,2246,marzelline,2221,2224,ich,marzelline
qd,vpv1.0,2251,2327,jaquino,2268,2271,ich,jaquino
qd,vpv1.0,2251,2327,jaquino,2314,2317,mir,jaquino
qd,vpv1.0,2333,2653,marzelline,2368,2371,mir,marzelline
qd,vpv1.0,2333,2653,marzelline,2402,2405,mir,marzelline
qd,vpv1.0,2415,2525,_stage,2415,2422,Jaquino,jaquino
qd,vpv1.0,2415,2525,_stage,2491,2501,Marzelline,marzelline
qd,vpv1.0,2333,2653,marzelline,2528,2531,Ich,marzelline
qd,vpv1.0,2333,2653,marzelline,2572,2575,mir,marzelline
qd,vpv1.0,2333,2653,marzelline,2610,2613,ich,marzelline
qd,vpv1.0,2659,2722,jaquino,2691,2694,ich,jaquino
qd,vpv1.0,2659,2722,jaquino,2708,2712,mich,jaquino
qd,vpv1.0,2775,2851,jaquino,2810,2813,mir,jaquino
qd,vpv1.0,2857,2960,marzelline,2901,2905,mein,marzelline
qd,vpv1.0,3054,3146,marzelline,3078,3081,Ich,marzelline
qd,vpv1.0,3255,3321,jaquino,3294,3297,mir,jaquino
qd,vpv1.0,3365,3411,jaquino,3382,3385,mir,jaquino
qd,vpv1.0,3524,3568,marzelline,3543,3546,ich,marzelline
qd,vpv1.0,3573,3651,jaquino,3634,3637,mir,jaquino
qd,vpv1.0,3657,3768,marzelline,3720,3723,mir,marzelline
qd,vpv1.0,3773,4021,jaquino,3788,3791,ich,jaquino
qd,vpv1.0,3773,4021,jaquino,3860,3863,ich,jaquino
qd,vpv1.0,3773,4021,jaquino,3885,3892,Jaquino,jaquino
qd,vpv1.0,3773,4021,jaquino,3904,3914,Marzelline,marzelline
qd,vpv1.0,3773,4021,jaquino,3929,3932,ich,jaquino
qd,vpv1.0,4027,4134,marzelline,4071,4074,ich,marzelline
qd,vpv1.0,4027,4134,marzelline,4086,4089,ich,marzelline
qd,vpv1.0,4139,4315,jaquino,4203,4206,Ich,jaquino
qd,vpv1.0,4139,4315,jaquino,4252,4262,Marzelline,marzelline
qd,vpv1.0,4139,4315,jaquino,4281,4284,ich,jaquino
qd,vpv1.0,4320,4368,rocco,4351,4358,Jaquino,jaquino
qd,vpv1.0,4320,4368,rocco,4360,4367,Jaquino,jaquino
qd,vpv1.0,4660,4706,rocco,4682,4689,Jaquino,jaquino
qd,vpv1.0,4712,4865,jaquino,4734,4737,Ich,jaquino
qd,vpv1.0,4712,4865,jaquino,4754,4764,Marzelline,marzelline
qd,vpv1.0,4916,4934,_stage,4916,4926,Marzelline,marzelline
qd,vpv1.0,4937,5412,marzelline,4959,4966,Jaquino,jaquino
qd,vpv1.0,4937,5412,marzelline,4974,4978,mich,marzelline
qd,vpv1.0,4937,5412,marzelline,4993,4996,ich,marzelline
qd,vpv1.0,4937,5412,marzelline,5013,5016,Ich,marzelline
qd,vpv1.0,4937,5412,marzelline,5103,5106,mir,marzelline
qd,vpv1.0,4937,5412,marzelline,5114,5118,mich,marzelline
qd,vpv1.0,4937,5412,marzelline,5180,5183,ich,marzelline
qd,vpv1.0,4937,5412,marzelline,5188,5195,Jaquino,jaquino
qd,vpv1.0,4937,5412,marzelline,5208,5211,ich,marzelline
qd,vpv1.0,4937,5412,marzelline,5231,5234,ich,marzelline
qd,vpv1.0,4937,5412,marzelline,5248,5251,Ich,marzelline
qd,vpv1.0,4937,5412,marzelline,5277,5280,mir,marzelline
qd,vpv1.0,4937,5412,marzelline,5305,5308,ich,marzelline
qd,vpv1.0,4937,5412,marzelline,5364,5368,mein,marzelline
qd,vpv1.0,5417,6084,marzelline,5437,5440,ich,marzelline
qd,vpv1.0,5417,6084,marzelline,5566,5569,ich,marzelline
qd,vpv1.0,5417,6084,marzelline,5743,5746,ich,marzelline
qd,vpv1.0,5417,6084,marzelline,5795,5798,ich,marzelline
qd,vpv1.0,5417,6084,marzelline,6073,6076,ich,marzelline
qd,vpv1.0,6136,6163,_stage,6136,6146,Marzelline,marzelline
qd,vpv1.0,6136,6163,_stage,6148,6153,Rocco,rocco
qd,vpv1.0,6136,6163,_stage,6155,6162,Jaquino,jaquino
qd,vpv1.0,6166,6266,_stage,6166,6171,Rocco,rocco
qd,vpv1.0,6166,6266,_stage,6194,6201,Jaquino,jaquino
qd,vpv1.0,6269,6338,rocco,6288,6298,Marzelline,marzelline
qd,vpv1.0,6373,6566,rocco,6401,6404,ich,rocco
qd,vpv1.0,6373,6566,rocco,6482,6485,Ich,rocco
qd,vpv1.0,6572,6663,jaquino,6607,6610,Ich,jaquino
qd,vpv1.0,6669,6829,marzelline,6764,6771,Leonore,leonore
qd,vpv1.0,6879,6895,_stage,6887,6894,Leonore,leonore
qd,vpv1.0,6898,7298,_stage,6898,6905,Leonore,leonore
qd,vpv1.0,7313,7335,_stage,7317,7324,Leonore,leonore
qd,vpv1.0,7484,7611,rocco,7519,7529,Marzelline,marzelline
qd,vpv1.0,7617,7890,jaquino,7846,7856,Marzelline,marzelline
qd,vpv1.0,7617,7890,jaquino,7858,7865,Leonore,leonore
qd,vpv1.0,7617,7890,jaquino,7870,7875,Rocco,rocco
qd,vpv1.0,7903,7914,_stage,7906,7913,Leonore,leonore
qd,vpv1.0,7975,8182,leonore,8030,8033,Ich,leonore
qd,vpv1.0,7975,8182,leonore,8048,8051,ich,leonore
qd,vpv1.0,7975,8182,leonore,8134,8137,ich,leonore
qd,vpv1.0,8427,8898,rocco,8583,8586,Ich,rocco
qd,vpv1.0,8427,8898,rocco,8676,8679,ich,rocco
qd,vpv1.0,8427,8898,rocco,8708,8711,ich,rocco
qd,vpv1.0,8427,8898,rocco,8785,8788,ich,rocco
qd,vpv1.0,8427,8898,rocco,8874,8880,meiner,rocco
qd,vpv1.0,8427,8898,rocco,8881,8891,Marzelline,marzelline
qd,vpv1.0,8903,8951,leonore,8913,8916,Ich,leonore
qd,vpv1.0,8903,8951,leonore,8935,8938,mir,leonore
qd,vpv1.0,8956,9217,rocco,9036,9039,Ich,rocco
qd,vpv1.0,8956,9217,rocco,9194,9201,Leonore,leonore
qd,vpv1.0,8956,9217,rocco,9206,9216,Marzelline,marzelline
qd,vpv1.0,9223,9309,leonore,9264,9267,ich,leonore
qd,vpv1.0,9223,9309,leonore,9268,9273,meine,leonore
qd,vpv1.0,9314,9546,rocco,9364,9367,ich,rocco
qd,vpv1.0,9563,9735,_stage,9593,9598,Rocco,rocco
qd,vpv1.0,9563,9735,_stage,9599,9606,Leonore,leonore
qd,vpv1.0,9563,9735,_stage,9661,9668,Leonore,leonore
qd,vpv1.0,9551,9842,marzelline,9738,9741,Mir,marzelline
qd,vpv1.0,9551,9842,marzelline,9778,9781,mir,marzelline
qd,vpv1.0,9551,9842,marzelline,9797,9801,mich,marzelline
qd,vpv1.0,9551,9842,marzelline,9817,9820,Ich,marzelline
qd,vpv1.0,9848,9976,leonore,9939,9943,mich,leonore
qd,vpv1.0,10179,10449,jaquino,10307,10310,Mir,jaquino
qd,vpv1.0,10179,10449,jaquino,10365,10368,Mir,jaquino
qd,vpv1.0,10179,10449,jaquino,10389,10392,Mir,jaquino
qd,vpv1.0,10454,10670,rocco,10482,10485,ich,rocco
qd,vpv1.0,10454,10670,rocco,10603,10606,ich,rocco
qd,vpv1.0,10454,10670,rocco,10617,10620,ich,rocco
qd,vpv1.0,10454,10670,rocco,10627,10630,ich,rocco
qd,vpv1.0,10454,10670,rocco,10633,10636,ich,rocco
qd,vpv1.0,10454,10670,rocco,10651,10657,meinem,rocco
qd,vpv1.0,10737,11111,rocco,11067,11070,ich,rocco
qd,vpv1.0,11346,11579,rocco,11359,11364,meine,rocco
qd,vpv1.0,12366,12795,leonore,12412,12417,Rocco,rocco
qd,vpv1.0,12366,12795,leonore,12424,12427,ich,leonore
qd,vpv1.0,12366,12795,leonore,12429,12432,ich,leonore
qd,vpv1.0,12366,12795,leonore,12671,12674,mir,leonore
qd,vpv1.0,12366,12795,leonore,12730,12733,ich,leonore
qd,vpv1.0,12366,12795,leonore,12739,12742,ich,leonore
qd,vpv1.0,12366,12795,leonore,12757,12762,meine,leonore
qd,vpv1.0,12835,13161,leonore,12870,12873,mir,leonore
qd,vpv1.0,12835,13161,leonore,12912,12915,ich,leonore
qd,vpv1.0,12835,13161,leonore,13031,13034,mir,leonore
qd,vpv1.0,12835,13161,leonore,13075,13078,mir,leonore
qd,vpv1.0,12835,13161,leonore,13093,13096,ich,leonore
qd,vpv1.0,13166,13292,rocco,13193,13196,ich,rocco
