corpus,drama,figure_surface,figure_id,Gender,Age
qd,vpvw.0,DER BRUDER MARTIN,der_bruder_martin,,
qd,vpvw.0,BRUDER PETER,bruder_peter,,
qd,vpvw.0,DIE STIMME MARTIN LUTHERS,luthers_stimme,,
qd,vpvw.0,RECHTER CHOR VOLK,das_volk,,
qd,vpvw.0,DER BRUDER LEO,der_bruder_leo,,
qd,vpvw.0,DRITTE GESTALT,dritte_gestalt,,
qd,vpvw.0,DER BÖSE,der_böse,,
qd,vpvw.0,DER BRUDER BERNHARD,der_bruder_bernhard,,
qd,vpvw.0,DER BRUDER ANTONIO,der_bruder_antonio,,
qd,vpvw.0,DER KRÜPPEL,der_krüppel,,
qd,vpvw.0,FREUND JONAS,freund_jonas,,
qd,vpvw.0,ZWEITE GESTALT,zweite_gestalt,,
qd,vpvw.0,DAS WEIB IN NONNENTRACHT,weib,,
qd,vpvw.0,KARDINAL,ein_kardinal,,
qd,vpvw.0,FREUND BUGENHAGEN,freund_bugenhagen,,
qd,vpvw.0,PIETRO,pietro,,
qd,vpvw.0,ERSTER TEUFEL,erster_teufel,,
qd,vpvw.0,DER HEILIGE VATER,der_heilige_vater,,
qd,vpvw.0,DIE STIMME DES HEILIGEN ENGEL,die_stimme_des_heiligen_engel,,
qd,vpvw.0,FREUND APEL,freund_apel,,
qd,vpvw.0,DER BRUDER MASSEO,der_bruder_masseo,,
qd,vpvw.0,KATHARINA,katharina,,
qd,vpvw.0,BISCHOF,bischof,,
qd,vpvw.0,PAPST,papst,,
qd,vpvw.0,DER BRUDER GINEPRO,der_bruder_ginepro,,
qd,vpvw.0,FREUND KRANACH,freund_kranach,,
qd,vpvw.0,DER BRUDER THADDÄUS,brüder_thaddäus,,
qd,vpvw.0,DER HEILIGE,franziskus,,
qd,vpvw.0,FÜNFTE GESTALT,fünfte_gestalt,,
qd,vpvw.0,GESCHÖPF,geschöpf,,
qd,vpvw.0,KARDINAL JOHANNES VON PAUL,kardinal_johannes_von_paul,,
qd,vpvw.0,DER BRUDER EGIDIO,der_bruder_egidio,,
qd,vpvw.0,DIE FRAU DES KRANACH,die_frau_des_kranach,,
qd,vpvw.0,DIE NONNE,die_nonne,,
qd,vpvw.0,VIERTER TEUFEL,vierter_teufel,,
qd,vpvw.0,JOHANNES,bruder_johannes,,
qd,vpvw.0,ALLE BRÜDER,erste_hälfte,,
qd,vpvw.0,DAS LIED VEREINIGTER HEERSCHAREN,das_lied_vereinigter_heerscharen,,
qd,vpvw.0,DER MÖNCH,der_mönch,,
