corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vrcn.0,451,481,_Stage,_Stage,Großes,ADJA,groß,27701,,
qd,vrcn.0,451,481,_Stage,_Stage,Zimmer,NN,zimmer,27701,,
qd,vrcn.0,451,481,_Stage,_Stage,bei,APPR,bei,27701,,
qd,vrcn.0,451,481,_Stage,_Stage,Willem,NE,willem,27701,,(2)
qd,vrcn.0,451,481,_Stage,_Stage,Mews,NE,mew,27701,,
qd,vrcn.0,451,481,_Stage,_Stage,.,$.,--,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Hinten,NN,hinten,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,links,ADV,links,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,breites,ADJA,breit,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,niedriges,ADJA,niedrig,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Fenster,NN,fenster,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,aus,APPR,aus,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,kleinen,ADJA,klein,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Scheiben,NN,scheiben,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,;,$.,--,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,rechts,ADV,rechts,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Tür,NN,tür,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,",","$,",--,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,obere,ADJA,oberer,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Hälfte,NN,hälfte,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Glas,NN,glas,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,.,$.,--,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Freier,ADJA,frei,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Ausblick,NN,ausblick,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,.,$.,--,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Drei,CARD,drei,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Stufen,NN,stufe,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,führen,VVFIN,führen,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,auf,APPR,auf,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,den,ART,der,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,mit,APPR,mit,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,roten,ADJA,rot,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Ziegelsteinen,NN,ziegelstein,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,gepflasterten,ADJA,gepflastert,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Deich,NN,deich,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,",","$,",--,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,dahinter,PROAV,dahinter,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Schilf,NE,schilf,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,",","$,",--,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,dann,ADV,dann,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,der,ART,der,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,breite,ADJA,breit,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Elbstrom,NN,elbstrom,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,",","$,",--,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,drüben,VVFIN,drüben,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Blankenese,NN,blankenese,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,mit,APPR,mit,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,Süllberg,NE,süllberg,27701,,
qd,vrcn.0,484,739,_Stage,_Stage,.,$.,--,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,Links,NE,links,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,in,APPR,in,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,der,ART,der,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,Mitte,NN,mitte,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,stellt,VVFIN,stellen,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,ein,ART,ein,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,englischer,ADJA,englisch,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,Kochherd,NN,kochherd,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,",","$,",--,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,weiter,ADV,weiter,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,vorn,ADV,vorn,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,Küchenschrank,NN,küchenschrank,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,mit,APPR,mit,27701,,
qd,vrcn.0,742,945,_Stage,_Stage,aufgesetztem,ADJA,aufgesetzt,27701,,
