corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,vrdc.0,426,476,PUF,puf,Lustig,ADJD,lustig,9865,,
qd,vrdc.0,426,476,PUF,puf,",","$,",--,9865,,
qd,vrdc.0,426,476,PUF,puf,Herr,NN,herr,9865,,
qd,vrdc.0,426,476,PUF,puf,Direkteur,NN,direkteur,9865,,
qd,vrdc.0,426,476,PUF,puf,",","$,",--,9865,,
qd,vrdc.0,426,476,PUF,puf,wir,PPER,wir,9865,,
qd,vrdc.0,426,476,PUF,puf,haben,VAFIN,haben,9865,,
qd,vrdc.0,426,476,PUF,puf,Permißion,NN,permißion,9865,,
qd,vrdc.0,426,476,PUF,puf,.,$.,--,9865,,
qd,vrdc.0,481,512,FRANK,frank,Wo,PWAV,wo,9865,,
qd,vrdc.0,481,512,FRANK,frank,lieber,ADV,lieb,9865,,
qd,vrdc.0,481,512,FRANK,frank,Puf,NN,puf,9865,puf,(0)
qd,vrdc.0,481,512,FRANK,frank,?,$.,--,9865,,
qd,vrdc.0,517,535,PUF,puf,In,APPR,in,9865,,
qd,vrdc.0,517,535,PUF,puf,Salzburg,NE,salzburg,9865,,
qd,vrdc.0,517,535,PUF,puf,.,$.,--,9865,,
qd,vrdc.0,540,603,FRANK,frank,In,APPR,in,9865,,
qd,vrdc.0,540,603,FRANK,frank,Salzburg,NE,salzburg,9865,,
qd,vrdc.0,540,603,FRANK,frank,"!",$.,--,9865,,
qd,vrdc.0,540,603,FRANK,frank,dem,ART,der,9865,,
qd,vrdc.0,540,603,FRANK,frank,Vaterlande,NN,vaterlande,9865,,
qd,vrdc.0,540,603,FRANK,frank,des,ART,der,9865,,
qd,vrdc.0,540,603,FRANK,frank,Hannswursts,NN,hannswurst,9865,,
qd,vrdc.0,540,603,FRANK,frank,"!",$.,--,9865,,
qd,vrdc.0,608,870,PUF,puf,O,NE,O,9865,,
qd,vrdc.0,608,870,PUF,puf,nur,ADV,nur,9865,,
qd,vrdc.0,608,870,PUF,puf,keine,PIAT,kein,9865,,
qd,vrdc.0,608,870,PUF,puf,Grillen,NN,grille,9865,,
qd,vrdc.0,608,870,PUF,puf,"!",$.,--,9865,,
qd,vrdc.0,608,870,PUF,puf,Seyn,VVIMP,seyn,9865,,
qd,vrdc.0,608,870,PUF,puf,Sie,PPER,sie,9865,,
qd,vrdc.0,608,870,PUF,puf,froh,ADJD,froh,9865,,
qd,vrdc.0,608,870,PUF,puf,",","$,",--,9865,,
qd,vrdc.0,608,870,PUF,puf,daß,KOUS,daß,9865,,
qd,vrdc.0,608,870,PUF,puf,wir,PPER,wir,9865,,
qd,vrdc.0,608,870,PUF,puf,irgendwo,ADV,irgendwo,9865,,
qd,vrdc.0,608,870,PUF,puf,unterkommen,VVINF,unterkommen,9865,,
qd,vrdc.0,608,870,PUF,puf,.,$.,--,9865,,
qd,vrdc.0,608,870,PUF,puf,Wenn,KOUS,wenn,9865,,
qd,vrdc.0,608,870,PUF,puf,die,ART,der,9865,,
qd,vrdc.0,608,870,PUF,puf,Kunst,NN,kunst,9865,,
qd,vrdc.0,608,870,PUF,puf,nach,APPR,nach,9865,,
qd,vrdc.0,608,870,PUF,puf,Brod,NE,brod,9865,,
qd,vrdc.0,608,870,PUF,puf,geht,VVFIN,gehen,9865,,
qd,vrdc.0,608,870,PUF,puf,",","$,",--,9865,,
qd,vrdc.0,608,870,PUF,puf,muß,VMFIN,müssen,9865,,
qd,vrdc.0,608,870,PUF,puf,es,PPER,es,9865,,
qd,vrdc.0,608,870,PUF,puf,ihr,PPER,ihr,9865,,
qd,vrdc.0,608,870,PUF,puf,gleich,ADV,gleich,9865,,
qd,vrdc.0,608,870,PUF,puf,viel,PIDAT,viel,9865,,
qd,vrdc.0,608,870,PUF,puf,seyn,ADJD,seyn,9865,,
qd,vrdc.0,608,870,PUF,puf,",","$,",--,9865,,
qd,vrdc.0,608,870,PUF,puf,welche,PWAT,welcher,9865,,
qd,vrdc.0,608,870,PUF,puf,Thüre,NN,thüre,9865,,
qd,vrdc.0,608,870,PUF,puf,ihr,PPOSAT,ihr,9865,,
qd,vrdc.0,608,870,PUF,puf,offen,ADJD,offen,9865,,
qd,vrdc.0,608,870,PUF,puf,steht,VVFIN,stehen,9865,,
qd,vrdc.0,608,870,PUF,puf,.,$.,--,9865,,
qd,vrdc.0,608,870,PUF,puf,Es,PPER,es,9865,,
qd,vrdc.0,608,870,PUF,puf,sind,VAFIN,sein,9865,,
qd,vrdc.0,608,870,PUF,puf,überdieß,ADJD,überdieß,9865,,
qd,vrdc.0,608,870,PUF,puf,noch,ADV,noch,9865,,
qd,vrdc.0,608,870,PUF,puf,Bedingungen,NN,bedingung,9865,,
qd,vrdc.0,608,870,PUF,puf,dabey,NE,dabey,9865,,
qd,vrdc.0,608,870,PUF,puf,.,$.,--,9865,,
qd,vrdc.0,608,870,PUF,puf,Lauter,PIAT,lauter,9865,,
qd,vrdc.0,608,870,PUF,puf,lustige,ADJA,lustig,9865,,
qd,vrdc.0,608,870,PUF,puf,Stücke,NN,stück,9865,,
qd,vrdc.0,608,870,PUF,puf,",","$,",--,9865,,
qd,vrdc.0,608,870,PUF,puf,Ballette,NN,ballette,9865,,
qd,vrdc.0,608,870,PUF,puf,und,KON,und,9865,,
qd,vrdc.0,608,870,PUF,puf,Opern,NN,oper,9865,,
qd,vrdc.0,608,870,PUF,puf,müssen,VMFIN,müssen,9865,,
qd,vrdc.0,608,870,PUF,puf,Sie,PPER,sie,9865,,
