corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,w3zd.0,583,608,_Stage,_Stage,Julie,NE,julie,18559,,(1)
qd,w3zd.0,583,608,_Stage,_Stage,",","$,",--,18559,,
qd,w3zd.0,583,608,_Stage,_Stage,Frau,NN,frau,18559,,(0
qd,w3zd.0,583,608,_Stage,_Stage,von,APPR,von,18559,,
qd,w3zd.0,583,608,_Stage,_Stage,Wichmann,NE,wichmann,18559,,0)
qd,w3zd.0,583,608,_Stage,_Stage,.,$.,--,18559,,
qd,w3zd.0,5018,5026,JULIE,julie,weinend,ADJD,weinend,18559,,
qd,w3zd.0,5018,5026,JULIE,julie,.,$.,--,18559,,
qd,w3zd.0,6198,6212,FRAU VON WICHMANN,frau_von_wichmann,Julie,NE,julie,18559,,(1)
qd,w3zd.0,6198,6212,FRAU VON WICHMANN,frau_von_wichmann,geht,VVFIN,gehen,18559,,
qd,w3zd.0,6198,6212,FRAU VON WICHMANN,frau_von_wichmann,ab,PTKVZ,ab,18559,,
qd,w3zd.0,6198,6212,FRAU VON WICHMANN,frau_von_wichmann,.,$.,--,18559,,
qd,w3zd.0,6263,6298,_Stage,_Stage,Herr,NN,herr,18559,,(2
qd,w3zd.0,6263,6298,_Stage,_Stage,von,APPR,von,18559,,
qd,w3zd.0,6263,6298,_Stage,_Stage,Wohlau,NE,wohlau,18559,,2)|(2)
qd,w3zd.0,6263,6298,_Stage,_Stage,",","$,",--,18559,,
qd,w3zd.0,6263,6298,_Stage,_Stage,Frau,NN,frau,18559,,(0
qd,w3zd.0,6263,6298,_Stage,_Stage,von,APPR,von,18559,,
qd,w3zd.0,6263,6298,_Stage,_Stage,Wichmann,NE,wichmann,18559,,0)
qd,w3zd.0,6263,6298,_Stage,_Stage,.,$.,--,18559,,
qd,w3zd.0,9674,9703,_Stage,_Stage,Der,ART,der,18559,,(3
qd,w3zd.0,9674,9703,_Stage,_Stage,Capitain,NN,capitain,18559,,3)
