corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,wbvk.0,800,875,_Stage,_Stage,Frau,NN,frau,21321,,
qd,wbvk.0,800,875,_Stage,_Stage,Bürgermeister,NN,bürgermeister,21321,,
qd,wbvk.0,800,875,_Stage,_Stage,",","$,",--,21321,,
qd,wbvk.0,800,875,_Stage,_Stage,ihre,PPOSAT,ihr,21321,,
qd,wbvk.0,800,875,_Stage,_Stage,Tochter,NN,tochter,21321,,
qd,wbvk.0,800,875,_Stage,_Stage,Susanna,NE,susanna,21321,,
qd,wbvk.0,800,875,_Stage,_Stage,",","$,",--,21321,,
qd,wbvk.0,800,875,_Stage,_Stage,Major,NE,Major,21321,,(0)
qd,wbvk.0,800,875,_Stage,_Stage,Rehbein,NE,rehbein,21321,,
qd,wbvk.0,800,875,_Stage,_Stage,sitzen,VVFIN,sitzen,21321,,
qd,wbvk.0,800,875,_Stage,_Stage,beim,APPRART,bei,21321,,
qd,wbvk.0,800,875,_Stage,_Stage,Kaffee,NN,kaffee,21321,,
qd,wbvk.0,800,875,_Stage,_Stage,.,$.,--,21321,,
qd,wbvk.0,885,916,MAJOR,major,über,APPR,über,21321,,
qd,wbvk.0,885,916,MAJOR,major,seine,PPOSAT,sein,21321,,
qd,wbvk.0,885,916,MAJOR,major,Zeitung,NN,zeitung,21321,,
qd,wbvk.0,885,916,MAJOR,major,wegblickend,ADJD,wegblickend,21321,,
qd,wbvk.0,885,916,MAJOR,major,.,$.,--,21321,,
qd,wbvk.0,1324,1345,MAJOR,major,über,APPR,über,21321,,
qd,wbvk.0,1324,1345,MAJOR,major,die,ART,der,21321,,
qd,wbvk.0,1324,1345,MAJOR,major,Zeitung,NN,zeitung,21321,,
qd,wbvk.0,1324,1345,MAJOR,major,weg,PTKVZ,weg,21321,,
qd,wbvk.0,1324,1345,MAJOR,major,.,$.,--,21321,,
qd,wbvk.0,1702,1724,SUSCHEN,suschen,reicht,VVFIN,reichen,21321,,
qd,wbvk.0,1702,1724,SUSCHEN,suschen,ihr,PPER,ihr,21321,,
