corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,wcbf.0,429,926,_Stage,_Stage,Im,APPRART,in,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Abteil,NN,abteil,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,sitzen,VVFIN,sitzen,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,im,APPRART,in,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,offenen,ADJA,offen,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Fenster,NN,fenster,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,einander,ADV,einander,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,gegenüber,APPR,gegenüber,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,von,APPR,von,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Kleewitz,NE,kleewitz,13763,,(1)
qd,wcbf.0,429,926,_Stage,_Stage,und,KON,und,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,seine,PPOSAT,sein,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Frau,NN,frau,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,.,$.,--,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Neben,APPR,neben,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Kleewitz,NE,kleewitz,13763,,(1)
qd,wcbf.0,429,926,_Stage,_Stage,sitzt,VVFIN,sitzen,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Stüve,NE,stüve,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,",","$,",--,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,neben,APPR,neben,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Frau,NN,frau,13763,,(2
qd,wcbf.0,429,926,_Stage,_Stage,von,APPR,von,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Kleewitz,NE,kleewitz,13763,,2)|(1)
qd,wcbf.0,429,926,_Stage,_Stage,sitzt,VVFIN,sitzen,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,von,APPR,von,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Scheibler,NE,scheibler,13763,,(3)
qd,wcbf.0,429,926,_Stage,_Stage,.,$.,--,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Von,APPR,von,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Kleewitz,NE,kleewitz,13763,,(1)
qd,wcbf.0,429,926,_Stage,_Stage,und,KON,und,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,seine,PPOSAT,sein,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Frau,NN,frau,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,sehen,VVFIN,sehen,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,sich,PRF,sich,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,unverwandt,ADJD,unverwandt,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,mit,APPR,mit,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,verliebten,ADJA,verliebt,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,Blicken,VVFIN,blick,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,an,PTKVZ,an,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,;,$.,--,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,wenn,KOUS,wenn,13763,,
qd,wcbf.0,429,926,_Stage,_Stage,sie,PPER,sie,13763,,
