corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,wd1q.0,121,4440,0,121,4440,0
qd,wd1q.0,4453,43562,0,4467,20544,0
qd,wd1q.0,4453,43562,0,20558,24753,0
qd,wd1q.0,4453,43562,0,24766,35848,0
qd,wd1q.0,4453,43562,0,35862,43562,0
qd,wd1q.0,43577,92583,0,43591,52083,0
qd,wd1q.0,43577,92583,0,52096,68975,0
qd,wd1q.0,43577,92583,0,68988,76175,0
qd,wd1q.0,43577,92583,0,76188,77050,0
qd,wd1q.0,43577,92583,0,77063,84671,0
qd,wd1q.0,43577,92583,0,84685,89539,0
qd,wd1q.0,43577,92583,0,89553,91832,0
qd,wd1q.0,43577,92583,0,91846,92583,0
qd,wd1q.0,92599,151205,0,92613,95540,0
qd,wd1q.0,92599,151205,0,95553,97066,0
qd,wd1q.0,92599,151205,0,97079,109907,0
qd,wd1q.0,92599,151205,0,109920,111631,0
qd,wd1q.0,92599,151205,0,111644,114854,0
qd,wd1q.0,92599,151205,0,114868,129101,0
qd,wd1q.0,92599,151205,0,129114,131264,0
qd,wd1q.0,92599,151205,0,131277,147512,0
qd,wd1q.0,92599,151205,0,147526,151205,0
qd,wd1q.0,151220,214915,0,151234,156861,0
qd,wd1q.0,151220,214915,0,156874,165856,0
qd,wd1q.0,151220,214915,0,165870,174077,0
qd,wd1q.0,151220,214915,0,174091,185856,0
qd,wd1q.0,151220,214915,0,185869,187249,0
qd,wd1q.0,151220,214915,0,187263,190981,0
qd,wd1q.0,151220,214915,0,190995,195860,0
qd,wd1q.0,151220,214915,0,195874,213531,0
qd,wd1q.0,151220,214915,0,213545,214915,0
qd,wd1q.0,214930,312311,0,214944,218242,0
qd,wd1q.0,214930,312311,0,218256,220792,0
qd,wd1q.0,214930,312311,0,220806,241680,0
qd,wd1q.0,214930,312311,0,241693,255087,0
qd,wd1q.0,214930,312311,0,255100,281817,0
qd,wd1q.0,214930,312311,0,281831,292650,0
qd,wd1q.0,214930,312311,0,292663,298956,0
qd,wd1q.0,214930,312311,0,298969,307067,0
qd,wd1q.0,214930,312311,0,307081,310191,0
qd,wd1q.0,214930,312311,0,310204,312311,0
qd,wd1q.0,312326,376752,0,312340,318160,0
qd,wd1q.0,312326,376752,0,318174,324717,0
qd,wd1q.0,312326,376752,0,324731,327512,0
qd,wd1q.0,312326,376752,0,327525,337879,0
qd,wd1q.0,312326,376752,0,337893,341019,0
qd,wd1q.0,312326,376752,0,341033,357573,0
qd,wd1q.0,312326,376752,0,357587,368215,0
qd,wd1q.0,312326,376752,0,368228,371548,0
qd,wd1q.0,312326,376752,0,371562,375767,0
qd,wd1q.0,312326,376752,0,375780,376752,0
