corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,wdvq.0,1209,1318,FISCHER,fischer,Aber,KON,aber,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,ich,PPER,ich,22354,fischer,(0)
qd,wdvq.0,1209,1318,FISCHER,fischer,bin,VAFIN,sein,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,doch,ADV,doch,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,in,APPR,in,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,der,ART,der,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,Tat,NN,tat,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,neugierig,ADJD,neugierig,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,.,$.,--,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,–,XY,–,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,Lieber,ADJD,lieb,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,Herr,NN,herr,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,Müller,NE,müller,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,",","$,",--,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,was,PWS,was,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,sagen,VVFIN,sagen,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,Sie,PPER,sie,22354,sie,(29)
qd,wdvq.0,1209,1318,FISCHER,fischer,zu,APPR,zu,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,dem,ART,der,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,heutigen,ADJA,heutig,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,Stücke,NN,stück,22354,,
qd,wdvq.0,1209,1318,FISCHER,fischer,?,$.,--,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,Ich,PPER,ich,22354,müller,(1)
qd,wdvq.0,1323,1564,MÜLLER,müller,hätte,VAFIN,haben,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,mir,PPER,sich,22354,müller,(1)
qd,wdvq.0,1323,1564,MÜLLER,müller,eher,ADV,eher,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,des,ART,der,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,Himmels,NN,himmel,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,Einfall,NN,einfall,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,vermutet,VVFIN,vermuten,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,",","$,",--,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,als,KOUS,als,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,ein,ART,ein,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,solches,PIDAT,solcher,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,Stück,NN,stück,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,auf,APPR,auf,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,unserm,APPRART,unser,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,großen,ADJA,groß,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,Theater,NN,theater,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,zu,APPR,zu,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,sehn,CARD,sehn,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,auf,APPR,auf,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,unserm,APPRART,unser,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,National-Theater,NN,national-theater,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,"!",$.,--,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,Ei,ITJ,ei,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,"!",$.,--,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,ei,ITJ,ei,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,"!",$.,--,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,nach,APPR,nach,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,allen,PIDAT,aller,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,den,ART,der,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,Wochenschriften,NN,wochenschrift,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,",","$,",--,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,den,ART,der,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,kostbaren,ADJA,kostbar,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,Kleidungen,NN,kleidung,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,",","$,",--,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,und,KON,und,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,den,ART,der,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,vielen,PIDAT,vieler,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,",","$,",--,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,vielen,PIDAT,vieler,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,Ausgaben,NN,ausgabe,22354,,
qd,wdvq.0,1323,1564,MÜLLER,müller,"!",$.,--,22354,,
qd,wdvq.0,1569,1606,FISCHER,fischer,Kennen,VVFIN,kennen,22354,,
qd,wdvq.0,1569,1606,FISCHER,fischer,Sie,PPER,sie,22354,sie,(29)
qd,wdvq.0,1569,1606,FISCHER,fischer,das,ART,der,22354,,
qd,wdvq.0,1569,1606,FISCHER,fischer,Stück,NN,stück,22354,,
qd,wdvq.0,1569,1606,FISCHER,fischer,schon,ADV,schon,22354,,
qd,wdvq.0,1569,1606,FISCHER,fischer,?,$.,--,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,Nicht,PTKNEG,nicht,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,im,APPRART,in,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,mindesten,NN,mint,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,.,$.,--,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,–,XY,–,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,Einen,ART,ein,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,wunderlichen,ADJA,wunderlich,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,Titel,NN,titel,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,führt,VVFIN,führen,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,es,PPER,es,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,:,$.,--,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,Der,ART,der,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,gestiefelte,ADJA,gestiefelt,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,Kater,NN,kater,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,.,$.,--,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,–,XY,–,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,Ich,PPER,ich,22354,müller,(1)
qd,wdvq.0,1611,1781,MÜLLER,müller,hoffe,VVFIN,hoffen,22354,,
qd,wdvq.0,1611,1781,MÜLLER,müller,doch,ADV,doch,22354,,
