corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,wzgs.0,447,17763,0,1052,5422,0
qd,wzgs.0,447,17763,0,5435,6774,0
qd,wzgs.0,447,17763,0,6787,11475,0
qd,wzgs.0,447,17763,0,11488,12504,0
qd,wzgs.0,447,17763,0,12517,13214,0
qd,wzgs.0,447,17763,0,13227,17763,0
qd,wzgs.0,17778,38196,0,17792,18186,0
qd,wzgs.0,17778,38196,0,18200,21238,0
qd,wzgs.0,17778,38196,0,21251,22382,0
qd,wzgs.0,17778,38196,0,22396,22861,0
qd,wzgs.0,17778,38196,0,23613,27496,0
qd,wzgs.0,17778,38196,0,27510,27731,0
qd,wzgs.0,17778,38196,0,27745,28760,0
qd,wzgs.0,17778,38196,0,28774,29620,0
qd,wzgs.0,17778,38196,0,29634,30111,0
qd,wzgs.0,17778,38196,0,30125,33748,0
qd,wzgs.0,17778,38196,0,33761,34465,0
qd,wzgs.0,17778,38196,0,34479,35041,0
qd,wzgs.0,17778,38196,0,35055,36199,0
qd,wzgs.0,17778,38196,0,36212,38196,0
qd,wzgs.0,38211,59100,0,38225,45833,0
qd,wzgs.0,38211,59100,0,38241,40151,0
qd,wzgs.0,38211,59100,0,40164,41526,0
qd,wzgs.0,38211,59100,0,41539,43460,0
qd,wzgs.0,38211,59100,0,43474,44894,0
qd,wzgs.0,38211,59100,0,44907,45833,0
qd,wzgs.0,38211,59100,0,45849,50005,0
qd,wzgs.0,38211,59100,0,45865,47189,0
qd,wzgs.0,38211,59100,0,47203,47807,0
qd,wzgs.0,38211,59100,0,47820,49027,0
qd,wzgs.0,38211,59100,0,49042,50005,0
qd,wzgs.0,38211,59100,0,50021,51120,0
qd,wzgs.0,38211,59100,0,50037,51120,0
qd,wzgs.0,38211,59100,0,51135,59100,0
qd,wzgs.0,38211,59100,0,51151,52434,0
qd,wzgs.0,38211,59100,0,52447,54242,0
qd,wzgs.0,38211,59100,0,54255,55747,0
qd,wzgs.0,38211,59100,0,55760,56751,0
qd,wzgs.0,38211,59100,0,56765,59100,0
qd,wzgs.0,59118,76605,0,59132,60951,0
qd,wzgs.0,59118,76605,0,59148,60323,0
qd,wzgs.0,59118,76605,0,60334,60951,0
qd,wzgs.0,59118,76605,0,60966,63770,0
qd,wzgs.0,59118,76605,0,60982,61465,0
qd,wzgs.0,59118,76605,0,61478,61809,0
qd,wzgs.0,59118,76605,0,61823,63424,0
qd,wzgs.0,59118,76605,0,63437,63770,0
qd,wzgs.0,59118,76605,0,63786,68962,0
qd,wzgs.0,59118,76605,0,63802,64336,0
qd,wzgs.0,59118,76605,0,64350,64651,0
qd,wzgs.0,59118,76605,0,64665,66272,0
qd,wzgs.0,59118,76605,0,66286,68962,0
qd,wzgs.0,59118,76605,0,68977,70056,0
qd,wzgs.0,59118,76605,0,68993,70056,0
qd,wzgs.0,59118,76605,0,70071,76605,0
qd,wzgs.0,59118,76605,0,70087,70780,0
qd,wzgs.0,59118,76605,0,70793,75376,0
qd,wzgs.0,59118,76605,0,75390,76605,0
qd,wzgs.0,76622,91424,0,76636,78012,0
qd,wzgs.0,76622,91424,0,76652,78012,0
qd,wzgs.0,76622,91424,0,78027,81940,0
qd,wzgs.0,76622,91424,0,78043,79709,0
qd,wzgs.0,76622,91424,0,79722,81940,0
qd,wzgs.0,76622,91424,0,81955,82558,0
qd,wzgs.0,76622,91424,0,81971,82558,0
qd,wzgs.0,76622,91424,0,82574,89011,0
qd,wzgs.0,76622,91424,0,82590,83282,0
qd,wzgs.0,76622,91424,0,83296,83796,0
qd,wzgs.0,76622,91424,0,83810,84056,0
qd,wzgs.0,76622,91424,0,84069,84302,0
qd,wzgs.0,76622,91424,0,84313,86462,0
qd,wzgs.0,76622,91424,0,86475,89011,0
qd,wzgs.0,76622,91424,0,89027,91424,0
qd,wzgs.0,76622,91424,0,89043,90226,0
qd,wzgs.0,76622,91424,0,90241,91424,0
