corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,wzp1.0,1025,1067,DIE ERSTE NORN,die_erste_norn,Welch,PIDAT,welch,16060,,
qd,wzp1.0,1025,1067,DIE ERSTE NORN,die_erste_norn,Licht,NN,licht,16060,,
qd,wzp1.0,1025,1067,DIE ERSTE NORN,die_erste_norn,leuchtet,VVFIN,leuchten,16060,,
qd,wzp1.0,1025,1067,DIE ERSTE NORN,die_erste_norn,dort,ADV,dort,16060,,
qd,wzp1.0,1025,1067,DIE ERSTE NORN,die_erste_norn,?,$.,--,16060,,
qd,wzp1.0,1072,1115,DIE ZWEITE NORN,die_zweite_norn,Dämmert,VVFIN,dämmert,16060,,
qd,wzp1.0,1072,1115,DIE ZWEITE NORN,die_zweite_norn,der,ART,der,16060,,
qd,wzp1.0,1072,1115,DIE ZWEITE NORN,die_zweite_norn,Tag,NN,tag,16060,,
qd,wzp1.0,1072,1115,DIE ZWEITE NORN,die_zweite_norn,schon,ADV,schon,16060,,
qd,wzp1.0,1072,1115,DIE ZWEITE NORN,die_zweite_norn,auf,APPR,auf,16060,,
qd,wzp1.0,1072,1115,DIE ZWEITE NORN,die_zweite_norn,?,$.,--,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,Loges,NE,log,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,Heer,NE,heer,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,lodert,VVFIN,lodern,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,feurig,ADJD,feurig,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,um,APPR,um,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,den,ART,der,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,Fels,NN,fels,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,.,$.,--,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,Noch,ADV,noch,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,ist,VAFIN,sein,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,',$[,--,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,s,PPER,--,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,Nacht,NN,nacht,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,.,$.,--,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,Was,PWS,was,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,spinnen,VVFIN,spinnen,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,und,KON,und,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,singen,VVFIN,singen,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,wir,PPER,wir,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,nicht,PTKNEG,nicht,16060,,
qd,wzp1.0,1120,1230,DIE DRITTE NORN,die_dritte_norn,?,$.,--,16060,,
qd,wzp1.0,1236,1328,DIE ZWEITE NORN,die_zweite_norn,Wollen,VMFIN,wolle,16060,,
qd,wzp1.0,1236,1328,DIE ZWEITE NORN,die_zweite_norn,wir,PPER,wir,16060,,
qd,wzp1.0,1236,1328,DIE ZWEITE NORN,die_zweite_norn,spinnen,VVFIN,spinnen,16060,,
qd,wzp1.0,1236,1328,DIE ZWEITE NORN,die_zweite_norn,und,KON,und,16060,,
qd,wzp1.0,1236,1328,DIE ZWEITE NORN,die_zweite_norn,singen,VVFIN,singen,16060,,
qd,wzp1.0,1236,1328,DIE ZWEITE NORN,die_zweite_norn,",","$,",--,16060,,
qd,wzp1.0,1236,1328,DIE ZWEITE NORN,die_zweite_norn,woran,PWAV,woran,16060,,
qd,wzp1.0,1236,1328,DIE ZWEITE NORN,die_zweite_norn,spannst,VVFIN,spannen,16060,,
qd,wzp1.0,1236,1328,DIE ZWEITE NORN,die_zweite_norn,du,PPER,du,16060,,
qd,wzp1.0,1236,1328,DIE ZWEITE NORN,die_zweite_norn,das,ART,der,16060,,
qd,wzp1.0,1236,1328,DIE ZWEITE NORN,die_zweite_norn,Seil,NN,seil,16060,,
qd,wzp1.0,1236,1328,DIE ZWEITE NORN,die_zweite_norn,?,$.,--,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,So,ADV,so,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,gut,ADJD,gut,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,und,KON,und,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,schlimm,ADJD,schlimm,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,es,PPER,es,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,geh,VVIMP,geh,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,",","$,",--,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,schling,VVFIN,schling,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,ich,PPER,ich,16060,die_erste_norn,(0)
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,das,ART,der,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Seil,NN,seil,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,und,KON,und,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,singe,VVFIN,singen,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,.,$.,--,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,–,XY,–,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,An,APPR,an,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,der,ART,der,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Weltesche,ADJA,weltesche,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,wob,VVFIN,wob,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,ich,PPER,ich,16060,die_erste_norn,(0)
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,einst,ADV,einst,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,",","$,",--,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,da,ADV,da,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,groß,ADJD,groß,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,und,KON,und,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,stark,ADJD,stark,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,dem,ART,der,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Stamm,NN,stamm,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,entgrünte,ADJA,entgrünt,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,weihlicher,ADJA,weihlich,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Äste,NN,äst,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Wald,NN,wald,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,.,$.,--,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Im,APPRART,in,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,kühlen,ADJA,kühl,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Schatten,NN,schatten,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,rauscht,VVFIN,rauschen,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,ein,ART,ein,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Quell,NN,quell,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,:,$.,--,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Weisheit,NN,weisheit,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,raunend,ADJD,raunend,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,rann,ADJD,rann,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,sein,VAINF,sein,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Gewell,FM,gewell,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,–,FM,–,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,da,ADV,da,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,sang,VVFIN,singen,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,ich,PPER,ich,16060,die_erste_norn,(0)
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,heil,VAFIN,heil,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,',$[,--,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,gen,APPR,gen,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Sinn,NN,sinn,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,.,$.,--,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Ein,ART,ein,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,kühner,ADJA,kühn,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Gott,NN,gott,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,trat,VVFIN,treten,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,zum,APPRART,zu,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Trunk,NN,trunk,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,an,APPR,an,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,den,ART,der,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Quell,NN,quell,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,;,$.,--,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,seiner,PPOSAT,sein,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Augen,NN,auge,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,eines,ART,ein,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,zahlt,VVFIN,zahlen,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,er,PPER,er,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,als,APPR,als,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,ewigen,ADJA,ewig,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Zoll,NN,zoll,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,.,$.,--,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Von,APPR,von,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,der,ART,der,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Weltesche,NN,weltesche,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,brach,VVFIN,brechen,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,da,ADV,da,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Wotan,NE,wotan,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,einen,ART,ein,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Ast,NN,ast,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,;,$.,--,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,eines,ART,ein,16060,,
qd,wzp1.0,1334,2251,DIE ERSTE NORN,die_erste_norn,Speeres,NN,speer,16060,,
