corpus,drama,figure_surface,figure_id,Gender,Age
qd,wzp9.0,EIN LEHRBUBE,ein_lehrbube,,
qd,wzp9.0,POGNERS STIMME,pogner,,
qd,wzp9.0,DAVID,david,,
qd,wzp9.0,ORTEL,ortel,,
qd,wzp9.0,DIE SCHNEIDER,die_schneider,,
qd,wzp9.0,NACHTIGALL,nachtigall,,
qd,wzp9.0,FOLTZ,foltz,,
qd,wzp9.0,EIN NACHBAR,erster_nachbar,,
qd,wzp9.0,DIE SCHUSTER,die_schuster,,
qd,wzp9.0,NACHBARN,andere_nachbarn,,
qd,wzp9.0,DIE BÄCKER,die_bäcker,,
qd,wzp9.0,EVA,eva,,
qd,wzp9.0,MOSER,moser,,
qd,wzp9.0,DER NACHTWÄCHTER,der_nachtwächter,,
qd,wzp9.0,DIE GEMEINDE,die_gemeinde,,
qd,wzp9.0,KOTHNER,kothner,,
qd,wzp9.0,DAS VOLK,das_volk,,
qd,wzp9.0,VOGELGESANG,vogelgesang,,
qd,wzp9.0,MEISTERSINGER,meistersinger,,
qd,wzp9.0,SACHS,sachs,,
qd,wzp9.0,GESELLEN,gesellen,,
qd,wzp9.0,BECKMESSER,beckmesser,,
qd,wzp9.0,ERSTER LEHRBUBE,erster_lehrbube,,
qd,wzp9.0,EIN PAAR LEHRBUBEN,andere,,
qd,wzp9.0,ZWEITER LEHRBUBE,zweiter_lehrbube,,
qd,wzp9.0,SCHWARZ,schwarz,,
qd,wzp9.0,WALTHER,walther,,
qd,wzp9.0,DIE NACHBARINNEN,die_nachbarinnen,,
qd,wzp9.0,EIN ZWEITER,ein_zweiter,,
qd,wzp9.0,MAGDALENE,magdalene,,
qd,wzp9.0,MEHRERE MEISTER,alle_meister,,
qd,wzp9.0,EISSLINGER,eisslinger,,
qd,wzp9.0,ZORN,zorn,,
