corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,wzp9.0,648,45259,0,662,9037,0
qd,wzp9.0,648,45259,0,9050,17728,0
qd,wzp9.0,648,45259,0,17741,45259,0
qd,wzp9.0,45274,91229,0,45288,48722,0
qd,wzp9.0,45274,91229,0,48736,51846,0
qd,wzp9.0,45274,91229,0,51860,54027,0
qd,wzp9.0,45274,91229,0,54040,61108,0
qd,wzp9.0,45274,91229,0,61121,65982,0
qd,wzp9.0,45274,91229,0,65995,91229,0
qd,wzp9.0,91244,147300,0,91258,98782,0
qd,wzp9.0,91244,147300,0,98796,106837,0
qd,wzp9.0,91244,147300,0,106850,116061,0
qd,wzp9.0,91244,147300,0,116075,126310,0
qd,wzp9.0,91244,147300,0,126324,147300,0
