corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,wzq0.0,1113,1331,daland,1260,1263,mir,daland
qd,wzq0.0,1296,1331,_stage,1300,1310,Steuermann,steuermann
qd,wzq0.0,1490,2068,daland,1526,1529,ich,daland
qd,wzq0.0,1490,2068,daland,1572,1575,ich,daland
qd,wzq0.0,1490,2068,daland,1576,1580,mein,daland
qd,wzq0.0,1490,2068,daland,1588,1593,Senta,senta
qd,wzq0.0,1490,2068,daland,1595,1599,mein,daland
qd,wzq0.0,1490,2068,daland,1613,1616,ich,daland
qd,wzq0.0,1490,2068,daland,1895,1898,Mir,daland
qd,wzq0.0,1918,1963,_stage,1922,1930,Matrosen,matrosen
qd,wzq0.0,1490,2068,daland,1971,1981,Steuermann,steuermann
qd,wzq0.0,1490,2068,daland,2012,2016,mich,daland
qd,wzq0.0,2129,2155,_stage,2129,2135,Daland,daland
qd,wzq0.0,2159,2462,_stage,2301,2311,Steuermann,steuermann
qd,wzq0.0,2467,4009,steuermann,2522,2526,mein,steuermann
qd,wzq0.0,2467,4009,steuermann,2584,2588,mein,steuermann
qd,wzq0.0,2467,4009,steuermann,2596,2599,ich,steuermann
qd,wzq0.0,2467,4009,steuermann,2609,2613,Mein,steuermann
qd,wzq0.0,2467,4009,steuermann,2646,2649,ich,steuermann
qd,wzq0.0,2467,4009,steuermann,2713,2717,Mein,steuermann
qd,wzq0.0,2467,4009,steuermann,2738,2741,mir,steuermann
qd,wzq0.0,2785,3016,_stage,2847,2857,Steuermann,steuermann
qd,wzq0.0,2467,4009,steuermann,3061,3064,ich,steuermann
qd,wzq0.0,2467,4009,steuermann,3157,3161,Mein,steuermann
qd,wzq0.0,2467,4009,steuermann,3194,3197,ich,steuermann
qd,wzq0.0,2467,4009,steuermann,3260,3264,Mein,steuermann
qd,wzq0.0,3314,3773,_stage,3671,3681,Steuermann,steuermann
qd,wzq0.0,2467,4009,steuermann,3775,3779,Mein,steuermann
qd,wzq0.0,4014,5884,holländer,4115,4119,mich,holländer
qd,wzq0.0,4014,5884,holländer,4190,4194,mich,holländer
qd,wzq0.0,4014,5884,holländer,4245,4250,meine,holländer
qd,wzq0.0,4014,5884,holländer,4285,4288,ich,holländer
qd,wzq0.0,4014,5884,holländer,4306,4309,ich,holländer
qd,wzq0.0,4014,5884,holländer,4355,4358,ich,holländer
qd,wzq0.0,4014,5884,holländer,4473,4476,ich,holländer
qd,wzq0.0,4014,5884,holländer,4492,4496,mich,holländer
qd,wzq0.0,4014,5884,holländer,4524,4527,ich,holländer
qd,wzq0.0,4014,5884,holländer,4587,4591,mein,holländer
qd,wzq0.0,4014,5884,holländer,4599,4602,ich,holländer
qd,wzq0.0,4014,5884,holländer,4632,4636,mein,holländer
qd,wzq0.0,4014,5884,holländer,4683,4686,ich,holländer
qd,wzq0.0,4014,5884,holländer,4724,4727,ich,holländer
qd,wzq0.0,4014,5884,holländer,4748,4751,ich,holländer
qd,wzq0.0,4014,5884,holländer,4943,4946,ich,holländer
qd,wzq0.0,4014,5884,holländer,4962,4966,mich,holländer
qd,wzq0.0,4014,5884,holländer,5017,5021,mein,holländer
qd,wzq0.0,4014,5884,holländer,5029,5032,ich,holländer
qd,wzq0.0,4014,5884,holländer,5135,5138,ich,holländer
qd,wzq0.0,4014,5884,holländer,5171,5177,meines,holländer
qd,wzq0.0,4014,5884,holländer,5194,5197,mir,holländer
qd,wzq0.0,4014,5884,holländer,5211,5214,ich,holländer
qd,wzq0.0,4014,5884,holländer,5272,5275,mir,holländer
qd,wzq0.0,4014,5884,holländer,5396,5399,mir,holländer
qd,wzq0.0,4014,5884,holländer,5568,5573,meine,holländer
qd,wzq0.0,4014,5884,holländer,5698,5701,ich,holländer
qd,wzq0.0,4014,5884,holländer,5777,5781,mich,holländer
qd,wzq0.0,5992,6083,_stage,5992,5998,Daland,daland
qd,wzq0.0,6096,6130,_stage,6110,6120,Steuermann,steuermann
qd,wzq0.0,6088,6154,daland,6143,6153,Steuermann,steuermann
qd,wzq0.0,6159,6297,steuermann,6283,6287,mein,steuermann
qd,wzq0.0,6311,6338,_stage,6315,6325,Steuermann,steuermann
qd,wzq0.0,6303,6452,daland,6383,6387,mein,daland
qd,wzq0.0,6458,6633,steuermann,6515,6518,mir,steuermann
qd,wzq0.0,6759,6937,daland,6809,6813,Mich,daland
qd,wzq0.0,6759,6937,daland,6821,6824,ich,daland
qd,wzq0.0,6942,7063,holländer,6998,7001,ich,holländer
qd,wzq0.0,6942,7063,holländer,7044,7047,mir,holländer
qd,wzq0.0,7196,7459,daland,7283,7286,Mir,daland
qd,wzq0.0,7196,7459,daland,7342,7347,meine,daland
qd,wzq0.0,7196,7459,daland,7377,7380,ich,daland
qd,wzq0.0,7196,7459,daland,7390,7394,mich,daland
qd,wzq0.0,7465,8082,holländer,7476,7480,Mein,holländer
qd,wzq0.0,7465,8082,holländer,7629,7632,ich,holländer
qd,wzq0.0,7465,8082,holländer,7657,7660,ich,holländer
qd,wzq0.0,7465,8082,holländer,7688,7691,ich,holländer
qd,wzq0.0,7465,8082,holländer,7731,7735,mich,holländer
qd,wzq0.0,7465,8082,holländer,7743,7746,ich,holländer
qd,wzq0.0,7465,8082,holländer,7775,7778,ich,holländer
qd,wzq0.0,7465,8082,holländer,7811,7814,ich,holländer
qd,wzq0.0,7465,8082,holländer,7824,7827,ich,holländer
qd,wzq0.0,7465,8082,holländer,7844,7848,mein,holländer
qd,wzq0.0,7465,8082,holländer,7871,7874,mir,holländer
qd,wzq0.0,7465,8082,holländer,8000,8004,mein,holländer
qd,wzq0.0,8088,8416,daland,8129,8132,ich,daland
qd,wzq0.0,8088,8416,daland,8222,8225,ich,daland
qd,wzq0.0,8088,8416,daland,8231,8234,ich,daland
qd,wzq0.0,8088,8416,daland,8255,8258,ich,daland
qd,wzq0.0,8421,8608,holländer,8571,8574,ich,holländer
qd,wzq0.0,8758,9120,holländer,8792,8795,ich,holländer
qd,wzq0.0,8758,9120,holländer,8914,8920,meines,holländer
qd,wzq0.0,8758,9120,holländer,8975,8978,Ich,holländer
qd,wzq0.0,8758,9120,holländer,9012,9017,meine,holländer
qd,wzq0.0,8758,9120,holländer,9030,9033,ich,holländer
qd,wzq0.0,8758,9120,holländer,9044,9050,meinen,holländer
qd,wzq0.0,8758,9120,holländer,9065,9068,ich,holländer
qd,wzq0.0,8758,9120,holländer,9098,9101,mir,holländer
qd,wzq0.0,9126,9152,daland,9142,9145,ich,daland
qd,wzq0.0,9232,9263,holländer,9251,9255,mein,holländer
qd,wzq0.0,9269,9604,daland,9308,9311,ich,daland
qd,wzq0.0,9269,9604,daland,9319,9324,Meine,daland
qd,wzq0.0,9269,9604,daland,9394,9397,ich,daland
qd,wzq0.0,9269,9604,daland,9419,9422,ich,daland
qd,wzq0.0,9269,9604,daland,9465,9468,ich,daland
qd,wzq0.0,9269,9604,daland,9473,9476,ich,daland
qd,wzq0.0,9269,9604,daland,9558,9561,ich,daland
qd,wzq0.0,9269,9604,daland,9596,9599,ich,daland
qd,wzq0.0,9610,9795,daland,9640,9643,ich,daland
qd,wzq0.0,9610,9795,daland,9696,9699,mir,daland
qd,wzq0.0,9610,9795,daland,9710,9714,mein,daland
qd,wzq0.0,9610,9795,daland,9734,9740,meiner,daland
qd,wzq0.0,9610,9795,daland,9751,9755,mein,daland
qd,wzq0.0,9610,9795,daland,9774,9779,meine,daland
qd,wzq0.0,10009,10036,holländer,10032,10035,mir,holländer
qd,wzq0.0,10041,10262,daland,10050,10053,Ich,daland
qd,wzq0.0,10041,10262,daland,10063,10067,mein,daland
qd,wzq0.0,10041,10262,daland,10075,10079,Mich,daland
qd,wzq0.0,10041,10262,daland,10157,10160,mir,daland
qd,wzq0.0,10041,10262,daland,10184,10187,ich,daland
qd,wzq0.0,10041,10262,daland,10239,10242,ich,daland
qd,wzq0.0,10268,10325,holländer,10294,10297,ich,holländer
qd,wzq0.0,10443,10873,holländer,10466,10470,mein,holländer
qd,wzq0.0,10443,10873,holländer,10484,10488,mein,holländer
