corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,x34j.0,125,186,wendla,148,151,mir,wendla
qd,x34j.0,241,352,wendla,255,258,ich,wendla
qd,x34j.0,241,352,wendla,274,277,mir,wendla
qd,x34j.0,241,352,wendla,312,315,ich,wendla
qd,x34j.0,357,588,frau_bergmann,402,408,Wendla,wendla
qd,x34j.0,357,588,frau_bergmann,435,438,ich,frau_bergmann
qd,x34j.0,357,588,frau_bergmann,450,454,mein,frau_bergmann
qd,x34j.0,593,934,wendla,619,622,mir,wendla
qd,x34j.0,593,934,wendla,623,627,mein,wendla
qd,x34j.0,593,934,wendla,683,687,mich,wendla
qd,x34j.0,593,934,wendla,747,750,ich,wendla
qd,x34j.0,593,934,wendla,805,808,mir,wendla
qd,x34j.0,593,934,wendla,857,863,meinem,wendla
qd,x34j.0,593,934,wendla,896,899,ich,wendla
qd,x34j.0,939,1200,frau_bergmann,955,958,Ich,frau_bergmann
qd,x34j.0,939,1200,frau_bergmann,975,978,ich,frau_bergmann
qd,x34j.0,939,1200,frau_bergmann,991,994,Ich,frau_bergmann
qd,x34j.0,1205,1262,wendla,1242,1245,ich,wendla
qd,x34j.0,1385,1439,frau_bergmann,1415,1419,Mein,frau_bergmann
qd,x34j.0,1444,1641,wendla,1464,1467,mir,wendla
qd,x34j.0,1444,1641,wendla,1488,1491,ich,wendla
qd,x34j.0,1444,1641,wendla,1510,1513,Mir,wendla
qd,x34j.0,1444,1641,wendla,1547,1550,ich,wendla
qd,x34j.0,1444,1641,wendla,1561,1564,ich,wendla
qd,x34j.0,1646,1832,frau_bergmann,1767,1770,Ich,frau_bergmann
qd,x34j.0,1837,1946,wendla,1896,1899,ich,wendla
qd,x34j.0,2066,2636,wendla,2211,2217,meinen,wendla
qd,x34j.0,2066,2636,wendla,2300,2303,ich,wendla
qd,x34j.0,2066,2636,wendla,2499,2502,ich,wendla
qd,x34j.0,2066,2636,wendla,2503,2507,mein,wendla
qd,x34j.0,2066,2636,wendla,2532,2535,ich,wendla
qd,x34j.0,2066,2636,wendla,2536,2540,mich,wendla
qd,x34j.0,2695,2758,melchior,2714,2717,mir,melchior
qd,x34j.0,2695,2758,melchior,2733,2736,Ich,melchior
qd,x34j.0,2763,2845,otto,2836,2844,Melchior,melchior
qd,x34j.0,3015,3077,melchior,3037,3040,ich,melchior
qd,x34j.0,3377,3404,otto,3384,3387,Ich,otto
qd,x34j.0,3409,3443,georg,3417,3420,Ich,georg
qd,x34j.0,3448,3475,ernst,3456,3459,Ich,ernst
qd,x34j.0,3448,3475,ernst,3466,3469,ich,ernst
qd,x34j.0,3480,3510,robert,3501,3509,Melchior,melchior
qd,x34j.0,3542,3590,_stage,3570,3576,Moritz,moritz_stiefel
