corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,x37q.0,1485,1716,mutter,1707,1710,ich,mutter
qd,x37q.0,1721,1815,franziska,1745,1748,ich,franziska
qd,x37q.0,1900,1958,franziska,1921,1924,Ich,franziska
qd,x37q.0,1963,2063,mutter,1972,1975,Mir,mutter
qd,x37q.0,2068,2193,franziska,2080,2083,Ich,franziska
qd,x37q.0,2068,2193,franziska,2112,2115,Mir,franziska
qd,x37q.0,2198,2354,mutter,2207,2210,Mir,mutter
qd,x37q.0,2198,2354,mutter,2248,2251,ich,mutter
qd,x37q.0,2198,2354,mutter,2288,2291,mir,mutter
qd,x37q.0,2198,2354,mutter,2302,2305,ich,mutter
qd,x37q.0,2620,2705,franziska,2657,2660,ich,franziska
qd,x37q.0,2710,3047,mutter,2948,2951,ich,mutter
qd,x37q.0,2710,3047,mutter,2988,2992,mich,mutter
qd,x37q.0,3052,3153,franziska,3075,3078,ich,franziska
qd,x37q.0,3052,3153,franziska,3137,3143,Mutter,mutter
qd,x37q.0,3232,3268,franziska,3253,3256,ich,franziska
qd,x37q.0,3273,3752,mutter,3674,3677,mir,mutter
qd,x37q.0,4026,4164,franziska,4047,4050,ich,franziska
qd,x37q.0,4026,4164,franziska,4061,4065,mich,franziska
qd,x37q.0,4026,4164,franziska,4099,4102,ich,franziska
qd,x37q.0,4169,5001,mutter,4867,4870,Ich,mutter
qd,x37q.0,4169,5001,mutter,4921,4924,mir,mutter
qd,x37q.0,4169,5001,mutter,4936,4939,ich,mutter
qd,x37q.0,5006,5545,franziska,5044,5050,meinen,franziska
qd,x37q.0,5006,5545,franziska,5314,5317,ich,franziska
qd,x37q.0,5006,5545,franziska,5374,5377,ich,franziska
qd,x37q.0,5006,5545,franziska,5378,5382,mich,franziska
qd,x37q.0,5006,5545,franziska,5467,5470,Ich,franziska
qd,x37q.0,5006,5545,franziska,5479,5484,meine,franziska
qd,x37q.0,5006,5545,franziska,5512,5515,ich,franziska
qd,x37q.0,5816,5926,franziska,5843,5849,Mutter,mutter
qd,x37q.0,5816,5926,franziska,5859,5862,ich,franziska
qd,x37q.0,5816,5926,franziska,5888,5891,ich,franziska
qd,x37q.0,5931,6186,mutter,5951,5954,ich,mutter
qd,x37q.0,6191,7085,franziska,6248,6251,ich,franziska
qd,x37q.0,6191,7085,franziska,6374,6377,mir,franziska
qd,x37q.0,6191,7085,franziska,6458,6461,ich,franziska
qd,x37q.0,6191,7085,franziska,6506,6510,mich,franziska
qd,x37q.0,6191,7085,franziska,6584,6588,mich,franziska
qd,x37q.0,6191,7085,franziska,6629,6632,ich,franziska
qd,x37q.0,6191,7085,franziska,6633,6636,mir,franziska
qd,x37q.0,6191,7085,franziska,6676,6679,Ich,franziska
qd,x37q.0,6191,7085,franziska,6842,6846,mich,franziska
qd,x37q.0,6191,7085,franziska,6892,6898,meiner,franziska
qd,x37q.0,6191,7085,franziska,6968,6971,ich,franziska
qd,x37q.0,6191,7085,franziska,6979,6982,ich,franziska
qd,x37q.0,6191,7085,franziska,7068,7071,ich,franziska
qd,x37q.0,7252,7316,franziska,7298,7302,mich,franziska
qd,x37q.0,7321,7421,mutter,7330,7333,Ich,mutter
qd,x37q.0,7321,7421,mutter,7340,7344,mich,mutter
qd,x37q.0,7321,7421,mutter,7354,7360,meinem,mutter
qd,x37q.0,7426,7488,franziska,7438,7441,Ich,franziska
qd,x37q.0,7553,7609,franziska,7565,7568,Ich,franziska
qd,x37q.0,7553,7609,franziska,7576,7581,meine,franziska
qd,x37q.0,7728,7859,franziska,7766,7772,meinem,franziska
qd,x37q.0,7728,7859,franziska,7811,7814,mir,franziska
qd,x37q.0,7926,8227,franziska,7946,7950,mich,franziska
qd,x37q.0,7926,8227,franziska,7975,7981,Mutter,mutter
qd,x37q.0,7926,8227,franziska,7989,7992,ich,franziska
qd,x37q.0,7926,8227,franziska,7993,7997,mich,franziska
qd,x37q.0,7926,8227,franziska,8046,8049,Ich,franziska
qd,x37q.0,7926,8227,franziska,8057,8061,mich,franziska
qd,x37q.0,8232,8605,mutter,8264,8268,mein,mutter
qd,x37q.0,8232,8605,mutter,8431,8434,ich,mutter
