corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,x390.0,550,830,_Stage,_Stage,Die,ART,der,23978,,
qd,x390.0,550,830,_Stage,_Stage,Bühne,NN,bühne,23978,,
qd,x390.0,550,830,_Stage,_Stage,stellt,VVFIN,stellen,23978,,
qd,x390.0,550,830,_Stage,_Stage,einen,ART,ein,23978,,
qd,x390.0,550,830,_Stage,_Stage,Garten,NN,garten,23978,,
qd,x390.0,550,830,_Stage,_Stage,bei,APPR,bei,23978,,
qd,x390.0,550,830,_Stage,_Stage,einer,ART,ein,23978,,
qd,x390.0,550,830,_Stage,_Stage,Villa,NN,villa,23978,,
qd,x390.0,550,830,_Stage,_Stage,dar,PTKVZ,dar,23978,,
qd,x390.0,550,830,_Stage,_Stage,.,$.,--,23978,,
qd,x390.0,550,830,_Stage,_Stage,Im,APPRART,in,23978,,
qd,x390.0,550,830,_Stage,_Stage,Hintergrunde,NN,hintergrunde,23978,,
qd,x390.0,550,830,_Stage,_Stage,",","$,",--,23978,,
qd,x390.0,550,830,_Stage,_Stage,rechts,ADV,rechts,23978,,
qd,x390.0,550,830,_Stage,_Stage,vom,APPRART,von,23978,,
qd,x390.0,550,830,_Stage,_Stage,Zuschauer,NN,zuschauer,23978,,
qd,x390.0,550,830,_Stage,_Stage,",","$,",--,23978,,
qd,x390.0,550,830,_Stage,_Stage,sieht,VVFIN,sehen,23978,,
qd,x390.0,550,830,_Stage,_Stage,man,PIS,man,23978,,
qd,x390.0,550,830,_Stage,_Stage,die,ART,der,23978,,
qd,x390.0,550,830,_Stage,_Stage,Stufen,NN,stufe,23978,,
qd,x390.0,550,830,_Stage,_Stage,",","$,",--,23978,,
qd,x390.0,550,830,_Stage,_Stage,die,PRELS,der,23978,,
qd,x390.0,550,830,_Stage,_Stage,zur,APPRART,zu,23978,,
qd,x390.0,550,830,_Stage,_Stage,Veranda,NN,veranda,23978,,
qd,x390.0,550,830,_Stage,_Stage,der,ART,der,23978,,
qd,x390.0,550,830,_Stage,_Stage,Villa,NN,villa,23978,,
qd,x390.0,550,830,_Stage,_Stage,hinaufführen,VVINF,hinaufführen,23978,,
qd,x390.0,550,830,_Stage,_Stage,.,$.,--,23978,,
qd,x390.0,550,830,_Stage,_Stage,Zur,APPRART,zu,23978,,
qd,x390.0,550,830,_Stage,_Stage,Linken,NN,linke,23978,,
qd,x390.0,550,830,_Stage,_Stage,",","$,",--,23978,,
qd,x390.0,550,830,_Stage,_Stage,gleichfalls,ADV,gleichfalls,23978,,
qd,x390.0,550,830,_Stage,_Stage,im,APPRART,in,23978,,
qd,x390.0,550,830,_Stage,_Stage,Hintergrund,NN,hintergrund,23978,,
qd,x390.0,550,830,_Stage,_Stage,",","$,",--,23978,,
qd,x390.0,550,830,_Stage,_Stage,ist,VAFIN,sein,23978,,
qd,x390.0,550,830,_Stage,_Stage,die,ART,der,23978,,
qd,x390.0,550,830,_Stage,_Stage,Gartenpforte,NN,gartenpforte,23978,,
qd,x390.0,550,830,_Stage,_Stage,.,$.,--,23978,,
qd,x390.0,550,830,_Stage,_Stage,Im,APPRART,in,23978,,
qd,x390.0,550,830,_Stage,_Stage,Vordergrunde,NN,vordergrunde,23978,,
qd,x390.0,550,830,_Stage,_Stage,steht,VVFIN,stehen,23978,,
qd,x390.0,550,830,_Stage,_Stage,rechts,ADV,rechts,23978,,
qd,x390.0,550,830,_Stage,_Stage,ein,ART,ein,23978,,
qd,x390.0,550,830,_Stage,_Stage,Gartentisch,NN,gartentisch,23978,,
qd,x390.0,550,830,_Stage,_Stage,mit,APPR,mit,23978,,
qd,x390.0,550,830,_Stage,_Stage,mehreren,PIAT,mehrere,23978,,
qd,x390.0,550,830,_Stage,_Stage,Stühlen,NN,stuhl,23978,,
qd,x390.0,550,830,_Stage,_Stage,.,$.,--,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Rudolf,NE,rudolf,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Launhart,NE,launhart,23978,,(0)
qd,x390.0,833,1285,_Stage,_Stage,und,KON,und,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Heinrich,NE,heinrich,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Gellinghausen,NE,gellinghause,23978,,(1)
qd,x390.0,833,1285,_Stage,_Stage,treten,VVFIN,treten,23978,,
qd,x390.0,833,1285,_Stage,_Stage,durch,APPR,durch,23978,,
qd,x390.0,833,1285,_Stage,_Stage,die,ART,der,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Gartenpforte,NN,gartenpforte,23978,,
qd,x390.0,833,1285,_Stage,_Stage,ein,PTKVZ,ein,23978,,
qd,x390.0,833,1285,_Stage,_Stage,.,$.,--,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Launhart,NE,launhart,23978,,(0)
qd,x390.0,833,1285,_Stage,_Stage,ist,VAFIN,sein,23978,,
qd,x390.0,833,1285,_Stage,_Stage,ein,ART,ein,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Mann,NN,mann,23978,,
qd,x390.0,833,1285,_Stage,_Stage,von,APPR,von,23978,,
qd,x390.0,833,1285,_Stage,_Stage,gedrungner,ADJA,gedrungn,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Statur,NN,statur,23978,,
qd,x390.0,833,1285,_Stage,_Stage,",","$,",--,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Ende,NN,ende,23978,,
qd,x390.0,833,1285,_Stage,_Stage,der,ART,der,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Zwanziger,NN,zwanziger,23978,,
qd,x390.0,833,1285,_Stage,_Stage,",","$,",--,23978,,
qd,x390.0,833,1285,_Stage,_Stage,mit,APPR,mit,23978,,
qd,x390.0,833,1285,_Stage,_Stage,blondem,ADJA,blond,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Spitzbart,NN,spitzbart,23978,,
qd,x390.0,833,1285,_Stage,_Stage,",","$,",--,23978,,
qd,x390.0,833,1285,_Stage,_Stage,kurzgeschornem,ADJA,kurzgeschorn,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Haar,NN,haar,23978,,
qd,x390.0,833,1285,_Stage,_Stage,",","$,",--,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Kneifer,NN,kneifer,23978,,
qd,x390.0,833,1285,_Stage,_Stage,und,KON,und,23978,,
qd,x390.0,833,1285,_Stage,_Stage,völlig,ADJD,völlig,23978,,
qd,x390.0,833,1285,_Stage,_Stage,ausdruckslosem,ADJA,ausdruckslos,23978,,
qd,x390.0,833,1285,_Stage,_Stage,unveränderlichem,ADJA,unveränderlich,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Gesicht,NN,gesicht,23978,,
qd,x390.0,833,1285,_Stage,_Stage,.,$.,--,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Er,PPER,er,23978,,
qd,x390.0,833,1285,_Stage,_Stage,bewegt,VVFIN,bewegen,23978,,
qd,x390.0,833,1285,_Stage,_Stage,sich,PRF,sich,23978,,
qd,x390.0,833,1285,_Stage,_Stage,sehr,ADV,sehr,23978,,
qd,x390.0,833,1285,_Stage,_Stage,rasch,ADJD,rasch,23978,,
qd,x390.0,833,1285,_Stage,_Stage,und,KON,und,23978,,
qd,x390.0,833,1285,_Stage,_Stage,spricht,VVFIN,sprechen,23978,,
qd,x390.0,833,1285,_Stage,_Stage,sehr,ADV,sehr,23978,,
qd,x390.0,833,1285,_Stage,_Stage,rasch,ADJD,rasch,23978,,
qd,x390.0,833,1285,_Stage,_Stage,.,$.,--,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Gellinghausen,NE,gellinghausen,23978,,(1)
qd,x390.0,833,1285,_Stage,_Stage,ist,VAFIN,sein,23978,,
qd,x390.0,833,1285,_Stage,_Stage,hochgewachsen,VVPP,hochgewachsen,23978,,
qd,x390.0,833,1285,_Stage,_Stage,",","$,",--,23978,,
qd,x390.0,833,1285,_Stage,_Stage,mit,APPR,mit,23978,,
qd,x390.0,833,1285,_Stage,_Stage,dunklem,ADJA,dunkel,23978,,
qd,x390.0,833,1285,_Stage,_Stage,",","$,",--,23978,,
qd,x390.0,833,1285,_Stage,_Stage,links,ADV,links,23978,,
qd,x390.0,833,1285,_Stage,_Stage,gescheiteltem,ADJA,gescheitelt,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Haar,NN,haar,23978,,
qd,x390.0,833,1285,_Stage,_Stage,und,KON,und,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Vollbart,NN,vollbart,23978,,
qd,x390.0,833,1285,_Stage,_Stage,.,$.,--,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Er,PPER,er,23978,,
qd,x390.0,833,1285,_Stage,_Stage,trägt,VVFIN,tragen,23978,,
qd,x390.0,833,1285,_Stage,_Stage,einen,ART,ein,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Paletot,NN,paletot,23978,,
qd,x390.0,833,1285,_Stage,_Stage,über,APPR,über,23978,,
qd,x390.0,833,1285,_Stage,_Stage,dem,ART,der,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Arm,NN,arm,23978,,
qd,x390.0,833,1285,_Stage,_Stage,und,KON,und,23978,,
qd,x390.0,833,1285,_Stage,_Stage,einen,ART,ein,23978,,
qd,x390.0,833,1285,_Stage,_Stage,Regenschirm,NN,regenschirm,23978,,
qd,x390.0,833,1285,_Stage,_Stage,in,APPR,in,23978,,
