corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,x39r.0,280,316,_stage,302,315,ein Liftjunge,ein_liftjunge
qd,x39r.0,634,1331,der_hoteldiener,1124,1131,Gerardo,gerardo
qd,x39r.0,634,1331,der_hoteldiener,1170,1177,Gerardo,gerardo
qd,x39r.0,634,1331,der_hoteldiener,1183,1190,Gerardo,gerardo
qd,x39r.0,1382,1429,_stage,1382,1389,Gerardo,gerardo
qd,x39r.0,1382,1429,_stage,1391,1406,der Hoteldiener,der_hoteldiener
qd,x39r.0,1382,1429,_stage,1415,1428,der Liftjunge,ein_liftjunge
qd,x39r.0,1525,1581,der_hoteldiener,1551,1554,ich,der_hoteldiener
qd,x39r.0,1586,2224,gerardo,1608,1611,Ich,gerardo
qd,x39r.0,1586,2224,gerardo,1856,1859,mir,gerardo
qd,x39r.0,1586,2224,gerardo,1899,1902,ich,gerardo
qd,x39r.0,2579,2641,gerardo,2614,2617,ich,gerardo
qd,x39r.0,2850,2882,_stage,2850,2862,Der Bediente,der_hoteldiener
qd,x39r.0,2887,3401,gerardo,3053,3059,meinem,gerardo
qd,x39r.0,2887,3401,gerardo,3079,3083,mein,gerardo
qd,x39r.0,2887,3401,gerardo,3097,3101,mich,gerardo
qd,x39r.0,2887,3401,gerardo,3210,3213,Ich,gerardo
qd,x39r.0,3406,3502,ein_liftjunge,3463,3466,Ich,ein_liftjunge
qd,x39r.0,3543,3616,ein_liftjunge,3559,3562,Ich,ein_liftjunge
qd,x39r.0,3724,3860,gerardo,3797,3800,ich,gerardo
qd,x39r.0,4025,4069,gerardo,4042,4045,Ich,gerardo
qd,x39r.0,4074,4117,der_hoteldiener,4094,4097,ich,der_hoteldiener
qd,x39r.0,4633,5432,gerardo,4844,4848,mein,gerardo
qd,x39r.0,4633,5432,gerardo,4855,4858,ich,gerardo
qd,x39r.0,4633,5432,gerardo,4877,4880,ich,gerardo
qd,x39r.0,4633,5432,gerardo,4999,5003,mein,gerardo
qd,x39r.0,4633,5432,gerardo,5010,5013,ich,gerardo
qd,x39r.0,4633,5432,gerardo,5122,5125,Mir,gerardo
qd,x39r.0,5482,5502,_stage,5494,5501,Gerardo,gerardo
qd,x39r.0,5518,5679,_stage,5646,5653,Gerardo,gerardo
qd,x39r.0,5505,5722,miss_cœurne,5682,5685,Ich,miss_cœurne
qd,x39r.0,5505,5722,miss_cœurne,5706,5710,mich,miss_cœurne
qd,x39r.0,5727,6122,gerardo,5746,5749,ich,gerardo
qd,x39r.0,5727,6122,gerardo,5777,5780,Ich,gerardo
qd,x39r.0,5727,6122,gerardo,5860,5864,mein,gerardo
qd,x39r.0,5727,6122,gerardo,5884,5887,mir,gerardo
qd,x39r.0,5727,6122,gerardo,5933,5936,ich,gerardo
qd,x39r.0,5727,6122,gerardo,5945,5948,Ich,gerardo
qd,x39r.0,5727,6122,gerardo,5970,5973,ich,gerardo
qd,x39r.0,5727,6122,gerardo,6005,6009,mich,gerardo
qd,x39r.0,5727,6122,gerardo,6020,6023,Ich,gerardo
qd,x39r.0,5727,6122,gerardo,6103,6106,mir,gerardo
qd,x39r.0,6127,6265,miss_cœurne,6167,6171,mich,miss_cœurne
qd,x39r.0,6127,6265,miss_cœurne,6184,6187,Ich,miss_cœurne
qd,x39r.0,6127,6265,miss_cœurne,6232,6235,ich,miss_cœurne
qd,x39r.0,6306,6363,miss_cœurne,6320,6324,Mich,miss_cœurne
qd,x39r.0,6306,6363,miss_cœurne,6330,6333,Ich,miss_cœurne
qd,x39r.0,6306,6363,miss_cœurne,6350,6353,ich,miss_cœurne
