corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Nur,ADV,nur,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,kein,PIAT,kein,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Gelächter,NN,gelächter,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,"!",$.,--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Toren,NN,tor,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,seid,VVFIN,sein,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,auch,ADV,auch,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,ihr,PPOSAT,ihr,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,So,ADV,so,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,blind,ADJD,blind,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,wie,KOKOM,wie,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,ich,PPER,ich,22690,könig_nicolo,(0)
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,.,$.,--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Gleich,ADV,gleich,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,werd,VVFIN,werden,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,ich,PPER,ich,22690,könig_nicolo,(0)
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,',$[,--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,s,PPER,--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,euch,PRF,euch,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,beweisen,VVFIN,beweisen,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,:,$.,--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Ihr,PPOSAT,ihr,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,geht,VVFIN,gehen,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,",","$,",--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,so,ADV,so,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,glaubt,VVFIN,glauben,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,ihr,PPER,ihr,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,",","$,",--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,auf,APPR,auf,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Vergnügungsreisen,NN,vergnügungsreise,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,",","$,",--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Um,KOUI,um,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,fremder,ADJA,fremd,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Menschen,NN,mensch,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,fremdes,ADJA,fremd,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Land,NN,land,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,zu,PTKZU,zu,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,schauen,VVINF,schauen,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,",","$,",--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Am,APPRART,an,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,seltnen,ADJA,seltn,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Anblick,NN,anblick,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,schneebedeckter,ADJA,schneebedeckt,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Höhen,NN,höhe,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,",","$,",--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Am,APPRART,an,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,nie,ADV,nie,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,erträumten,ADJA,erträumt,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Blau,NN,blaue,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,weltferner,ADJA,weltfern,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Seen,NN,see,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,",","$,",--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Um,KOUI,um,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,euren,ADJA,euren,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Sinn,NN,sinn,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,an,APPR,an,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,all,PIDAT,all,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,dem,ART,der,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,zu,PTKZU,zu,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,erbauen,VVINF,erbauen,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,",","$,",--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Was,PWS,was,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,nicht,PTKNEG,nicht,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,ihr,PPOSAT,ihr,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,selber,ADV,selber,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,seid,ADJD,sein,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,.,$.,--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Und,KON,und,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,hofft,VVFIN,hoffen,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,auch,ADV,auch,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,hier,ADV,hier,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,In,APPR,in,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,diesem,PDAT,dieser,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Haus,NN,haus,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,am,APPRART,an,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Funkelnagelneuen,NN,funkelnagelneu,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,",","$,",--,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Am,APPRART,an,22690,,
qd,x3b4.0,1022,1643,KÖNIG NICOLO,könig_nicolo,Unbekanntesten,ADJA,unbekanntest,22690,,
