corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,x3bs.0,406,39257,0,420,2379,0
qd,x3bs.0,406,39257,0,2392,2666,0
qd,x3bs.0,406,39257,0,2679,3577,0
qd,x3bs.0,406,39257,0,3590,3924,0
qd,x3bs.0,406,39257,0,3937,7757,0
qd,x3bs.0,406,39257,0,7770,8548,0
qd,x3bs.0,406,39257,0,8562,13815,0
qd,x3bs.0,406,39257,0,13829,14649,0
qd,x3bs.0,406,39257,0,14662,18867,0
qd,x3bs.0,406,39257,0,18880,20658,0
qd,x3bs.0,406,39257,0,20672,21937,0
qd,x3bs.0,406,39257,0,21951,24898,0
qd,x3bs.0,406,39257,0,24912,30032,0
qd,x3bs.0,406,39257,0,30045,39257,0
qd,x3bs.0,39272,74696,0,39286,41314,0
qd,x3bs.0,39272,74696,0,41328,45133,0
qd,x3bs.0,39272,74696,0,45146,45798,0
qd,x3bs.0,39272,74696,0,45812,47906,0
qd,x3bs.0,39272,74696,0,47919,52676,0
qd,x3bs.0,39272,74696,0,52690,57622,0
qd,x3bs.0,39272,74696,0,57635,66217,0
qd,x3bs.0,39272,74696,0,66231,67367,0
qd,x3bs.0,39272,74696,0,67380,71132,0
qd,x3bs.0,39272,74696,0,71145,74696,0
qd,x3bs.0,74712,107407,0,74726,78302,0
qd,x3bs.0,74712,107407,0,78315,80023,0
qd,x3bs.0,74712,107407,0,80036,83838,0
qd,x3bs.0,74712,107407,0,83852,84528,0
qd,x3bs.0,74712,107407,0,84542,86129,0
qd,x3bs.0,74712,107407,0,86142,87148,0
qd,x3bs.0,74712,107407,0,87161,91117,0
qd,x3bs.0,74712,107407,0,91131,92161,0
qd,x3bs.0,74712,107407,0,92175,94698,0
qd,x3bs.0,74712,107407,0,94712,95078,0
qd,x3bs.0,74712,107407,0,95091,96578,0
qd,x3bs.0,74712,107407,0,96592,98175,0
qd,x3bs.0,74712,107407,0,98189,102622,0
qd,x3bs.0,74712,107407,0,102635,103634,0
qd,x3bs.0,74712,107407,0,103647,106301,0
qd,x3bs.0,74712,107407,0,106314,106596,0
qd,x3bs.0,74712,107407,0,106609,107407,0
