corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,x3cm.0,229,402,_Stage,_Stage,Elfriede,NE,elfriede,9474,,(0)
qd,x3cm.0,229,402,_Stage,_Stage,von,APPR,von,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,Malchus,NE,malchus,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,sitzt,VVFIN,sitzen,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,in,APPR,in,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,einem,PIS,einer,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,der,ART,der,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,Polstersessel,NN,polstersessel,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,.,$.,--,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,Man,PIS,man,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,sieht,VVFIN,sehen,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,ihr,PPOSAT,ihr,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,an,PTKVZ,an,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,",","$,",--,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,daß,KOUS,daß,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,sie,PPER,sie,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,sich,PRF,sich,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,unbehaglich,ADJD,unbehaglich,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,fühlt,VVFIN,fühlen,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,.,$.,--,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,Sie,PPER,sie,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,trägt,VVFIN,tragen,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,ein,ART,ein,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,modernes,ADJA,modern,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,Reformkleid,NN,reformkleid,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,",","$,",--,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,dazu,PROAV,dazu,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,Hut,FM,hut,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,",","$,",--,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,Mantel,NE,mantel,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,und,KON,und,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,Handschuhe,NN,handschuh,9474,,
qd,x3cm.0,229,402,_Stage,_Stage,.,$.,--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Auf,APPR,auf,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,ihr,PPOSAT,ihr,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,letztes,ADJA,letzter,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Wort,NN,wort,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,tritt,VVFIN,treten,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,der,ART,der,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Marquis,NN,marquis,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Casti,NE,casti,9474,,(1
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Piani,NE,piani,9474,,1)
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,durch,APPR,durch,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,die,ART,der,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Mitteltür,NN,mitteltür,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,ein,PTKVZ,ein,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,.,$.,--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Er,PPER,er,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,ist,VAFIN,sein,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,ein,ART,ein,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Mann,NN,mann,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,von,APPR,von,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,hoher,ADJA,hoch,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Statur,NN,statur,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,",","$,",--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,mit,APPR,mit,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,kahlem,ADJA,kahl,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Schädel,NN,schädel,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,",","$,",--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,hoher,ADJA,hoch,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Stirn,NN,stirn,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,",","$,",--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,großen,ADJA,groß,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,",","$,",--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,melancholischen,ADJA,melancholisch,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,",","$,",--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,schwarzen,ADJA,schwarz,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Augen,NN,auge,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,",","$,",--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,starker,ADJA,stark,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Adlernase,NN,adlernase,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,und,KON,und,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,starkem,ADJA,stark,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,",","$,",--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,herabhängendem,ADJA,herabhängend,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,schwarzen,ADJA,schwarz,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Schnurrbart,NN,schnurrbart,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,.,$.,--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Er,PPER,er,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,trägt,VVFIN,tragen,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,schwarzen,ADJA,schwarz,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Gehrock,NN,gehrock,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,",","$,",--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,dunkle,ADJA,dunkel,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Phantasieweste,NN,phantasieweste,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,",","$,",--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,tiefgraue,ADJA,tiefgrau,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Beinkleider,NN,beinkleider,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,",","$,",--,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Lackstiefel,NN,lackstiefel,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,und,KON,und,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,schwarze,ADJA,schwarz,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Krawatte,NN,krawatte,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,mit,APPR,mit,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,Brillantnadel,NN,brillantnadel,9474,,
qd,x3cm.0,917,1297,ELFRIEDE,elfriede,.,$.,--,9474,,
qd,x3cm.0,1315,1330,CASTI PIANI,gast_i_piani,mit,APPR,mit,9474,,
qd,x3cm.0,1315,1330,CASTI PIANI,gast_i_piani,Verbeugung,NN,verbeugung,9474,,
qd,x3cm.0,1315,1330,CASTI PIANI,gast_i_piani,.,$.,--,9474,,
qd,x3cm.0,1375,1382,ELFRIEDE,elfriede,erregt,VVPP,erregen,9474,,
qd,x3cm.0,1375,1382,ELFRIEDE,elfriede,.,$.,--,9474,,
qd,x3cm.0,2987,3015,ELFRIEDE,elfriede,aufgeregt,ADJD,aufgeregt,9474,,
qd,x3cm.0,2987,3015,ELFRIEDE,elfriede,auf,PTKVZ,auf,9474,,
qd,x3cm.0,2987,3015,ELFRIEDE,elfriede,und,KON,und,9474,,
