corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,sechs,CARD,sechs,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,Uhr,NN,uhr,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,"!",$.,--,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,–,XY,–,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,Und,KON,und,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,noch,ADV,noch,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,nicht,PTKNEG,nicht,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,aus,APPR,aus,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,den,ART,der,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,Glaumen,NN,glaume,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,?,$.,--,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,–,XY,–,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,Mein,PPOSAT,mein,16853,schönheitlieb,(0)
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,Herr,NN,herr,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,wollte,VMFIN,wollen,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,heut,ADV,heut,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,auf,APPR,auf,16853,,
qd,x400.0,2871,3400,SCHÖNHEITLIEB,schönheitlieb,die,ART,der,16853,,
