corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,x4gj.0,326,2485,atreus,378,383,meine,atreus
qd,x4gj.0,326,2485,atreus,459,462,ich,atreus
qd,x4gj.0,326,2485,atreus,570,573,mir,atreus
qd,x4gj.0,326,2485,atreus,631,634,mir,atreus
qd,x4gj.0,326,2485,atreus,673,676,mir,atreus
qd,x4gj.0,326,2485,atreus,692,695,ich,atreus
qd,x4gj.0,326,2485,atreus,709,712,ich,atreus
qd,x4gj.0,326,2485,atreus,723,729,Thyest,thyest
qd,x4gj.0,326,2485,atreus,788,791,mir,atreus
qd,x4gj.0,326,2485,atreus,838,844,Thyest,thyest
qd,x4gj.0,326,2485,atreus,846,852,Thyest,thyest
qd,x4gj.0,326,2485,atreus,887,890,ich,atreus
qd,x4gj.0,326,2485,atreus,1025,1028,mir,atreus
qd,x4gj.0,326,2485,atreus,1058,1061,ich,atreus
qd,x4gj.0,326,2485,atreus,1093,1096,ich,atreus
qd,x4gj.0,326,2485,atreus,1151,1154,ich,atreus
qd,x4gj.0,326,2485,atreus,1204,1207,ich,atreus
qd,x4gj.0,326,2485,atreus,1268,1272,mein,atreus
qd,x4gj.0,326,2485,atreus,1279,1282,ich,atreus
qd,x4gj.0,326,2485,atreus,1481,1487,Thyest,thyest
qd,x4gj.0,326,2485,atreus,1504,1507,ich,atreus
qd,x4gj.0,326,2485,atreus,1576,1579,ich,atreus
qd,x4gj.0,326,2485,atreus,1688,1692,mich,atreus
qd,x4gj.0,326,2485,atreus,1768,1771,ich,atreus
qd,x4gj.0,326,2485,atreus,1952,1958,meinem,atreus
qd,x4gj.0,326,2485,atreus,1966,1970,mein,atreus
qd,x4gj.0,326,2485,atreus,2004,2010,Thyest,thyest
qd,x4gj.0,326,2485,atreus,2102,2108,meiner,atreus
qd,x4gj.0,326,2485,atreus,2185,2191,meinen,atreus
qd,x4gj.0,326,2485,atreus,2254,2257,mir,atreus
qd,x4gj.0,326,2485,atreus,2307,2315,Priester,priester
qd,x4gj.0,326,2485,atreus,2453,2456,ich,atreus
qd,x4gj.0,326,2485,atreus,2461,2466,meine,atreus
qd,x4gj.0,2536,2553,_stage,2536,2542,Atreus,atreus
qd,x4gj.0,2536,2553,_stage,2544,2552,Priester,priester
qd,x4gj.0,2556,2735,atreus,2705,2708,mir,atreus
qd,x4gj.0,2741,2824,priester,2798,2801,mir,priester
qd,x4gj.0,2847,3608,priester,3350,3353,ich,priester
qd,x4gj.0,2847,3608,priester,3379,3382,mir,priester
qd,x4gj.0,3614,3789,atreus,3628,3631,ich,atreus
qd,x4gj.0,3614,3789,atreus,3638,3644,meinen,atreus
qd,x4gj.0,3614,3789,atreus,3678,3681,mir,atreus
qd,x4gj.0,3614,3789,atreus,3703,3706,ich,atreus
qd,x4gj.0,4459,4582,atreus,4482,4485,mir,atreus
qd,x4gj.0,4459,4582,atreus,4518,4521,mir,atreus
qd,x4gj.0,4761,5022,priester,4782,4785,Ich,priester
qd,x4gj.0,5028,5083,atreus,5036,5039,Ich,atreus
qd,x4gj.0,5028,5083,atreus,5058,5066,Priester,priester
qd,x4gj.0,5088,5580,priester,5106,5110,mich,priester
qd,x4gj.0,5088,5580,priester,5556,5562,Atreus,atreus
qd,x4gj.0,5586,5661,atreus,5641,5649,Priester,priester
qd,x4gj.0,6583,6657,atreus,6607,6611,mich,atreus
qd,x4gj.0,6583,6657,atreus,6650,6656,Thyest,thyest
qd,x4gj.0,6663,6866,priester,6680,6686,Atreus,atreus
qd,x4gj.0,6663,6866,priester,6688,6694,Atreus,atreus
qd,x4gj.0,6663,6866,priester,6696,6702,Atreus,atreus
qd,x4gj.0,6663,6866,priester,6798,6806,Priester,priester
qd,x4gj.0,6872,7112,atreus,6921,6925,mich,atreus
qd,x4gj.0,6872,7112,atreus,6989,6992,mir,atreus
qd,x4gj.0,6872,7112,atreus,7033,7039,meiner,atreus
qd,x4gj.0,6872,7112,atreus,7063,7066,ich,atreus
qd,x4gj.0,7417,7876,atreus,7435,7439,mich,atreus
qd,x4gj.0,7417,7876,atreus,7449,7452,ich,atreus
qd,x4gj.0,7417,7876,atreus,7467,7471,Mein,atreus
qd,x4gj.0,7417,7876,atreus,7508,7515,Aegisth,aegisth
qd,x4gj.0,7417,7876,atreus,7648,7651,ich,atreus
qd,x4gj.0,7417,7876,atreus,7855,7858,ich,atreus
qd,x4gj.0,8206,8412,atreus,8222,8225,ich,atreus
qd,x4gj.0,8206,8412,atreus,8369,8372,Ich,atreus
qd,x4gj.0,8206,8412,atreus,8404,8411,Aegisth,aegisth
qd,x4gj.0,8463,8489,_stage,8463,8469,Atreus,atreus
qd,x4gj.0,8463,8489,_stage,8471,8479,Priester,priester
qd,x4gj.0,8463,8489,_stage,8481,8488,Aegisth,aegisth
qd,x4gj.0,8492,8615,priester,8522,8525,ich,priester
qd,x4gj.0,8956,8999,aegisth,8988,8994,Thyest,thyest
qd,x4gj.0,9004,9059,atreus,9031,9035,mich,atreus
qd,x4gj.0,9065,9308,aegisth,9117,9120,mir,aegisth
qd,x4gj.0,9065,9308,aegisth,9170,9176,Thyest,thyest
qd,x4gj.0,9314,9357,atreus,9331,9334,mir,atreus
qd,x4gj.0,9542,9673,priester,9553,9556,Ich,priester
qd,x4gj.0,9679,9953,atreus,9943,9949,Thyest,thyest
qd,x4gj.0,9959,10003,priester,9987,9993,Atreus,atreus
qd,x4gj.0,10009,10130,atreus,10025,10028,ich,atreus
qd,x4gj.0,10009,10130,atreus,10044,10047,ich,atreus
qd,x4gj.0,10009,10130,atreus,10052,10058,Thyest,thyest
qd,x4gj.0,10009,10130,atreus,10068,10071,ich,atreus
qd,x4gj.0,10009,10130,atreus,10120,10123,mir,atreus
