corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,x4gj.0,276,19296,0,290,2485,0
qd,x4gj.0,276,19296,0,2499,8412,0
qd,x4gj.0,276,19296,0,8426,12746,0
qd,x4gj.0,276,19296,0,12759,18045,0
qd,x4gj.0,276,19296,0,18058,19296,0
qd,x4gj.0,19312,40336,0,19326,23080,0
qd,x4gj.0,19312,40336,0,23093,23764,0
qd,x4gj.0,19312,40336,0,23778,29239,0
qd,x4gj.0,19312,40336,0,29252,34882,0
qd,x4gj.0,19312,40336,0,34895,38725,0
qd,x4gj.0,19312,40336,0,38738,40336,0
qd,x4gj.0,40352,62263,0,40366,41536,0
qd,x4gj.0,40352,62263,0,41550,45878,0
qd,x4gj.0,40352,62263,0,45892,50489,0
qd,x4gj.0,40352,62263,0,50502,51452,0
qd,x4gj.0,40352,62263,0,51466,51954,0
qd,x4gj.0,40352,62263,0,51967,61818,0
qd,x4gj.0,40352,62263,0,61831,62263,0
qd,x4gj.0,62278,78677,0,62292,63296,0
qd,x4gj.0,62278,78677,0,63310,69932,0
qd,x4gj.0,62278,78677,0,69946,70510,0
qd,x4gj.0,62278,78677,0,70523,71953,0
qd,x4gj.0,62278,78677,0,71967,77857,0
qd,x4gj.0,62278,78677,0,77870,78677,0
qd,x4gj.0,78692,95630,0,78706,80938,0
qd,x4gj.0,78692,95630,0,80951,90174,0
qd,x4gj.0,78692,95630,0,90187,90833,0
qd,x4gj.0,78692,95630,0,90847,91852,0
qd,x4gj.0,78692,95630,0,91865,92966,0
qd,x4gj.0,78692,95630,0,92979,95630,0
