corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,x4q9.0,2800,3683,röse,3002,3005,ich,röse
qd,x4q9.0,2800,3683,röse,3032,3038,meinen,röse
qd,x4q9.0,2800,3683,röse,3148,3152,Mein,röse
qd,x4q9.0,2800,3683,röse,3257,3261,Mein,röse
qd,x4q9.0,2800,3683,röse,3286,3290,mich,röse
qd,x4q9.0,2800,3683,röse,3324,3327,ich,röse
qd,x4q9.0,2800,3683,röse,3544,3547,Ich,röse
qd,x4q9.0,2800,3683,röse,3571,3574,mir,röse
qd,x4q9.0,2800,3683,röse,3622,3625,mir,röse
qd,x4q9.0,2800,3683,röse,3630,3633,ich,röse
qd,x4q9.0,2800,3683,röse,3649,3653,Mein,röse
qd,x4q9.0,2800,3683,röse,3669,3673,mich,röse
qd,x4q9.0,3971,4131,röse,4099,4103,mich,röse
qd,x4q9.0,4136,4419,marthe,4240,4248,Christel,christel
qd,x4q9.0,4424,4755,röse,4587,4590,ich,röse
qd,x4q9.0,4424,4755,röse,4622,4625,mir,röse
qd,x4q9.0,4424,4755,röse,4626,4630,mein,röse
qd,x4q9.0,4424,4755,röse,4680,4686,Toffel,töffel_allein
qd,x4q9.0,4424,4755,röse,4710,4716,Toffel,töffel_allein
qd,x4q9.0,4760,4862,marthe,4780,4783,mir,marthe
qd,x4q9.0,4760,4862,marthe,4827,4830,Ich,marthe
qd,x4q9.0,4867,5703,röse,4998,5002,mich,röse
qd,x4q9.0,4867,5703,röse,5009,5012,Ich,röse
qd,x4q9.0,4867,5703,röse,5130,5133,ich,röse
qd,x4q9.0,4867,5703,röse,5203,5206,ich,röse
qd,x4q9.0,4867,5703,röse,5235,5238,mir,röse
qd,x4q9.0,4867,5703,röse,5255,5258,ich,röse
qd,x4q9.0,4867,5703,röse,5281,5284,ich,röse
qd,x4q9.0,4867,5703,röse,5319,5322,ich,röse
qd,x4q9.0,4867,5703,röse,5418,5422,mich,röse
qd,x4q9.0,4867,5703,röse,5434,5437,ich,röse
qd,x4q9.0,4867,5703,röse,5450,5454,Mich,röse
qd,x4q9.0,4867,5703,röse,5493,5496,ich,röse
qd,x4q9.0,4867,5703,röse,5538,5542,mich,röse
qd,x4q9.0,4867,5703,röse,5574,5577,ich,röse
qd,x4q9.0,4867,5703,röse,5608,5612,mich,röse
qd,x4q9.0,4867,5703,röse,5623,5627,mich,röse
qd,x4q9.0,4867,5703,röse,5630,5633,Ich,röse
qd,x4q9.0,4867,5703,röse,5686,5689,ich,röse
qd,x4q9.0,5887,5907,_stage,5900,5906,Michel,michel_allein
qd,x4q9.0,5910,5989,michel_allein,5968,5971,mir,michel_allein
qd,x4q9.0,5994,6031,marthe,6011,6017,Michel,michel_allein
qd,x4q9.0,6082,6154,röse,6134,6142,Christel,christel
qd,x4q9.0,6159,6367,michel_allein,6182,6185,ich,michel_allein
qd,x4q9.0,6159,6367,michel_allein,6334,6337,ich,michel_allein
qd,x4q9.0,6373,6452,marthe,6425,6433,Hannchen,hannchen
qd,x4q9.0,6746,7252,michel_allein,6842,6845,mir,michel_allein
qd,x4q9.0,6746,7252,michel_allein,6857,6860,ich,michel_allein
qd,x4q9.0,6746,7252,michel_allein,7063,7071,Christel,christel
qd,x4q9.0,7504,7613,röse,7514,7522,Hannchen,hannchen
qd,x4q9.0,7619,7886,michel_allein,7640,7643,ich,michel_allein
qd,x4q9.0,7619,7886,michel_allein,7789,7792,mir,michel_allein
qd,x4q9.0,7619,7886,michel_allein,7803,7806,Ich,michel_allein
qd,x4q9.0,7963,8094,michel_allein,7981,7984,ich,michel_allein
qd,x4q9.0,7963,8094,michel_allein,8049,8052,mir,michel_allein
qd,x4q9.0,8359,8844,töffel_allein,8373,8377,mich,töffel_allein
qd,x4q9.0,8359,8844,töffel_allein,8382,8386,mein,töffel_allein
qd,x4q9.0,8359,8844,töffel_allein,8407,8410,ich,töffel_allein
qd,x4q9.0,8359,8844,töffel_allein,8496,8499,ich,töffel_allein
qd,x4q9.0,8359,8844,töffel_allein,8558,8561,ich,töffel_allein
qd,x4q9.0,8359,8844,töffel_allein,8612,8615,ich,töffel_allein
qd,x4q9.0,8359,8844,töffel_allein,8680,8683,ich,töffel_allein
qd,x4q9.0,8359,8844,töffel_allein,8735,8739,mich,töffel_allein
qd,x4q9.0,8359,8844,töffel_allein,8740,8744,mein,töffel_allein
qd,x4q9.0,8359,8844,töffel_allein,8765,8768,ich,töffel_allein
qd,x4q9.0,8850,8995,michel_allein,8868,8871,ich,michel_allein
qd,x4q9.0,9000,9312,töffel_allein,9016,9022,Michel,michel_allein
qd,x4q9.0,9000,9312,töffel_allein,9105,9108,mir,töffel_allein
qd,x4q9.0,9000,9312,töffel_allein,9179,9185,Michel,michel_allein
qd,x4q9.0,9000,9312,töffel_allein,9265,9271,Michel,michel_allein
qd,x4q9.0,9465,9611,röse,9491,9494,Ich,röse
qd,x4q9.0,9465,9611,röse,9514,9518,mein,röse
qd,x4q9.0,9465,9611,röse,9576,9582,meiner,röse
qd,x4q9.0,9760,10041,michel_allein,9813,9816,ich,michel_allein
qd,x4q9.0,9760,10041,michel_allein,10009,10012,ich,michel_allein
qd,x4q9.0,9760,10041,michel_allein,10024,10027,ich,michel_allein
qd,x4q9.0,10046,10069,töffel_allein,10055,10058,Ich,töffel_allein
qd,x4q9.0,10074,10107,michel_allein,10096,10099,ich,michel_allein
qd,x4q9.0,10279,10405,michel_allein,10334,10337,ich,michel_allein
qd,x4q9.0,10410,10446,töffel_allein,10427,10430,ich,töffel_allein
qd,x4q9.0,10452,10933,michel_allein,10469,10472,ich,michel_allein
qd,x4q9.0,10452,10933,michel_allein,10502,10505,mir,michel_allein
qd,x4q9.0,10452,10933,michel_allein,10787,10790,Ich,michel_allein
qd,x4q9.0,10452,10933,michel_allein,10808,10811,ich,michel_allein
qd,x4q9.0,10938,11030,töffel_allein,10956,10959,ich,töffel_allein
qd,x4q9.0,10938,11030,töffel_allein,10971,10974,ich,töffel_allein
qd,x4q9.0,11035,11196,michel_allein,11059,11062,ich,michel_allein
qd,x4q9.0,11035,11196,michel_allein,11130,11133,Ich,michel_allein
qd,x4q9.0,11035,11196,michel_allein,11172,11175,mir,michel_allein
qd,x4q9.0,11035,11196,michel_allein,11180,11186,meinem,michel_allein
qd,x4q9.0,11035,11196,michel_allein,11187,11195,Christel,christel
qd,x4q9.0,11201,11254,töffel_allein,11220,11223,mir,töffel_allein
qd,x4q9.0,11259,11494,michel_allein,11274,11277,mir,michel_allein
qd,x4q9.0,11259,11494,michel_allein,11338,11346,Christel,christel
qd,x4q9.0,11259,11494,michel_allein,11365,11368,Ich,michel_allein
qd,x4q9.0,11259,11494,michel_allein,11476,11484,Hannchen,hannchen
qd,x4q9.0,11499,11684,töffel_allein,11513,11516,mir,töffel_allein
qd,x4q9.0,11499,11684,töffel_allein,11544,11547,ich,töffel_allein
qd,x4q9.0,11499,11684,töffel_allein,11591,11595,mich,töffel_allein
qd,x4q9.0,11499,11684,töffel_allein,11608,11611,ich,töffel_allein
qd,x4q9.0,11690,11849,marthe,11729,11737,Hannchen,hannchen
qd,x4q9.0,11690,11849,marthe,11805,11813,Christel,christel
qd,x4q9.0,11854,11971,röse,11922,11925,ich,röse
qd,x4q9.0,11854,11971,röse,11954,11958,Graf,graf
