corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,x4vf.0,506,535,_Stage,_Stage,August,NN,august,26616,,(0)
qd,x4vf.0,506,535,_Stage,_Stage,",","$,",--,26616,,
qd,x4vf.0,506,535,_Stage,_Stage,bald,ADV,bald,26616,,
qd,x4vf.0,506,535,_Stage,_Stage,darauf,PROAV,darauf,26616,,
qd,x4vf.0,506,535,_Stage,_Stage,Gehrmann,NE,gehrmann,26616,,(1)
qd,x4vf.0,506,535,_Stage,_Stage,.,$.,--,26616,,
qd,x4vf.0,546,645,AUGUST,august,sitzt,VVFIN,sitzen,26616,,
qd,x4vf.0,546,645,AUGUST,august,an,APPR,an,26616,,
qd,x4vf.0,546,645,AUGUST,august,einem,ART,ein,26616,,
qd,x4vf.0,546,645,AUGUST,august,Tisch,NN,tisch,26616,,
qd,x4vf.0,546,645,AUGUST,august,und,KON,und,26616,,
qd,x4vf.0,546,645,AUGUST,august,hat,VAFIN,haben,26616,,
qd,x4vf.0,546,645,AUGUST,august,ein,ART,ein,26616,,
qd,x4vf.0,546,645,AUGUST,august,Manuscript,NN,manuscript,26616,,
qd,x4vf.0,546,645,AUGUST,august,",","$,",--,26616,,
qd,x4vf.0,546,645,AUGUST,august,welches,PRELS,welcher,26616,,
qd,x4vf.0,546,645,AUGUST,august,er,PPER,er,26616,,
qd,x4vf.0,546,645,AUGUST,august,ungeduldig,ADJD,ungeduldig,26616,,
qd,x4vf.0,546,645,AUGUST,august,aus,APPR,aus,26616,,
qd,x4vf.0,546,645,AUGUST,august,der,ART,der,26616,,
qd,x4vf.0,546,645,AUGUST,august,Hand,NN,hand,26616,,
qd,x4vf.0,546,645,AUGUST,august,legt,VVFIN,legen,26616,,
qd,x4vf.0,546,645,AUGUST,august,",","$,",--,26616,,
qd,x4vf.0,546,645,AUGUST,august,und,KON,und,26616,,
qd,x4vf.0,546,645,AUGUST,august,aufsteht,VVFIN,aufstehen,26616,,
qd,x4vf.0,546,645,AUGUST,august,.,$.,--,26616,,
qd,x4vf.0,983,1034,GEHRMANN,gehrmann,stürzt,VVFIN,stürzen,26616,,
qd,x4vf.0,983,1034,GEHRMANN,gehrmann,mit,APPR,mit,26616,,
qd,x4vf.0,983,1034,GEHRMANN,gehrmann,einem,ART,ein,26616,,
qd,x4vf.0,983,1034,GEHRMANN,gehrmann,offenen,ADJA,offen,26616,,
