corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,x4vq.0,richers,2,
qd,x4vq.0,mehrere_räthe,22,
qd,x4vq.0,theit,4,
qd,x4vq.0,könig,8,
qd,x4vq.0,braske,17,
qd,x4vq.0,edelknabe,7,
qd,x4vq.0,hasko,1,
qd,x4vq.0,jöran,6,
qd,x4vq.0,hauptmann,15,
qd,x4vq.0,einige,20,
qd,x4vq.0,ein_rath,21,
qd,x4vq.0,kammerherr,24,
qd,x4vq.0,siegmund,12,
qd,x4vq.0,rathsdiener,16,
qd,x4vq.0,sten,0,
qd,x4vq.0,königinn,9,
qd,x4vq.0,einige_räthe,18,
qd,x4vq.0,struen,5,
qd,x4vq.0,wolowsky,10,
qd,x4vq.0,botwid,3,
qd,x4vq.0,johann,13,
qd,x4vq.0,page,23,
qd,x4vq.0,gruskel,14,
qd,x4vq.0,catharina,11,
qd,x4vq.0,einer,19,
