corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,x8fs.0,544,896,sidney,698,702,mein,sidney
qd,x8fs.0,544,896,sidney,728,731,ich,sidney
qd,x8fs.0,544,896,sidney,752,759,Suffolk,suffolk
qd,x8fs.0,544,896,sidney,813,817,Lady,lady_johanna_gray
qd,x8fs.0,544,896,sidney,819,826,Johanna,johanna
qd,x8fs.0,902,1142,lady_johanna_gray,968,972,Mein,lady_johanna_gray
qd,x8fs.0,902,1142,lady_johanna_gray,981,985,mein,lady_johanna_gray
qd,x8fs.0,902,1142,lady_johanna_gray,1008,1014,Sidney,sidney
qd,x8fs.0,902,1142,lady_johanna_gray,1025,1028,mir,lady_johanna_gray
qd,x8fs.0,902,1142,lady_johanna_gray,1049,1055,Sidney,sidney
qd,x8fs.0,902,1142,lady_johanna_gray,1071,1076,meine,lady_johanna_gray
qd,x8fs.0,2245,4352,lady_johanna_gray,2295,2298,mir,lady_johanna_gray
qd,x8fs.0,2245,4352,lady_johanna_gray,2311,2315,Mein,lady_johanna_gray
qd,x8fs.0,2245,4352,lady_johanna_gray,2391,2395,mein,lady_johanna_gray
qd,x8fs.0,2245,4352,lady_johanna_gray,3681,3685,mein,lady_johanna_gray
qd,x8fs.0,2245,4352,lady_johanna_gray,3764,3767,Mir,lady_johanna_gray
qd,x8fs.0,2245,4352,lady_johanna_gray,3801,3805,mich,lady_johanna_gray
qd,x8fs.0,2245,4352,lady_johanna_gray,3812,3815,mir,lady_johanna_gray
qd,x8fs.0,2245,4352,lady_johanna_gray,4026,4030,mich,lady_johanna_gray
qd,x8fs.0,2245,4352,lady_johanna_gray,4199,4203,mich,lady_johanna_gray
qd,x8fs.0,2245,4352,lady_johanna_gray,4221,4225,Mich,lady_johanna_gray
qd,x8fs.0,2245,4352,lady_johanna_gray,4305,4309,mich,lady_johanna_gray
qd,x8fs.0,5559,6997,lady_johanna_gray,6002,6005,ich,lady_johanna_gray
qd,x8fs.0,5559,6997,lady_johanna_gray,6300,6305,meine,lady_johanna_gray
