corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,x90s.0,2095,3281,HUBERT,hubert,Verschleierte,ADJA,verschleierter,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,blaue,ADJA,blau,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,Augen,NN,auge,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,in,APPR,in,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,einem,ART,ein,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,knabenhaften,ADJA,knabenhaft,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,",","$,",--,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,doch,KON,doch,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,frühgereiften,ADJA,frühgereift,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,etwas,PIS,etwas,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,blassen,VVFIN,blaß,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,Gesicht,NN,gesicht,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,.,$.,--,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,Die,ART,der,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,Haltung,NN,haltung,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,seines,PPOSAT,sein,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,Kopfes,NN,kopf,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,und,KON,und,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,seiner,PPOSAT,sein,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,Schultern,NN,schulter,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,drückt,VVFIN,drücken,31041,,
qd,x90s.0,2095,3281,HUBERT,hubert,aus,PTKVZ,aus,31041,,
