"participant","itemId","regionId","roiRelPosition","elapsedTime","timeInterval","keyCode","string","setName","groupName","tag1","tag2"
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","title",NA,NA,2164,2164,"KBD:32","GROUP 1: self paced essai",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","instruction1",NA,NA,2679,515,"KBD:32","testrun 001",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","instruction2",NA,NA,3360,681,"KBD:32","just check time count...",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice01","practice01_fixation",NA,3685,325,"KBD:32","X",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice01","practice01_0",NA,3989,304,"KBD:32","Hier",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice01","practice01_1",NA,4288,299,"KBD:32","könnte",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice01","practice01_2",NA,4552,264,"KBD:32","alles",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice01","practice01_3",NA,4775,223,"KBD:32","stehen.",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice01","practice01_4",NA,5014,239,"KBD:32"," zb.",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice01","practice01_5",NA,5232,218,"KBD:32"," ein",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice01","practice01_6",NA,5460,228,"KBD:32"," paar",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice01","practice01_7",NA,5680,220,"KBD:32"," einführende",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice01","practice01_8",NA,6243,563,"KBD:32"," worte.",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice01","practice01_prompt",NA,7733,1490,"KBD:48","Was zum Beispiel?|äh...|also fast alles...",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice01","practice01_feedback",NA,8631,898,"KBD:32","correct",NA,NA,NA,NA
"Mon Jun 28 2021 15:21:48 GMT+0200 (CEST)","practice02","practice02_fixation",NA,9014,383,"KBD:32","X",NA,NA,NA,NA
