"participant","itemid","regionid","target","elapsedtime","timeinterval","keyCode","string","set","group","lmergroup","tag2","mood","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","title",NA,NA,1742,1742,"NEXT_BTN","[ESTEE EXT.]",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","instruction1",NA,NA,2348,606,"NEXT_BTN","...[SPACE]...",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","instruction2",NA,NA,2859,511,"NEXT_BTN","...[PRESS]...",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","practice03","practice03_fixation",NA,3366,507,"NEXT_BTN","X",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","practice03","practice03_0",NA,3905,539,"NEXT_BTN","...[SPACE]...",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","instruction3",NA,NA,4442,537,"NEXT_BTN","12431.",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_fixation",NA,4952,510,"NEXT_BTN","X","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_0",-2,5454,502,"NEXT_BTN","ich stelle mir vor: ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_1",-1,5972,518,"NEXT_BTN","die weggegabelte entscheidung, ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_2",0,6500,528,"NEXT_BTN","ca. der reine bezug. ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_3",1,10539,4039,"NEXT_BTN","am andern ende die verkabelung ist ausgelöst, ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_4",2,11214,675,"NEXT_BTN","weil import  des datamaterial lange verschoben. ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_5",3,11723,509,"NEXT_BTN","hier nurkreisen von motten. ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_6",4,12215,492,"NEXT_BTN","in merkwürdigen kreisen. ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_7",5,12733,518,"NEXT_BTN","kann das nicht richtig sehen, ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_8",6,13149,416,"NEXT_BTN","was sie ins holz schreiben, ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_9",7,13543,394,"NEXT_BTN","aber ich bin mir sicher, ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_10",8,13937,394,"NEXT_BTN","sie haben etwas zu sagen. ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_11",9,14320,383,"NEXT_BTN","soll keine fehler schreiben. ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_12",10,14758,438,"NEXT_BTN","soll keine gebärden mehr.","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_fixation",NA,15309,551,"NEXT_BTN","X","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_0",-2,15748,439,"NEXT_BTN","mönch am meer,","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_1",-1,16142,394,"NEXT_BTN"," der in den sand, der in die wiedergeborene linie am morgen ","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_2",0,16433,291,"NEXT_BTN","seinen fusz setzt.","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_3",1,16705,272,"NEXT_BTN"," wägt den tag ab: ","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_4",2,16963,258,"NEXT_BTN","eine neue aufgabe, ","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_5",3,17210,247,"NEXT_BTN","eine die wartet, ","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_6",4,17502,292,"NEXT_BTN","eine die jetzt schon vergangen.","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_fixation",NA,17930,428,"NEXT_BTN","X","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_0",-3,18189,259,"NEXT_BTN","etwa aufgeworfene felder gegen das neue jahr;","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_1",-2,18450,261,"NEXT_BTN"," also abgeerntet, gepflügt, ","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_2",-1,18696,246,"NEXT_BTN","zarter grüner flaum darauf.","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_3",0,18943,247,"NEXT_BTN"," man sieht die lange zeit noch dazwischen,","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_4",1,19179,236,"NEXT_BTN"," den winter, der nochnicht ist.","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_5",2,19405,226,"NEXT_BTN"," es legen sich alle zur ruhe.","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","FIL002","FIL002_fixation",NA,19753,348,"NEXT_BTN","X","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
