"brentano_die-gruendung-prags-1814" "brentano_ponce-de-leon-1803" "goethe_der-buergergeneral-1793" "goethe_der-grosskophta-1791" "goethe_die-natuerliche-tochter-1803" "goethe_faust-der-tragoedie-zweiter-teil-1832" "goethe_torquato-tasso-1790" "iffland_das-erbtheil-des-vaters-1802" "iffland_der-spieler-1796" "kleist_amphitryon-1807" "kleist_der-zerbrochene-krug-1808" "kleist_die-familie-schroffenstein-1803" "kleist_die-hermannsschlacht-1808" "kleist_penthesilea-1808" "kleist_prinz-friedrich-von-homburg-1810" "kotzebue_der-hyperboreische-esel-1799" "kotzebue_die-deutschen-kleinstaedter-1802" "kotzebue_menschenhass-und-reue-1788" "schiller_die-braut-von-messina-1803" "schiller_die-jungfrau-von-orleans-1801" "schiller_die-piccolomini-1799" "schiller_kabale-und-liebe-1784" "schiller_maria-stuart-1800" "schiller_wallensteins-lager-1798" "schiller_wallensteins-tod-1799" "schiller_wilhelm-tell-1804" "schlegel_alarcos-1802" "tieck_der-gestiefelte-kater-1797" "tieck_die-verkehrte-welt-1800" "tieck_prinz-zerbino-1799" "tieck_ritter-blaubart-1797" "werner_der-vierundzwanzigste-februar-1809"
"ich" 2.15840870260357 3.72123439105658 3.08585395661473 3.3521472392638 2.37901171676006 1.84151283205763 3.02505437847418 3.17468253174683 3.5406192114316 4.0004727294215 3.56976356976357 3.25346660786908 2.536701208981 2.09780429816792 2.56710304980619 2.72206303724928 2.46429757555629 3.22109036030938 2.53150803998262 2.04571335610867 1.96141479099678 2.85863832185852 2.60269446789765 1.19920993227991 2.34446435755825 2.10187304008814 2.57498026835043 2.7963451278592 2.89141802522301 2.57767764948841 3.48757812910342 2.74494352508537
"und" 2.39979936360644 2.56282502413353 2.6886648334861 2.00736196319018 2.53183902190525 2.65646105357947 3.23451220494643 2.004799520048 1.93172797036253 2.1745553388879 2.23110223110223 1.54343671909452 1.85125215889465 2.04652463754604 2.09902728004096 2.14899713467049 1.90634340750581 1.99490662139219 2.35767057800956 2.54595737758256 2.0042872454448 2.1661231227604 1.87584890422525 3.41422121896163 2.20547895102593 2.55530129672006 2.25927387529597 1.97461212976023 2.2454629344817 2.40495635032385 2.19549346079101 1.83871815077489
"die" 2.97192657961973 2.03655840313892 2.01649862511457 2.14478527607362 1.68619460010188 2.0148581719946 1.98179328123741 1.7048295170483 1.16432918761577 1.71955327069668 2.33100233100233 1.71002988877456 2.48812607944732 2.64323341569158 2.25992832589775 1.80106426524765 2.29823978744603 1.57989058668176 2.87918296392873 2.61916381974947 2.09539121114684 1.89636429520473 2.68345508608348 2.28555304740406 2.17621886544018 2.28409187219256 2.4171270718232 1.82130373459251 1.80969957961653 2.31671829531587 1.6597510373444 1.56291042815866
"der" 2.72740097496748 1.41687167190857 1.46654445462878 1.77177914110429 1.9714722363729 1.95632597928861 1.7683074196407 1.65983401659834 1.89997353797301 1.74909885954027 2.37096237096237 1.60713410750159 2.6176597582038 2.58729196774043 2.74994514737073 2.18993041342612 2.57057455994686 1.9618939822675 3.30291177748805 2.73304050756467 2.54019292604502 1.92052180215002 2.45952791747733 2.80756207674944 2.30788925057606 3.01296720061022 2.09155485398579 1.83970074201263 1.68666051471342 1.7891673706937 1.41814170912338 2.37719989493039
"nicht" 1.04393623524617 1.80923613489864 1.64986251145738 1.5361963190184 1.17167600611309 1.19540747411076 1.57093369854185 1.67983201679832 1.52950516009526 1.79046268392129 1.71162171162171 1.69043069234161 1.11722797927461 1.28665330287632 1.17750310831566 2.00573065902579 1.28196612421123 1.66949632144878 1.28748370273794 1.41532454856027 1.68274383708467 1.38503039819624 1.62622517528725 1.58013544018059 1.95311071284883 1.42384947876939 0.808997632202052 1.41043723554302 1.39956936327284 1.36299633905942 1.80681758495719 1.28710270554242
"sie" 1.398184867627 1.32345156167284 1.22212037885732 3.7398773006135 1.22261844116149 1.07158937415579 0.76935470877306 2.44475552444756 2.12754697009791 0.360456183891745 0.992340992340992 0.842765446616689 0.728626943005181 2.12111323481423 0.446134718057486 1.84199754400327 1.95283958817669 2.22127900396152 1.37983485441113 1.60240767854238 1.39871382636656 2.28288440632927 1.54179361991116 0.790067720090293 1.10091072016386 0.7627765064836 0.661010260457774 1.51468694425707 1.15349123346663 1.15084952595513 0.677556594358947 0.788022064617809
"das" 1.1144724673574 1.18020739264472 2.00122212037886 0.98159509202454 1.21242995415181 1.37325529040973 1.23660678321115 1.91480851914809 1.29663932257211 1.15818708266856 1.06560106560107 1.63653290215101 1.43566493955095 1.12349074635215 1.30183573465955 1.41219811706918 1.50116240451677 1.37238256932654 1.35810517166449 1.26891166422645 1.40943193997856 1.56218544912832 1.27748614221211 1.93284424379233 1.41911415090889 1.37299771167048 0.917521704814522 1.43496657876985 1.63539423767046 1.22031352670609 1.34460843531698 1.44470711846598
"ist" 0.863676975406367 1.46980973437549 2.21509318667889 1.21226993865031 0.733571064696892 1.05808194506979 1.00700878111657 1.72482751724828 1.84175707859222 1.0340956095255 1.18548118548119 1.72472928609927 0.77720207253886 0.73190061069414 1.08973890148468 2.23086369218174 1.42145466622385 1.24976419543482 1.09734897870491 1.36652025378233 1.20578778135048 1.21190159842171 1.2260930215484 1.53781038374718 1.69708496397352 1.33062123908806 0.680741910023678 1.747715704912 1.59438121603609 1.39115742044495 1.77530332475445 1.39217231415813
"zu" 1.00631691145352 0.990253168498739 0.947143293614421 1.53128834355828 1.65562913907285 1.36425033768573 1.4581487150568 1.14488551144886 0.979094998676899 0.850912958695267 0.739260739260739 0.79866725464256 0.917530224525043 0.918372103864622 0.987347326848534 1.18706508391322 1.2022583859183 1.17430673457838 0.961538461538462 1.16316902554091 1.37191854233655 1.20787534726416 1.49407143643772 0.790067720090293 1.22160857320508 1.14840240698364 1.09510655090766 1.22646716134176 1.33292320311699 1.22031352670609 0.976942066284994 0.919359075387444
"du" 1.04236876342148 1.55700183726217 0.412465627864345 0.824539877300614 1.61487519103413 0.877982890589824 1.76427938451623 0.354964503549645 0.608626620799153 2.54682975831708 0.759240759240759 2.64589151844774 1.99697754749568 1.75283203580253 1.55781467124991 1.02333196889071 0.352042510793756 0.580079230333899 1.11364624076488 1.2607776150968 0.841371918542337 1.1595603333736 0.583679013252083 0.268058690744921 0.903405142460042 0.656835325027545 1.21349644830308 0.459925185503158 0.640828463037014 0.630808223035765 1.09249435369505 0.696086157079065
