Type	POS	Rank	Freq	Range	NormFreq	NormRange
ich		1	144	1	42755.344	1.0
sie		2	128	1	38004.751	1.0
celimene		3	63	1	18705.463	1.0
erast		4	56	1	16627.078	1.0
so		5	54	1	16033.254	1.0
die		5	54	1	16033.254	1.0
nicht		7	52	1	15439.43	1.0
und		8	49	1	14548.694	1.0
cydalise		8	49	1	14548.694	1.0
ist		10	46	1	13657.957	1.0
damis		11	42	1	12470.309	1.0
zu		12	41	1	12173.397	1.0
es		13	40	1	11876.485	1.0
der		13	40	1	11876.485	1.0
chlorinde		13	40	1	11876.485	1.0
das		16	39	1	11579.572	1.0
sich		17	33	1	9798.1	1.0
ein		17	33	1	9798.1	1.0
mir		19	31	1	9204.276	1.0
was		20	28	1	8313.539	1.0
mich		20	28	1	8313.539	1.0
frau		22	27	1	8016.627	1.0
daß		22	27	1	8016.627	1.0
meine		24	26	1	7719.715	1.0
ja		24	26	1	7719.715	1.0
habe		24	26	1	7719.715	1.0
in		27	25	1	7422.803	1.0
noch		28	24	1	7125.891	1.0
man		29	23	1	6828.979	1.0
gnädige		29	23	1	6828.979	1.0
doch		29	23	1	6828.979	1.0
von		32	21	1	6235.154	1.0
ihnen		32	21	1	6235.154	1.0
hat		32	21	1	6235.154	1.0
wie		35	20	1	5938.242	1.0
sind		35	20	1	5938.242	1.0
mit		35	20	1	5938.242	1.0
recht		38	19	1	5641.33	1.0
haben		38	19	1	5641.33	1.0
fräulein		38	19	1	5641.33	1.0
er		38	19	1	5641.33	1.0
auch		38	19	1	5641.33	1.0
seyn		43	18	1	5344.418	1.0
für		43	18	1	5344.418	1.0
wenn		45	17	1	5047.506	1.0
eine		45	17	1	5047.506	1.0
den		45	17	1	5047.506	1.0
als		45	17	1	5047.506	1.0
nun		49	16	1	4750.594	1.0
denn		49	16	1	4750.594	1.0
schon		51	15	1	4453.682	1.0
liebe		51	15	1	4453.682	1.0
ihr		51	15	1	4453.682	1.0
du		51	15	1	4453.682	1.0
auf		51	15	1	4453.682	1.0
o		56	14	1	4156.77	1.0
ihre		57	13	1	3859.857	1.0
da		57	13	1	3859.857	1.0
an		57	13	1	3859.857	1.0
wieder		60	12	1	3562.945	1.0
bin		60	12	1	3562.945	1.0
wollen		62	11	1	3266.033	1.0
sehr		62	11	1	3266.033	1.0
nur		62	11	1	3266.033	1.0
muß		62	11	1	3266.033	1.0
gnaden		62	11	1	3266.033	1.0
finette		62	11	1	3266.033	1.0
dem		62	11	1	3266.033	1.0
auftritt		62	11	1	3266.033	1.0
alle		62	11	1	3266.033	1.0
aber		62	11	1	3266.033	1.0
wir		72	10	1	2969.121	1.0
weiß		72	10	1	2969.121	1.0
meiner		72	10	1	2969.121	1.0
lassen		72	10	1	2969.121	1.0
kommen		72	10	1	2969.121	1.0
werden		77	9	1	2672.209	1.0
mein		77	9	1	2672.209	1.0
herr		77	9	1	2672.209	1.0
cydalisen		77	9	1	2672.209	1.0
aus		77	9	1	2672.209	1.0
wird		82	8	1	2375.297	1.0
war		82	8	1	2375.297	1.0
machen		82	8	1	2375.297	1.0
kann		82	8	1	2375.297	1.0
heute		82	8	1	2375.297	1.0
ehre		82	8	1	2375.297	1.0
bitte		82	8	1	2375.297	1.0
will		89	7	1	2078.385	1.0
warum		89	7	1	2078.385	1.0
uns		89	7	1	2078.385	1.0
sehn		89	7	1	2078.385	1.0
mehr		89	7	1	2078.385	1.0
mag		89	7	1	2078.385	1.0
lange		89	7	1	2078.385	1.0
kömmt		89	7	1	2078.385	1.0
itzt		89	7	1	2078.385	1.0
immer		89	7	1	2078.385	1.0
hätte		89	7	1	2078.385	1.0
gar		89	7	1	2078.385	1.0
einmal		89	7	1	2078.385	1.0
bey		89	7	1	2078.385	1.0
zärtlichkeit		103	6	1	1781.473	1.0
wäre		103	6	1	1781.473	1.0
vor		103	6	1	1781.473	1.0
nach		103	6	1	1781.473	1.0
meinen		103	6	1	1781.473	1.0
keinen		103	6	1	1781.473	1.0
ihren		103	6	1	1781.473	1.0
heyrathen		103	6	1	1781.473	1.0
einen		103	6	1	1781.473	1.0
zeit		112	5	1	1484.561	1.0
wahr		112	5	1	1484.561	1.0
soll		112	5	1	1484.561	1.0
setzen		112	5	1	1484.561	1.0
mann		112	5	1	1484.561	1.0
lieben		112	5	1	1484.561	1.0
können		112	5	1	1484.561	1.0
im		112	5	1	1484.561	1.0
hier		112	5	1	1484.561	1.0
hause		112	5	1	1484.561	1.0
hand		112	5	1	1484.561	1.0
halten		112	5	1	1484.561	1.0
gut		112	5	1	1484.561	1.0
glücklich		112	5	1	1484.561	1.0
glaube		112	5	1	1484.561	1.0
frauenzimmer		112	5	1	1484.561	1.0
etwas		112	5	1	1484.561	1.0
wohl		129	4	1	1187.648	1.0
wissen		129	4	1	1187.648	1.0
werde		129	4	1	1187.648	1.0
wenig		129	4	1	1187.648	1.0
welt		129	4	1	1187.648	1.0
vorigen		129	4	1	1187.648	1.0
sonst		129	4	1	1187.648	1.0
sollte		129	4	1	1187.648	1.0
sehe		129	4	1	1187.648	1.0
sagen		129	4	1	1187.648	1.0
niemals		129	4	1	1187.648	1.0
mensch		129	4	1	1187.648	1.0
kopf		129	4	1	1187.648	1.0
ihrer		129	4	1	1187.648	1.0
ihrem		129	4	1	1187.648	1.0
ihn		129	4	1	1187.648	1.0
herzen		129	4	1	1187.648	1.0
ha		129	4	1	1187.648	1.0
giebt		129	4	1	1187.648	1.0
gewiß		129	4	1	1187.648	1.0
gesehn		129	4	1	1187.648	1.0
gemüthsart		129	4	1	1187.648	1.0
gemahlin		129	4	1	1187.648	1.0
fällt		129	4	1	1187.648	1.0
ewige		129	4	1	1187.648	1.0
einem		129	4	1	1187.648	1.0
diesen		129	4	1	1187.648	1.0
darf		129	4	1	1187.648	1.0
augen		129	4	1	1187.648	1.0
andere		129	4	1	1187.648	1.0
ach		129	4	1	1187.648	1.0
zeigen		160	3	1	890.736	1.0
willkommen		160	3	1	890.736	1.0
wetter		160	3	1	890.736	1.0
wer		160	3	1	890.736	1.0
vielleicht		160	3	1	890.736	1.0
viele		160	3	1	890.736	1.0
verspreche		160	3	1	890.736	1.0
vergebung		160	3	1	890.736	1.0
um		160	3	1	890.736	1.0
that		160	3	1	890.736	1.0
teufel		160	3	1	890.736	1.0
sache		160	3	1	890.736	1.0
platz		160	3	1	890.736	1.0
personen		160	3	1	890.736	1.0
ob		160	3	1	890.736	1.0
nichts		160	3	1	890.736	1.0
nein		160	3	1	890.736	1.0
möchte		160	3	1	890.736	1.0
lieber		160	3	1	890.736	1.0
liebenswürdig		160	3	1	890.736	1.0
leute		160	3	1	890.736	1.0
keine		160	3	1	890.736	1.0
kein		160	3	1	890.736	1.0
jedes		160	3	1	890.736	1.0
ihm		160	3	1	890.736	1.0
hören		160	3	1	890.736	1.0
hast		160	3	1	890.736	1.0
gott		160	3	1	890.736	1.0
glück		160	3	1	890.736	1.0
gewisse		160	3	1	890.736	1.0
gesellschaft		160	3	1	890.736	1.0
gesagt		160	3	1	890.736	1.0
gerne		160	3	1	890.736	1.0
gehabt		160	3	1	890.736	1.0
gefallen		160	3	1	890.736	1.0
gedacht		160	3	1	890.736	1.0
geben		160	3	1	890.736	1.0
einer		160	3	1	890.736	1.0
einander		160	3	1	890.736	1.0
eben		160	3	1	890.736	1.0
dir		160	3	1	890.736	1.0
dienerin		160	3	1	890.736	1.0
dich		160	3	1	890.736	1.0
davon		160	3	1	890.736	1.0
bleiben		160	3	1	890.736	1.0
