corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
drst,001hhp571.0,451,494,_stage,451,460,Kang-Schu,kang-schu
drst,001hhp571.0,451,494,_stage,462,465,Jao,jao
drst,001hhp571.0,496,550,jao,539,549,Hoang-Puff,hoang-puff
drst,001hhp571.0,555,665,kang-schu,583,586,Jao,jao
drst,001hhp571.0,670,951,jao,905,914,Kang-Schu,kang-schu
drst,001hhp571.0,956,1103,kang-schu,978,981,ich,kang-schu
drst,001hhp571.0,956,1103,kang-schu,1018,1021,mir,kang-schu
drst,001hhp571.0,956,1103,kang-schu,1058,1061,ich,kang-schu
drst,001hhp571.0,1108,1336,jao,1146,1150,Oali,oali
drst,001hhp571.0,1108,1336,jao,1177,1180,mir,jao
drst,001hhp571.0,1486,1708,jao,1580,1583,ich,jao
drst,001hhp571.0,1486,1708,jao,1666,1669,ich,jao
drst,001hhp571.0,1486,1708,jao,1680,1684,mich,jao
drst,001hhp571.0,1713,1938,kang-schu,1724,1734,Hoang-Puff,hoang-puff
drst,001hhp571.0,1713,1938,kang-schu,1835,1838,ich,kang-schu
drst,001hhp571.0,1713,1938,kang-schu,1881,1886,Nadir,nadir
drst,001hhp571.0,1713,1938,kang-schu,1898,1904,meines,kang-schu
drst,001hhp571.0,1943,2159,jao,2079,2084,Nadir,nadir
drst,001hhp571.0,2345,2442,jao,2365,2375,Hoang-Puff,hoang-puff
drst,001hhp571.0,2448,2625,kang-schu,2480,2483,ich,kang-schu
drst,001hhp571.0,2448,2625,kang-schu,2484,2487,mir,kang-schu
drst,001hhp571.0,2448,2625,kang-schu,2548,2553,Nadir,nadir
drst,001hhp571.0,2448,2625,kang-schu,2602,2605,ich,kang-schu
drst,001hhp571.0,2653,2828,kang-schu,2664,2669,Zimar,zimar
drst,001hhp571.0,2653,2828,kang-schu,2751,2754,mir,kang-schu
drst,001hhp571.0,2653,2828,kang-schu,2796,2799,mir,kang-schu
drst,001hhp571.0,2833,2982,jao,2847,2856,Kang-Schu,kang-schu
drst,001hhp571.0,2833,2982,jao,2876,2881,Zimar,zimar
drst,001hhp571.0,2987,3216,kang-schu,3015,3018,ich,kang-schu
drst,001hhp571.0,2987,3216,kang-schu,3056,3059,ich,kang-schu
drst,001hhp571.0,3221,3522,jao,3246,3251,Zimar,zimar
drst,001hhp571.0,3221,3522,jao,3267,3270,ich,jao
drst,001hhp571.0,3221,3522,jao,3385,3388,Ich,jao
drst,001hhp571.0,3611,3656,jao,3616,3619,Ich,jao
drst,001hhp571.0,3611,3656,jao,3626,3632,meinen,jao
drst,001hhp571.0,3661,3704,kang-schu,3690,3693,mir,kang-schu
drst,001hhp571.0,3709,3796,jao,3714,3724,Hoang-Puff,hoang-puff
drst,001hhp571.0,4073,4228,kang-schu,4103,4106,mir,kang-schu
drst,001hhp571.0,4073,4228,kang-schu,4160,4163,mir,kang-schu
drst,001hhp571.0,4073,4228,kang-schu,4196,4200,mich,kang-schu
drst,001hhp571.0,4233,4423,jao,4255,4264,Kang-Schu,kang-schu
drst,001hhp571.0,4233,4423,jao,4266,4269,ich,jao
drst,001hhp571.0,4233,4423,jao,4317,4327,Hoang-Puff,hoang-puff
drst,001hhp571.0,4445,4513,_stage,4453,4463,Hoang-Puff,hoang-puff
drst,001hhp571.0,4515,4549,,4536,4546,Hoang-Puff,hoang-puff
drst,001hhp571.0,4619,5086,hoang-puff,4643,4646,ich,hoang-puff
drst,001hhp571.0,4619,5086,hoang-puff,4700,4703,ich,hoang-puff
drst,001hhp571.0,4619,5086,hoang-puff,4726,4729,ich,hoang-puff
drst,001hhp571.0,4619,5086,hoang-puff,4896,4899,mir,hoang-puff
drst,001hhp571.0,4619,5086,hoang-puff,4989,4993,mich,hoang-puff
drst,001hhp571.0,4619,5086,hoang-puff,5065,5068,ich,hoang-puff
drst,001hhp571.0,5133,5160,_stage,5133,5143,Hoang-Puff,hoang-puff
drst,001hhp571.0,5133,5160,_stage,5145,5154,Kang-Schu,kang-schu
drst,001hhp571.0,5133,5160,_stage,5156,5159,Jao,jao
drst,001hhp571.0,5173,5280,_stage,5258,5267,Kang-Schu,kang-schu
drst,001hhp571.0,5173,5280,_stage,5272,5275,Jao,jao
drst,001hhp571.0,5340,5912,hoang-puff,5368,5377,Kang-Schu,kang-schu
drst,001hhp571.0,5340,5912,hoang-puff,5383,5386,ich,hoang-puff
drst,001hhp571.0,5340,5912,hoang-puff,5409,5412,ich,hoang-puff
drst,001hhp571.0,5340,5912,hoang-puff,5422,5425,mir,hoang-puff
drst,001hhp571.0,5340,5912,hoang-puff,5443,5446,Ich,hoang-puff
drst,001hhp571.0,5340,5912,hoang-puff,5508,5511,ich,hoang-puff
drst,001hhp571.0,5340,5912,hoang-puff,5541,5545,mich,hoang-puff
drst,001hhp571.0,5340,5912,hoang-puff,5613,5623,Hoang-Puff,hoang-puff
drst,001hhp571.0,5340,5912,hoang-puff,5678,5682,mich,hoang-puff
drst,001hhp571.0,5340,5912,hoang-puff,5695,5699,Oali,oali
drst,001hhp571.0,5340,5912,hoang-puff,5727,5731,mich,hoang-puff
drst,001hhp571.0,5340,5912,hoang-puff,5795,5798,Ich,hoang-puff
drst,001hhp571.0,5340,5912,hoang-puff,5822,5826,mein,hoang-puff
drst,001hhp571.0,5340,5912,hoang-puff,5892,5896,mich,hoang-puff
drst,001hhp571.0,5340,5912,hoang-puff,5908,5911,Jao,jao
drst,001hhp571.0,5932,5959,hoang-puff,5949,5952,mir,hoang-puff
drst,001hhp571.0,5932,5959,hoang-puff,5953,5958,Zimar,zimar
drst,001hhp571.0,5964,6012,kang-schu,5992,5995,ich,kang-schu
drst,001hhp571.0,6113,6146,jao,6131,6134,ich,jao
drst,001hhp571.0,6151,6182,hoang-puff,6178,6181,Jao,jao
drst,001hhp571.0,6217,6246,_stage,6217,6222,Zimar,zimar
drst,001hhp571.0,6217,6246,_stage,6224,6234,Hoang-Puff,hoang-puff
drst,001hhp571.0,6217,6246,_stage,6236,6245,Kang-Schu,kang-schu
drst,001hhp571.0,6248,6310,zimar,6273,6276,ich,zimar
drst,001hhp571.0,6248,6310,zimar,6299,6309,Hoang-Puff,hoang-puff
drst,001hhp571.0,6315,6604,hoang-puff,6421,6424,ich,hoang-puff
drst,001hhp571.0,6315,6604,hoang-puff,6485,6490,Zimar,zimar
drst,001hhp571.0,6315,6604,hoang-puff,6539,6548,Kang-Schu,kang-schu
drst,001hhp571.0,6315,6604,hoang-puff,6568,6571,ich,hoang-puff
drst,001hhp571.0,6609,6671,kang-schu,6651,6655,mich,kang-schu
drst,001hhp571.0,6687,6707,_stage,6700,6705,Zimar,zimar
drst,001hhp571.0,6676,6746,hoang-puff,6730,6736,meinem,hoang-puff
drst,001hhp571.0,6751,6859,zimar,6782,6785,Ich,zimar
drst,001hhp571.0,6865,6962,hoang-puff,6892,6895,mir,hoang-puff
drst,001hhp571.0,6865,6962,hoang-puff,6908,6911,ich,hoang-puff
drst,001hhp571.0,6865,6962,hoang-puff,6947,6951,mich,hoang-puff
drst,001hhp571.0,6967,7033,zimar,7012,7015,ich,zimar
drst,001hhp571.0,7038,7129,hoang-puff,7050,7059,Kang-Schu,kang-schu
drst,001hhp571.0,7038,7129,hoang-puff,7087,7090,mir,hoang-puff
drst,001hhp571.0,7134,7272,kang-schu,7163,7166,Ich,kang-schu
drst,001hhp571.0,7134,7272,kang-schu,7194,7199,Nadir,nadir
drst,001hhp571.0,7277,7343,hoang-puff,7329,7332,ich,hoang-puff
drst,001hhp571.0,7348,7380,zimar,7376,7379,ich,zimar
drst,001hhp571.0,7609,7747,hoang-puff,7621,7624,Ich,hoang-puff
drst,001hhp571.0,7752,8041,kang-schu,8023,8026,mir,kang-schu
drst,001hhp571.0,8046,8111,hoang-puff,8058,8061,Ich,hoang-puff
drst,001hhp571.0,8116,8220,kang-schu,8159,8169,Hoang-Puff,hoang-puff
drst,001hhp571.0,8116,8220,kang-schu,8192,8195,ich,kang-schu
drst,001hhp571.0,8225,8346,hoang-puff,8247,8250,ich,hoang-puff
drst,001hhp571.0,8225,8346,hoang-puff,8273,8276,ich,hoang-puff
drst,001hhp571.0,8225,8346,hoang-puff,8299,8302,ich,hoang-puff
drst,001hhp571.0,8351,8458,kang-schu,8387,8390,ich,kang-schu
drst,001hhp571.0,8351,8458,kang-schu,8419,8422,mir,kang-schu
drst,001hhp571.0,8351,8458,kang-schu,8423,8428,meine,kang-schu
drst,001hhp571.0,8464,8518,hoang-puff,8487,8490,ich,hoang-puff
drst,001hhp571.0,8523,8616,kang-schu,8605,8615,Hoang-Puff,hoang-puff
drst,001hhp571.0,8734,8850,hoang-puff,8770,8775,Nadir,nadir
drst,001hhp571.0,8734,8850,hoang-puff,8789,8792,mir,hoang-puff
drst,001hhp571.0,8734,8850,hoang-puff,8807,8810,ich,hoang-puff
drst,001hhp571.0,8734,8850,hoang-puff,8844,8849,Zimar,zimar
drst,001hhp571.0,8937,9074,hoang-puff,9041,9050,Kang-Schu,kang-schu
drst,001hhp571.0,8937,9074,hoang-puff,9061,9064,ich,hoang-puff
drst,001hhp571.0,9079,9143,zimar,9103,9106,ich,zimar
drst,001hhp571.0,9148,9215,hoang-puff,9160,9165,Meine,hoang-puff
drst,001hhp571.0,9257,9285,_stage,9257,9267,Hoang-Puff,hoang-puff
drst,001hhp571.0,9257,9285,_stage,9269,9274,Zimar,zimar
drst,001hhp571.0,9257,9285,_stage,9281,9284,Jao,jao
drst,001hhp571.0,9287,9352,hoang-puff,9321,9324,ich,hoang-puff
drst,001hhp571.0,9287,9352,hoang-puff,9346,9351,Nadir,nadir
drst,001hhp571.0,9404,9483,hoang-puff,9479,9482,Jao,jao
drst,001hhp571.0,9534,9673,hoang-puff,9554,9557,mir,hoang-puff
drst,001hhp571.0,9534,9673,hoang-puff,9558,9562,Oali,oali
drst,001hhp571.0,9534,9673,hoang-puff,9568,9573,meine,hoang-puff
drst,001hhp571.0,9534,9673,hoang-puff,9590,9593,Jao,jao
drst,001hhp571.0,9534,9673,hoang-puff,9606,9611,Zimar,zimar
drst,001hhp571.0,9534,9673,hoang-puff,9622,9625,mir,hoang-puff
drst,001hhp571.0,9717,9927,hoang-puff,9749,9754,meine,hoang-puff
drst,001hhp571.0,9717,9927,hoang-puff,9755,9759,Oali,oali
drst,001hhp571.0,9717,9927,hoang-puff,9765,9768,ich,hoang-puff
drst,001hhp571.0,9717,9927,hoang-puff,9775,9778,ich,hoang-puff
drst,001hhp571.0,9717,9927,hoang-puff,9805,9808,mir,hoang-puff
drst,001hhp571.0,9717,9927,hoang-puff,9852,9855,ich,hoang-puff
drst,001hhp571.0,9717,9927,hoang-puff,9881,9884,ich,hoang-puff
drst,001hhp571.0,9717,9927,hoang-puff,9891,9894,ich,hoang-puff
drst,001hhp571.0,9996,10328,hoang-puff,10035,10039,Oali,oali
drst,001hhp571.0,9996,10328,hoang-puff,10071,10075,mich,hoang-puff
drst,001hhp571.0,10404,10482,hoang-puff,10454,10459,Nadir,nadir
drst,001hhp571.0,10487,10540,zimar,10524,10527,ich,zimar
