corpus,drama,figure_surface,figure_id,Gender,Age
drst,001jk578.0,Duport,duport,MALE,
drst,001jk578.0,Louis,louis,MALE,
drst,001jk578.0,Madam Duport,madam_duport,FEMALE,
drst,001jk578.0,La Brie,la_brie,MALE,
drst,001jk578.0,Julie,julie,FEMALE,
drst,001jk578.0,Antoinette,antoinette,FEMALE,
drst,001jk578.0,Marquis de Rozieres,marquis,MALE,
drst,001jk578.0,Erste Dame,erste_dame,FEMALE,
drst,001jk578.0,Zweyte Dame,zweyte_dame,FEMALE,
drst,001jk578.0,Dritte Dame,dritte_dame,FEMALE,
drst,001jk578.0,Vierte Dame,vierte_dame,FEMALE,
drst,001jk578.0,Fünfte Dame,fuenfte_dame,FEMALE,
drst,001jk578.0,Sechste Dame,sechste_dame,FEMALE,
drst,001jk578.0,Eine Dame,eine_dame,FEMALE,
drst,001jk578.0,Erster Herr,erster_herr,MALE,
drst,001jk578.0,Zweyter Herr,zweyter_herr,MALE,
drst,001jk578.0,Dritter Herr,dritter_herr,MALE,
drst,001jk578.0,Vierter Herr,vierter_herr,MALE,
drst,001jk578.0,Fünfter Herr,fuenfter_herr,MALE,
drst,001jk578.0,Sechster Herr,sechster_herr,MALE,
